Line needed to mimic the original format
Code circo euro	Libelle circo euro	Nom elu	Prenom elu	Date naissance	Code sexe	Code profession	Libelle profession	Libelle mandat	Date debut mandat	Date fin mandat	Motif fin mandat	Nuance politique	ID RNE	ID Europe	ID universel
00	UNIQUE	LAIGNEL	André	4/12/1942	M	62	Retraités de l'enseignement	Représentant au Parlement Européen	12/6/1994	13/6/1999	FM	SOC	42279	1980	RNE_0042279
00	UNIQUE	LAIGNEL	André	4/12/1942	M	62	Retraités de l'enseignement	Représentant au Parlement Européen	28/3/2001	4/4/2001	FM	SOC	42279	1980	RNE_0042279
00	UNIQUE	LAMASSOURE	Alain	10/2/1944	M	56	Autres professions	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	UMP	54	1204	RNE_0000054
00	UNIQUE	LANG	Carl	20/9/1957	M	23	Salariés du secteur médical	Représentant au Parlement Européen	12/6/1994	12/6/2004	FM	FN	55	2057	RNE_0000055
01	NORD-OUEST	LE PEN	Marine	5/8/1968	F	29	Avocats	Représentant au Parlement Européen	7/6/2009	18/6/2017	DV	FN	834072	28210	RNE_0834072
00	UNIQUE	LEBRETON	Gilles	11/10/1958	M	41	Professeurs de faculté	Représentant au Parlement Européen	26/5/2019	NA	NA	FN	1451031	124738	RNE_1451031
00	UNIQUE	LEHIDEUX	Bernard	23/9/1944	M	19	Autres cadres (secteur privé)	Représentant au Parlement Européen	25/4/1998	12/6/1999	FM	UDF	28517	2326	RNE_0028517
00	UNIQUE	LIENEMANN	Marie-Noëlle	12/7/1951	F	62	Retraités de l'enseignement	Représentant au Parlement Européen	17/6/1984	25/6/1988	DV	SOC	7014	1708	RNE_0007014
00	UNIQUE	LIENEMANN	Marie-Noëlle	12/7/1951	F	62	Retraités de l'enseignement	Représentant au Parlement Européen	6/6/1997	27/3/2001	DV	SOC	7014	1708	RNE_0007014
00	UNIQUE	LIPIETZ	Alain	19/9/1947	M	13	Ingénieurs	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	VEC	58	4384	RNE_0000058
00	UNIQUE	MARTINEZ	Jean-Claude	30/7/1945	M	41	Professeurs de faculté	Représentant au Parlement Européen	5/9/1989	12/6/2004	FM	FN	61	966	RNE_0000061
00	UNIQUE	MATHIEU	Véronique	27/1/1953	F	52	Employés (autres entrep. publiques)	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	UMP	62	4412	RNE_0000062
00	UNIQUE	MAUREL	Emmanuel	10/3/1973	M	44	Professions rattachées à enseignt.	Représentant au Parlement Européen	26/5/2019	NA	NA	SOC	1501522	24505	RNE_1501522
00	UNIQUE	MÉLIN	Joëlle	26/3/1950	F	24	Médecins	Représentant au Parlement Européen	26/5/2019	NA	NA	FN	3406	124765	RNE_0003406
00	UNIQUE	MORANO	Nadine	6/11/1963	F	05	Industriels-Chefs entreprise	Représentant au Parlement Européen	26/5/2019	NA	NA	UMP	850	72779	RNE_0000850
