Main Id	Other ids
4279	1389468
4293	1383129
4908	1501526
8098	1255132
11079	986115
12084	141011
16401	1331526
23154	89879
24025	918423
24084	1492706
24445	1180971
24456	1268577
24482	1200975
28318	1492919
32690	1395586
34763	1255222
34977	1400347
35122	1364255
42162	1185780
42376	163280,1168761
45443	1180779
45864	1168999
48602	975869
48953	1493229
49067	1256224
52259	1494027
53566	1383597
60818	1392840
62002	1464391
64845	1333220
67874	1250722
68605	1392099
76693	1465200
91502	1185778
100514	1180884
119892	1404662
140768	1293427
141076	1290617
142213	1280187
142346	947864
142429	1278685
142646	1276822
142946	1274536
142991	1274092
143365	1271560
143374	1271450
143487	1270586
143574	1269876
143787	1267793
144344	932032
144525	1261456
144900	1258745
145328	1256038
145515	1254741
145763	921909
145978	920926
146506	915038
146576	915358
146738	913359
148208	901011
148478	898346
148496	898134
148638	897926
148967	895407
151322	963118
151596	1392813
151959	1389400
152011	1388829
152609	1164613
152739	1381303
153489	1039314
153523	1039223
153604	1039573
153639	1038154
153692	1038031
153750	1371891
155610	1359983
156126	1356742
156795	1015419
156976	1349556
157050	1014368
157332	1346135
157371	1012711
157701	1343178
157746	1342917
157757	1009262
157846	1341916
158041	1339954
158121	1005458
158792	1332072
159055	1329762
159523	1325991
159557	1325634
159566	1325699
159606	991486
159643	1325119
159895	1323466
160026	984809
160099	988348
160175	987443
160183	987262
161070	979712
161080	978925
161213	978321
161572	1305608
161746	1303695
162228	966730
162450	1297788
162588	1169709
162829	1294843
162867	1294545
163052	1497683
163061	1161423
163475	1149923
163991	1145585
164240	1142145
164285	1141954
164391	1140606
164906	1475300
165909	1466831
165916	1466799
166377	1461931
166419	1461610
166499	1460653
166604	1459088
166920	1455663
167084	1453921
167593	1111008
168076	1106765
168149	1444275
168276	1442984
168309	1442772
168365	1442284
168616	1505408
168955	1436859
168993	1436538
170136	1180887
170202	1426307
170239	1425899
170410	1424611
171118	1418228
171306	1078590
171791	1075804
172181	1072972
172202	1410993
172219	1410890
172245	1410634
172280	1410158
172297	1410058
172326	1071151
172349	1409549
172428	1408653
172460	1408237
172514	1407582
172538	1407564
172566	1407073
172568	1407092
172570	1407113
172575	1407147
172599	1406878
172601	1406898
172615	1406633
172691	1405949
172754	1169408
173159	1401727
173235	1400784
173394	1399247
174863	1335803
182696	1459127
184723	1392235
260426	1257933
326042	1185742
328493	1355007
333250	1483531
336700	1505177
348405	1343018
349476	1366668
354983	1368452
376972	1397496
390421	1382272
397124	1471692
441476	1213763
449226	1467184
477821	1471822
482039	1341479
484503	1286887
486780	1295158
524329	1090397
535959	1439954
538283	1455444
540520	1131740
542067	1457482
575745	1450764
590778	1132326
595003	942576
620859	1328639
633192	1294451
636459	984619
641702	1311457
647489	1180936
661722	1301209
671529	1371723
685403	1288704
686194	1341740
686230	1341363
697176	1297413
697873	1297734
698675	1298385
700613	1299535
743340	1442431
744009	1442393
752748	1254962
760378	1244382
783419	1265705
783689	1265535
789791	1185784
798522	1226504
811076	1268775
813444	1345758
813488	1346179
816109	1345256
825361	1345308
826624	1390370
830809	1481520
832598	1164170
833071	1181003
834052	1180968
834128	1181057
837062	1450432
841101	1306101
844946	1279791
857638	1407444
859361	1335346
860078	1371143
860388	865445
861104	1229965
862041	1346365
867216	869914
868696	1505328
869457	1398471
870088	1516120
870229	1200676
871339	1501574
891593	1506243
894078	1224484
894357	1225221
894421	1225255
899213	1185677
922487	1252289
922906	1253422
923470	1254389
923689	1254529
925322	1255947
936464	1266762
937836	1270043
956262	1287398
960757	1292185
964172	1294522
965433	1297053
967341	1298778
969348	1299995
969779	1300687
970069	1301251
972239	1304967
975066	1307725
975992	1311462
975993	1311466
977871	1309090
992304	1324972
992546	1324734
1005189	1185726
1008706	1341832
1009574	1342645
1011651	1345314
1012752	1346597
1013288	1347832
1016701	1351693
1017910	1353063
1042512	1377745
1043138	1377579
1043666	1379137
1048123	1501520
1048639	1171468
1055116	1391023
1073542	1411052
1074535	1411626
1075996	1414249
1076500	1415136
1079659	1417540
1091311	1428930
1096480	1435613
1096624	1191316
1102409	1442262
1103338	1443896
1104805	1444164
1115476	1454424
1119323	1458439
1124587	1464801
1124954	1464893
1128440	1468906
1129218	1469319
1129887	1469832
1131752	1472664
1138481	1479222
1139946	1480763
1141437	1483063
1144645	1485305
1144788	1486017
1145751	1487522
1147392	1487487
1150881	1491249
1154942	1492654
1154981	1493200
1155426	1492396
1155605	1493474
1173547	1350553
1180648	1200805
1180676	1184486
1180775	1188839
1180839	1389980
1180977	1509821
1181416	1400287
1181615	1402939
1185728	1505240
1186134	1255841
1304538	1506229
1501106	1509628
