ID departement	Code departement	Libelle departement
1956_9K	9K	TIARET
1956_9L	9L	TIZI OUZOU
1956_9M	9M	TLEMCEN
1808_117	117	TRASIMENE
1943_96	96	TUNISIE
1968_95	95	VAL D OISE
1968_94	94	VAL DE MARNE
1790_78	78,83	VAR
1793_89	89,86,84	VAUCLUSE
1790_79	79,85	VENDEE
1793_79	79	VENGE
1790_80	80,86	VIENNE
1790_82	82,88	VOSGES
2003_986	986,ZW	WALLIS ET FUTUNA
1790_83	83,89	YONNE
1811_121	121	YSSEL SUPERIEUR
1968_78	78	YVELINES
1811_118	118	ZUYDERZEE
