Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
86027F	Mme	Fraysse-Cazalis	Jacqueline	ANCIEN	50776		03/04/1978		22/05/1981		50069	03/04/1978				Député
86027F	Mme	Fraysse-Cazalis	Jacqueline	ANCIEN	50777		02/07/1981		01/04/1986		50070	02/07/1981				Député
86027F	Mme	Fraysse-Cazalis	Jacqueline	ANCIEN	50778		12/06/1997		24/06/2002		50071	12/06/1997				Député
86027F	Mme	Fraysse-Cazalis	Jacqueline	ANCIEN	50779		25/06/2002		25/06/2007		50072	25/06/2002				Député
86027F	Mme	Fraysse-Cazalis	Jacqueline	ANCIEN	50780		26/06/2007		25/06/2012		50073	26/06/2007				Député
86027F	Mme	Fraysse-Cazalis	Jacqueline	ANCIEN	50781		26/06/2012		20/06/2017		50074	26/06/2012				Député
98047Y	M.	Fréville	Yves	ANCIEN	46057		02/04/1986		14/05/1988		44653	02/04/1986		14/05/1988		Député
98047Y	M.	Fréville	Yves	ANCIEN	46058		13/06/1988		01/04/1993		44654	13/06/1988		01/04/1993		Député
98047Y	M.	Fréville	Yves	ANCIEN	46059		02/04/1993		21/04/1997		44655	02/04/1993		21/04/1997		Député
11010L	M.	Frogier	Pierre	ACTIF	46062		27/11/1996		21/04/1997		44658	27/11/1996		21/04/1997		Député
11010L	M.	Frogier	Pierre	ACTIF	46063		19/06/2002		19/06/2007		44659	19/06/2002		19/06/2007		Député
11010L	M.	Frogier	Pierre	ACTIF	46064		01/06/1997		18/06/2002		44660	01/06/1997		18/06/2002		Député
11010L	M.	Frogier	Pierre	ACTIF	46065		20/06/2007		30/09/2011		44661	20/06/2007		30/09/2011		Député
000533	M.	Fuzier	Claude	ANCIEN	46082		29/07/1988		08/11/1988		44678	29/07/1988		08/11/1988		Député
000455	M.	Galley	Robert	ANCIEN	46100		03/04/1978		05/05/1978		44696	03/04/1978		05/05/1978		Député
000455	M.	Galley	Robert	ANCIEN	46101		11/07/1968		12/08/1968		44697	11/07/1968		12/08/1968		Député
000455	M.	Galley	Robert	ANCIEN	46102		02/04/1973		05/05/1973		44698	02/04/1973		05/05/1973		Député
