Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
11100Y	M.	Lenoir	Jean-Claude	ANCIEN	48024		20/06/2007		30/09/2011		46620	20/06/2007		30/09/2011		Député
98025S	M.	Lepeltier	Serge	ANCIEN	48048		02/04/1993		21/04/1997		46644	02/04/1993		21/04/1997		Député
11059R	M.	Leroy	Jean-Claude	ANCIEN	49376		20/03/2000		18/06/2002		47972	20/03/2000		18/06/2002		Député
11059R	M.	Leroy	Jean-Claude	ANCIEN	49377		19/06/2002		19/06/2007		47973	19/06/2002		19/06/2007		Député
11059R	M.	Leroy	Jean-Claude	ANCIEN	49378		20/06/2007		30/09/2011		47974	20/06/2007		30/09/2011		Député
57830P	M.	Letoquart	Léandre	ANCIEN	10425			1956		1958	3560					Député
57130R	M.	Levacher	François	ANCIEN	10426			1952		1955	3561					Député
89033R	M.	Leyzour	Félix	ANCIEN	46992		01/06/1997		18/06/2002		45588	01/06/1997		18/06/2002		Député
000124	M.	L'Huillier	Waldeck	ANCIEN	10427					1978	3562					Député
11077T	Mme	Lienemann	Marie-Noëlle	ACTIF	46999		13/06/1988		02/05/1992		45595	13/06/1988		02/05/1992		Député
95044H	M.	Lise	Claude	ANCIEN	47031		13/06/1988		01/04/1993		45627	13/06/1988		01/04/1993		Député
01048V	M.	Longuet	Gérard	ACTIF	47042		02/04/1986		02/04/1986		45638	02/04/1986		02/04/1986		Député
01048V	M.	Longuet	Gérard	ACTIF	47043		03/04/1978		22/05/1981		45639	03/04/1978		22/05/1981		Député
01048V	M.	Longuet	Gérard	ACTIF	47044		02/04/1993		01/05/1993		45640	02/04/1993		01/05/1993		Député
01048V	M.	Longuet	Gérard	ACTIF	47045		13/06/1988		01/04/1993		45641	13/06/1988		01/04/1993		Député
11106F	M.	Lorgeoux	Jeanny	ANCIEN	47052		13/06/1988		01/04/1993		45648	13/06/1988		01/04/1993		Député
12016W	M.	Lurel	Victorin	ACTIF	49571		19/06/2002		19/06/2007		48167	19/06/2002		19/06/2007		Député
12016W	M.	Lurel	Victorin	ACTIF	49572		20/06/2007		16/06/2012		48168	20/06/2007		16/06/2012		Député
12016W	M.	Lurel	Victorin	ACTIF	49573		20/06/2012		21/07/2012		48169	20/06/2012		21/07/2012		Député
12016W	M.	Lurel	Victorin	ACTIF	49574		03/05/2014		20/06/2017		48170	03/05/2014		20/06/2017		Député
80027E	M.	Madrelle	Philippe	ANCIEN	47082		02/04/1978		28/09/1980		45678	02/04/1978		28/09/1980		Député
95046K	M.	Mahéas	Jacques	ANCIEN	47083		02/07/1981		01/04/1986		45679	02/07/1981		01/04/1986		Député
95046K	M.	Mahéas	Jacques	ANCIEN	47084		02/04/1986		14/05/1988		45680	02/04/1986		14/05/1988		Député
95046K	M.	Mahéas	Jacques	ANCIEN	47085		13/06/1988		01/04/1993		45681	13/06/1988		01/04/1993		Député
000223	M.	Mailhe	Pierre	ANCIEN	10429			1951		1958	3563					Député
14251Q	M.	Malhuret	Claude	ACTIF	47094		02/04/1993		21/04/1997		45690	02/04/1993		21/04/1997		Député
80028F	M.	Manet	Michel	ANCIEN	47118		03/04/1978		28/09/1980		45714	03/04/1978		28/09/1980		Député
14111D	M.	Marc	Alain	ACTIF	48508		20/06/2007		19/06/2012		47104	20/06/2007		19/06/2012		Député
14111D	M.	Marc	Alain	ACTIF	48509		20/06/2012		30/09/2014		47105	20/06/2012		30/09/2014		Député
59715V	M.	Marcellin	Raymond	ANCIEN	10430					1958	3564				1958	Député
59715V	M.	Marcellin	Raymond	ANCIEN	47122		09/12/1958		16/06/1962		45718	09/12/1958		16/06/1962		Député
59715V	M.	Marcellin	Raymond	ANCIEN	47123		06/12/1962		07/01/1963		45719	06/12/1962		07/01/1963		Député
59715V	M.	Marcellin	Raymond	ANCIEN	47124		03/04/1967		07/05/1967		45720	03/04/1967		07/05/1967		Député
59715V	M.	Marcellin	Raymond	ANCIEN	47125		11/07/1968		12/08/1968		45721	11/07/1968		12/08/1968		Député
59715V	M.	Marcellin	Raymond	ANCIEN	47126		02/04/1973		05/05/1973		45722	02/04/1973		05/05/1973		Député
59715V	M.	Marcellin	Raymond	ANCIEN	47127		02/07/1981		01/04/1986		45723	02/07/1981		01/04/1986		Député
59715V	M.	Marcellin	Raymond	ANCIEN	47128		02/04/1986		14/05/1988		45724	02/04/1986		14/05/1988		Député
59715V	M.	Marcellin	Raymond	ANCIEN	47129		06/06/1988		01/04/1993		45725	06/06/1988		01/04/1993		Député
59715V	M.	Marcellin	Raymond	ANCIEN	47130		02/04/1993		21/04/1997		45726	02/04/1993		21/04/1997		Député
000498	M.	Marette	Jacques	ANCIEN	47153		02/07/1981		25/04/1984		45749	02/07/1981		25/04/1984		Député
14001X	M.	Marie	Didier	ACTIF	47161		28/04/2000		18/06/2002		45757	28/04/2000		18/06/2002		Député
000746	M.	Maroselli	André	ANCIEN	10432					1958	3566				1958	Député
04096S	M.	Marsin	Daniel	ANCIEN	47196		01/06/1997		18/06/2002		45792	01/06/1997		18/06/2002		Député
95003X	M.	Massion	Marc	ANCIEN	47231		25/07/1981		16/03/1986		45827	25/07/1981		16/03/1986		Député
01060R	M.	Masson	Jean Louis	ACTIF	47232		03/04/1978		22/05/1981		45828	03/04/1978		22/05/1981		Député
01060R	M.	Masson	Jean Louis	ACTIF	47233		02/07/1981		01/04/1986		45829	02/07/1981		01/04/1986		Député
01060R	M.	Masson	Jean Louis	ACTIF	47234		02/04/1986		14/05/1988		45830	02/04/1986		14/05/1988		Député
01060R	M.	Masson	Jean Louis	ACTIF	47235		13/06/1988		01/04/1993		45831	13/06/1988		01/04/1993		Député
01060R	M.	Masson	Jean Louis	ACTIF	47236		02/04/1993		21/04/1997		45832	02/04/1993		21/04/1997		Député
01060R	M.	Masson	Jean Louis	ACTIF	47237		01/06/1997		16/12/1997		45833	01/06/1997		16/12/1997		Député
000080	M.	Masteau	Jacques	ANCIEN	10491			1936		1942	3607					Député
59550S	M.	Maurice-Bokanowski	Michel	ANCIEN	9683					1958	3202				1958	Député
92037V	M.	Mauroy	Pierre	ANCIEN	47279		03/04/1978		22/05/1981		45875	03/04/1978		22/05/1981		Député
92037V	M.	Mauroy	Pierre	ANCIEN	47280		02/04/1973		01/04/1978		45876	02/04/1973		01/04/1978		Député
92037V	M.	Mauroy	Pierre	ANCIEN	47281		02/07/1981		22/07/1981		45877	02/07/1981		22/07/1981		Député
92037V	M.	Mauroy	Pierre	ANCIEN	47282		02/04/1986		14/05/1988		45878	02/04/1986		14/05/1988		Député
92037V	M.	Mauroy	Pierre	ANCIEN	47283		13/06/1988		01/10/1992		45879	13/06/1988		01/10/1992		Député
12039E	M.	Mazars	Stéphane	ANCIEN	50204		21/06/2017				48800	21/06/2017				Député
86039K	M.	Mélenchon	Jean-Luc	ANCIEN	47319		21/06/2017				45915	21/06/2017				Député
95049N	M.	Mercier	Michel	ANCIEN	47336		24/05/1993		24/09/1995		45932	24/05/1993		24/09/1995		Député
59717X	M.	Merli	Pierre	ANCIEN	47337		13/06/1988		01/04/1993		45933	13/06/1988		01/04/1993		Député
59717X	M.	Merli	Pierre	ANCIEN	47338		02/04/1993		21/04/1997		45934	02/04/1993		21/04/1997		Député
01020H	M.	Mermaz	Louis	ANCIEN	47339		03/04/1967		30/05/1968		45935	03/04/1967		30/05/1968		Député
01020H	M.	Mermaz	Louis	ANCIEN	47340		02/04/1973		01/04/1978		45936	02/04/1973		01/04/1978		Député
01020H	M.	Mermaz	Louis	ANCIEN	47341		02/07/1981		01/04/1986		45937	02/07/1981		01/04/1986		Député
01020H	M.	Mermaz	Louis	ANCIEN	47343		03/04/1978		22/05/1981		45939	03/04/1978		22/05/1981		Député
01020H	M.	Mermaz	Louis	ANCIEN	47344		13/06/1988		02/11/1990		45940	13/06/1988		02/11/1990		Député
01020H	M.	Mermaz	Louis	ANCIEN	47345		01/06/1997		30/09/2001		45941	01/06/1997		30/09/2001		Député
01020H	M.	Mermaz	Louis	ANCIEN	50762		02/07/1981		14/05/1988		49727	02/07/1981		01/04/1986		Président de l'Assemblée nationale
01020H	M.	Mermaz	Louis	ANCIEN	50762		02/07/1981		14/05/1988		49728	02/04/1986		14/05/1988		Député
92038W	M.	Metzinger	Charles	ANCIEN	47370		02/07/1981		01/04/1986		45966	02/07/1981		01/04/1986		Député
92038W	M.	Metzinger	Charles	ANCIEN	47371		02/04/1986		14/05/1988		45967	02/04/1986		14/05/1988		Député
92038W	M.	Metzinger	Charles	ANCIEN	47372		13/06/1988		01/10/1992		45968	13/06/1988		01/10/1992		Député
95050F	Mme	Michaux-Chevry	Lucette	ANCIEN	46400		02/04/1986		02/04/1986		44996	02/04/1986		02/04/1986		Député
95050F	Mme	Michaux-Chevry	Lucette	ANCIEN	46401		13/06/1988		01/04/1993		44997	13/06/1988		01/04/1993		Député
95050F	Mme	Michaux-Chevry	Lucette	ANCIEN	46402		02/04/1993		01/05/1993		44998	02/04/1993		01/05/1993		Député
04084N	M.	Michel	Jean-Pierre	ANCIEN	46410		02/07/1981		01/04/1986		45006	02/07/1981		01/04/1986		Député
04084N	M.	Michel	Jean-Pierre	ANCIEN	46411		02/04/1986		14/05/1988		49593	02/04/1986		04/04/1986		Député
04084N	M.	Michel	Jean-Pierre	ANCIEN	46411		02/04/1986		14/05/1988		49594	04/04/1986		01/04/1987		Vice-président de l'Assemblée nationale
04084N	M.	Michel	Jean-Pierre	ANCIEN	46411		02/04/1986		14/05/1988		49595	02/04/1987		14/05/1988		Député
04084N	M.	Michel	Jean-Pierre	ANCIEN	46412		06/06/1988		01/04/1993		45008	06/06/1988		01/04/1993		Député
04084N	M.	Michel	Jean-Pierre	ANCIEN	46413		02/04/1993		21/04/1997		45009	02/04/1993		21/04/1997		Député
04084N	M.	Michel	Jean-Pierre	ANCIEN	46414		01/06/1997		18/06/2002		45010	01/06/1997		18/06/2002		Député
000025	M.	Michelet	Edmond	ANCIEN	10493					1958	3609				1958	Député
000025	M.	Michelet	Edmond	ANCIEN	46424		03/04/1967		07/05/1967		45020	03/04/1967		07/05/1967		Député
000025	M.	Michelet	Edmond	ANCIEN	46425		11/07/1968		22/07/1969		45021	11/07/1968		22/07/1969		Député
000356	M.	Mignot	André	ANCIEN	10439					1958	3573				1958	Député
59552U	Mme	Missoffe	Hélène	ANCIEN	46463		26/07/1974		01/05/1977		45059	26/07/1974		01/05/1977		Député
59552U	Mme	Missoffe	Hélène	ANCIEN	46464		02/07/1981		01/04/1986		45060	02/07/1981		01/04/1986		Député
59552U	Mme	Missoffe	Hélène	ANCIEN	46465		02/04/1986		30/09/1986		45061	02/04/1986		30/09/1986		Député
59552U	Mme	Missoffe	Hélène	ANCIEN	46466		03/04/1978		22/05/1981		45062	03/04/1978		22/05/1981		Député
000379	M.	Mitterrand	François	ANCIEN	10440					1958	3574				1958	Député
000677	M.	Monnerville	Gaston	ANCIEN	10441			1932		1946	3575					Député
000677	M.	Monnerville	Gaston	ANCIEN	10498			1946		1946	3614					Député
59236K	M.	Mont	Claude	ANCIEN	9684			1945		1951	3206					Député
14257W	M.	Montaugé	Franck	ACTIF	50203		03/08/2013		02/05/2014		48799	03/08/2013		02/05/2014		Député
57135W	M.	Monteil	André	ANCIEN	10443			1945		1958	3576					Député
000691	M.	Moreve	Roger	ANCIEN	10445			1951		1958	3578					Député
000027	M.	Morice	André	ANCIEN	10446			1945		1958	3579					Député
14119M	M.	Morisset	Jean-Marie	ACTIF	46515		02/04/1993		21/04/1997		45111	02/04/1993		21/04/1997		Député
14119M	M.	Morisset	Jean-Marie	ACTIF	46516		01/06/1997		18/06/2002		45112	01/06/1997		18/06/2002		Député
14119M	M.	Morisset	Jean-Marie	ACTIF	46517		19/06/2002		19/06/2007		45113	19/06/2002		19/06/2007		Député
14119M	M.	Morisset	Jean-Marie	ACTIF	46518		20/06/2007		19/06/2012		45114	20/06/2007		19/06/2012		Député
000736	M.	Moutet	Marius	ANCIEN	10447					1947	3580				1947	Député
000736	M.	Moutet	Marius	ANCIEN	10500					1940	3616				1940	Député
98007Q	M.	Murat	Bernard	ANCIEN	48332		02/04/1993		21/04/1997		46928	02/04/1993		21/04/1997		Député
00002B	M.	Muzeau	Roland	ANCIEN	49379		20/06/2007		19/06/2012		47975	20/06/2007		19/06/2012		Député
11105E	M.	Néri	Alain	ANCIEN	48369		13/06/1988		01/04/1993		46965	13/06/1988		01/04/1993		Député
11105E	M.	Néri	Alain	ANCIEN	48370		01/06/1997		18/06/2002		46966	01/06/1997		18/06/2002		Député
11105E	M.	Néri	Alain	ANCIEN	48371		19/06/2002		19/06/2007		46967	19/06/2002		19/06/2007		Député
11105E	M.	Néri	Alain	ANCIEN	48372		20/06/2007		30/09/2011		49855	20/06/2007		27/06/2007		Député
11105E	M.	Néri	Alain	ANCIEN	48372		20/06/2007		30/09/2011		49856	27/06/2007		01/10/2008		Secrétaire de l'Assemblée nationale
11105E	M.	Néri	Alain	ANCIEN	48372		20/06/2007		30/09/2011		49857	02/10/2008		06/10/2009		Vice-président de l'Assemblée nationale
11105E	M.	Néri	Alain	ANCIEN	48372		20/06/2007		30/09/2011		49858	07/10/2009		30/09/2011		Secrétaire de l'Assemblée nationale
01054T	Mme	Papon	Monique	ANCIEN	48489		02/04/1986		14/05/1988		49877	02/04/1986		04/04/1986		Député
01054T	Mme	Papon	Monique	ANCIEN	48489		02/04/1986		14/05/1988		49878	04/04/1986		14/05/1988		Secrétaire de l'Assemblée nationale
01054T	Mme	Papon	Monique	ANCIEN	48490		02/04/1993		21/04/1997		49875	02/04/1993		07/04/1993		Député
01054T	Mme	Papon	Monique	ANCIEN	48490		02/04/1993		21/04/1997		49876	07/04/1993		21/04/1997		Secrétaire de l'Assemblée nationale
01054T	Mme	Papon	Monique	ANCIEN	48491		13/06/1988		01/04/1993		47087	13/06/1988		01/04/1993		Député
08061X	M.	Patriat	François	ACTIF	48704		02/07/1981		01/04/1986		47300	02/07/1981		01/04/1986		Député
08061X	M.	Patriat	François	ACTIF	48705		02/04/1986		14/05/1988		47301	02/04/1986		14/05/1988		Député
08061X	M.	Patriat	François	ACTIF	48706		13/06/1988		01/04/1993		47302	13/06/1988		01/04/1993		Député
08061X	M.	Patriat	François	ACTIF	48707		01/06/1997		18/11/2000		47303	01/06/1997		18/11/2000		Député
95053J	M.	Pelchat	Michel	ANCIEN	48728		02/04/1986		14/05/1988		47324	02/04/1986		14/05/1988		Député
95053J	M.	Pelchat	Michel	ANCIEN	48729		02/04/1993		24/09/1995		47325	02/04/1993		24/09/1995		Député
95053J	M.	Pelchat	Michel	ANCIEN	48730		13/06/1988		01/04/1993		47326	13/06/1988		01/04/1993		Député
17637T	M.	Pemezec	Philippe	ACTIF	49521		19/06/2002		19/06/2007		48117	19/06/2002		19/06/2007		Député
17637T	M.	Pemezec	Philippe	ACTIF	49522		20/06/2007		29/11/2007		48118	20/06/2007		29/11/2007		Député
59579G	M.	Pen	Albert	ANCIEN	48736		02/07/1981		01/04/1986		47332	02/07/1981		01/04/1986		Député
59579G	M.	Pen	Albert	ANCIEN	48737		02/04/1986		02/10/1986		47333	02/04/1986		02/10/1986		Député
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48776		01/06/1997		18/06/2002		49904	01/06/1997		13/06/1997		Député
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48776		01/06/1997		18/06/2002		49905	13/06/1997		18/06/2002		Secrétaire de l'Assemblée nationale
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48777		19/06/2002		19/06/2007		49906	19/06/2002		01/10/2003		Député
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48777		19/06/2002		19/06/2007		49907	01/10/2003		30/09/2004		Secrétaire de l'Assemblée nationale
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48777		19/06/2002		19/06/2007		49908	01/10/2004		04/10/2006		Député
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48777		19/06/2002		19/06/2007		49909	04/10/2006		19/06/2007		Secrétaire de l'Assemblée nationale
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48778		20/06/2007		19/06/2012		49910	20/06/2007		27/06/2007		Député
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48778		20/06/2007		19/06/2012		49911	27/06/2007		01/10/2008		Secrétaire de l'Assemblée nationale
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	48778		20/06/2007		19/06/2012		49912	02/10/2008		19/06/2012		Député
98040R	M.	Peyrat	Jacques	ANCIEN	48816		02/04/1986		14/05/1988		47412	02/04/1986		14/05/1988		Député
98040R	M.	Peyrat	Jacques	ANCIEN	48817		01/06/1997		27/09/1998		47413	01/06/1997		27/09/1998		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48818		03/04/1978		05/05/1978		47414	03/04/1978		05/05/1978		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48819		09/12/1958		15/05/1962		47415	09/12/1958		15/05/1962		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48820		06/12/1962		08/01/1963		47416	06/12/1962		08/01/1963		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48821		03/04/1967		07/05/1967		47417	03/04/1967		07/05/1967		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48822		11/07/1968		01/04/1973		47418	11/07/1968		01/04/1973		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48823		02/04/1973		05/05/1973		47419	02/04/1973		05/05/1973		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48824		18/01/1982		01/04/1986		47420	18/01/1982		01/04/1986		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48825		02/04/1986		14/05/1988		47421	02/04/1986		14/05/1988		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48826		02/04/1993		24/09/1995		47422	02/04/1993		24/09/1995		Député
95054K	M.	Peyrefitte	Alain	ANCIEN	48827		13/06/1988		01/04/1993		47423	13/06/1988		01/04/1993		Député
95055L	M.	Peyronnet	Jean-Claude	ANCIEN	48831		13/06/1988		01/04/1993		47427	13/06/1988		01/04/1993		Député
89036U	M.	Philibert	Louis	ANCIEN	48053		02/07/1981		01/04/1986		46649	02/07/1981		01/04/1986		Député
000307	M.	Pic	Maurice	ANCIEN	48058		11/07/1968		08/10/1971		46654	11/07/1968		08/10/1971		Député
98021N	M.	Pintat	Xavier	ANCIEN	48078		02/04/1993		21/04/1997		46674	02/04/1993		21/04/1997		Député
98050T	M.	Poniatowski	Ladislas	ACTIF	48107		02/04/1986		14/05/1988		46703	02/04/1986		14/05/1988		Député
98050T	M.	Poniatowski	Ladislas	ACTIF	48108		02/04/1993		21/04/1997		49822	02/04/1993		07/04/1993		Député
98050T	M.	Poniatowski	Ladislas	ACTIF	48108		02/04/1993		21/04/1997		49823	07/04/1993		21/04/1997		Questeur de l'Assemblée nationale
98050T	M.	Poniatowski	Ladislas	ACTIF	48109		13/06/1988		01/04/1993		46705	13/06/1988		01/04/1993		Député
98050T	M.	Poniatowski	Ladislas	ACTIF	48110		01/06/1997		27/09/1998		46706	01/06/1997		27/09/1998		Député
16813M	M.	Poyart	Alain	ANCIEN	48157		02/04/1993		21/04/1997		46753	02/04/1993		21/04/1997		Député
11090Q	Mme	Primas	Sophie	ACTIF	49799		11/06/2010		30/09/2011		48395	11/06/2010		30/09/2011		Député
17583W	M.	Priou	Christophe	ACTIF	49458		19/06/2002		19/06/2007		48054	19/06/2002		19/06/2007		Député
17583W	M.	Priou	Christophe	ACTIF	49459		20/06/2007		19/06/2012		48055	20/06/2007		19/06/2012		Député
17583W	M.	Priou	Christophe	ACTIF	49460		20/06/2012		20/06/2017		48056	20/06/2012		20/06/2017		Député
000639	M.	Proriol	Jean	ANCIEN	48178		03/04/1978		22/05/1981		46774	03/04/1978		22/05/1981		Député
000639	M.	Proriol	Jean	ANCIEN	48179		02/07/1981		01/04/1986		46775	02/07/1981		01/04/1986		Député
000639	M.	Proriol	Jean	ANCIEN	48180		02/04/1986		14/05/1988		46776	02/04/1986		14/05/1988		Député
000639	M.	Proriol	Jean	ANCIEN	48181		06/06/1988		01/04/1993		46777	06/06/1988		01/04/1993		Député
000639	M.	Proriol	Jean	ANCIEN	48182		02/04/1993		21/04/1997		49824	02/04/1993		07/04/1993		Député
000639	M.	Proriol	Jean	ANCIEN	48182		02/04/1993		21/04/1997		49825	07/04/1993		21/04/1997		Secrétaire de l'Assemblée nationale
000639	M.	Proriol	Jean	ANCIEN	48183		01/06/1997		18/06/2002		46779	01/06/1997		18/06/2002		Député
000639	M.	Proriol	Jean	ANCIEN	48184		19/06/2002		19/06/2007		49826	19/06/2002		26/06/2002		Député
000639	M.	Proriol	Jean	ANCIEN	48184		19/06/2002		19/06/2007		49827	26/06/2002		19/06/2007		Secrétaire de l'Assemblée nationale
000639	M.	Proriol	Jean	ANCIEN	48185		20/06/2007		19/06/2012		46781	20/06/2007		19/06/2012		Député
74041P	M.	Quilliot	Roger	ANCIEN	48218		02/04/1986		02/10/1986		46814	02/04/1986		02/10/1986		Député
14135M	M.	Raison	Michel	ACTIF	48849		19/06/2002		19/06/2007		47445	19/06/2002		19/06/2007		Député
14135M	M.	Raison	Michel	ACTIF	48850		20/06/2007		19/06/2012		47446	20/06/2007		19/06/2012		Député
95060H	M.	Ralite	Jack	ANCIEN	48225		02/07/1981		23/07/1981		46821	02/07/1981		23/07/1981		Député
01014K	M.	Reiner	Daniel	ANCIEN	47419		13/06/1988		01/04/1993		46015	13/06/1988		01/04/1993		Député
04033B	M.	Retailleau	Bruno	ACTIF	47434		27/11/1994		21/04/1997		46030	27/11/1994		21/04/1997		Député
95062K	M.	Revet	Charles	ANCIEN	47436		03/04/1978		22/05/1981		46032	03/04/1978		22/05/1981		Député
95062K	M.	Revet	Charles	ANCIEN	47437		02/04/1986		14/05/1988		46033	02/04/1986		14/05/1988		Député
95062K	M.	Revet	Charles	ANCIEN	47438		02/04/1993		24/09/1995		46034	02/04/1993		24/09/1995		Député
000158	M.	Ribeyre	Paul	ANCIEN	10456			1945		1958	3582					Député
95063L	M.	Richard	Alain	ACTIF	47724		02/07/1981		01/04/1986		46320	02/07/1981		01/04/1986		Député
95063L	M.	Richard	Alain	ACTIF	47725		03/04/1978		22/05/1981		46321	03/04/1978		22/05/1981		Député
95063L	M.	Richard	Alain	ACTIF	47726		02/04/1986		14/05/1988		49787	02/04/1986		02/04/1987		Député
95063L	M.	Richard	Alain	ACTIF	47726		02/04/1986		14/05/1988		49788	02/04/1987		01/04/1988		Vice-président de l'Assemblée nationale
95063L	M.	Richard	Alain	ACTIF	47726		02/04/1986		14/05/1988		49789	02/04/1988		14/05/1988		Député
95063L	M.	Richard	Alain	ACTIF	47727		13/06/1988		01/04/1993		46323	13/06/1988		01/04/1993		Député
77060F	M.	Rinchet	Roger	ANCIEN	48231		13/06/1988		01/04/1993		46827	13/06/1988		01/04/1993		Député
98033S	M.	Rispat	Yves	ANCIEN	48234		02/04/1993		21/04/1997		46830	02/04/1993		21/04/1997		Député
000142	M.	Ritzenthaler	Eugène	ANCIEN	10457			1951		1955	3583					Député
14017T	M.	Robert	Didier	ANCIEN	49651		20/06/2007		13/11/2010		48247	20/06/2007		13/11/2010		Député
95064M	M.	Rocard	Michel	ANCIEN	48258		26/10/1969		01/04/1973		46854	26/10/1969		01/04/1973		Député
95064M	M.	Rocard	Michel	ANCIEN	48259		02/07/1981		23/07/1981		46855	02/07/1981		23/07/1981		Député
95064M	M.	Rocard	Michel	ANCIEN	48260		03/04/1978		22/05/1981		46856	03/04/1978		22/05/1981		Député
95064M	M.	Rocard	Michel	ANCIEN	48261		02/04/1986		14/05/1988		46857	02/04/1986		14/05/1988		Député
95064M	M.	Rocard	Michel	ANCIEN	48262		13/06/1988		23/07/1988		46858	13/06/1988		23/07/1988		Député
000174	M.	Rollin	René	ANCIEN	10501			1936		1942	3617					Député
11046L	M.	Rome	Yves	ANCIEN	48313		01/06/1997		18/06/2002		46909	01/06/1997		18/06/2002		Député
000704	M.	Rotinat	Vincent	ANCIEN	10502			1936		1942	3618					Député
000044	M.	Roubert	Alex	ANCIEN	10460			1945		1946	3584					Député
95065N	M.	Rouquet	René	ANCIEN	47472		25/07/1981		01/04/1986		46068	25/07/1981		01/04/1986		Député
95065N	M.	Rouquet	René	ANCIEN	47473		10/03/1988		14/05/1988		46069	10/03/1988		14/05/1988		Député
95065N	M.	Rouquet	René	ANCIEN	47474		13/06/1988		01/04/1993		46070	13/06/1988		01/04/1993		Député
95065N	M.	Rouquet	René	ANCIEN	47475		01/06/1997		18/06/2002		46071	01/06/1997		18/06/2002		Député
95065N	M.	Rouquet	René	ANCIEN	47476		19/06/2002		19/06/2007		49745	19/06/2002		01/10/2004		Député
95065N	M.	Rouquet	René	ANCIEN	47476		19/06/2002		19/06/2007		49746	01/10/2004		19/06/2007		Secrétaire de l'Assemblée nationale
95065N	M.	Rouquet	René	ANCIEN	47477		20/06/2007		19/06/2012		49747	20/06/2007		06/10/2009		Député
95065N	M.	Rouquet	René	ANCIEN	47477		20/06/2007		19/06/2012		49748	06/10/2009		05/10/2010		Secrétaire de l'Assemblée nationale
95065N	M.	Rouquet	René	ANCIEN	47477		20/06/2007		19/06/2012		49749	06/10/2010		19/06/2012		Député
95065N	M.	Rouquet	René	ANCIEN	47478		20/06/2012		20/06/2017		46074	20/06/2012		20/06/2017		Député
16431B	M.	Roustan	Max	ANCIEN	47488		02/04/1993		21/04/1997		46084	02/04/1993		21/04/1997		Député
16431B	M.	Roustan	Max	ANCIEN	47489		19/06/2002		19/06/2007		46085	19/06/2002		19/06/2007		Député
16431B	M.	Roustan	Max	ANCIEN	47490		20/06/2007		19/06/2012		46086	20/06/2007		19/06/2012		Député
01019Q	M.	Saugey	Bernard	ANCIEN	47590		02/04/1993		21/04/1997		46186	02/04/1993		21/04/1997		Député
93005R	M.	Schosteck	Jean-Pierre	ANCIEN	47626		04/02/2008		19/06/2012		46222	04/02/2008		19/06/2012		Député
74044S	M.	Schumann	Maurice	ANCIEN	9685			1945		1958	3216					Député
59307H	M.	Schwint	Robert	ANCIEN	47643		13/06/1988		01/04/1993		46239	13/06/1988		01/04/1993		Député
92043T	M.	Sergent	Michel	ANCIEN	47663		25/04/1983		01/04/1986		46259	25/04/1983		01/04/1986		Député
04101V	M.	Siffre	Jacques	ANCIEN	47679		02/04/1986		14/05/1988		46275	02/04/1986		14/05/1988		Député
01050P	M.	Soulage	Daniel	ANCIEN	47694		02/04/1993		21/04/1997		46290	02/04/1993		21/04/1997		Député
89005M	M.	Sourdille	Jacques	ANCIEN	47697		11/07/1968		01/04/1973		46293	11/07/1968		01/04/1973		Député
89005M	M.	Sourdille	Jacques	ANCIEN	47698		02/04/1973		01/05/1977		46294	02/04/1973		01/05/1977		Député
89005M	M.	Sourdille	Jacques	ANCIEN	47699		03/04/1978		22/05/1981		46295	03/04/1978		22/05/1981		Député
89005M	M.	Sourdille	Jacques	ANCIEN	47700		02/04/1986		14/05/1988		46296	02/04/1986		14/05/1988		Député
01028R	M.	Sueur	Jean-Pierre	ACTIF	48603		02/07/1981		01/04/1986		47199	02/07/1981		01/04/1986		Député
01028R	M.	Sueur	Jean-Pierre	ACTIF	48604		02/04/1986		14/05/1988		47200	02/04/1986		14/05/1988		Député
01028R	M.	Sueur	Jean-Pierre	ACTIF	48605		13/06/1988		17/06/1991		47201	13/06/1988		17/06/1991		Député
