ValAvt	ValApr
ECOLOGISTE	ECO
AUCUN	NA
C	COM
C N I P	CNIP
CRARS	CRARS
CRCE	CRCE
G D	GD
G D S R G	GDSRG
INDETERMINE e Indefini e	NA
LAREM	REM
LES INDEPENDANTS	LI
LES REPUBLICAINS	LR
MRP	MRP
NI	NI
R D E	RDE
R I A S	RIAS
RDSE	RDSE
RI	RI
RP	RP
RPCD	RPCD
RPR	RPR
SOCR	SOCR
U C D P	UCDP
U D R	UDR
U N R	UNR
U R E I	UREI
UC	UC
