Matricule	Id appartenance	Id fonction occupée	Nom	Prénom	Code du groupe politique	Nom court du groupe politique	Date de début d'appartenance	Date de fin d'appartenance	Nom court fonction	Date de début de la fonction	Date de fin de la fonction
04038G	2861	3256	Collombat	Pierre-Yves	CRC	Groupe CRCE	03/10/2017		Membre	03/10/2017	
14209N	2459	2777	Commeinhes	François	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14209N	2533	2865	Commeinhes	François	UMP	Groupe Les Républicains	07/10/2014	30/09/2017	Membre	07/10/2014	30/09/2017
19295A	2846	3240	Conconne	Catherine	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19295A	2901	3298	Conconne	Catherine	SOC	Groupe socialiste et républicain	03/10/2017		Membre	03/10/2017	
000196	995	1255	Constant	Georges	GD	Gauche Démocratique		02/10/1983	Membre		02/10/1983
19812Y	3052	3463	Constant	Agnès	NI	Réunion administrative des non-inscrits	01/07/2019	03/07/2019	Membre	01/07/2019	03/07/2019
19812Y	3053	3464	Constant	Agnès	LREM	Groupe La République En Marche	04/07/2019		Membre	04/07/2019	
11027H	2228	2502	Conway-Mouret	Hélène	SOC	Groupe socialiste et républicain	01/10/2011	21/07/2012	Membre	01/10/2011	21/07/2012
11027H	2421	2738	Conway-Mouret	Hélène	SOC	Groupe socialiste et républicain	05/05/2014		Membre	05/05/2014	
57710G	996	1256	Coppenrath	Gérald	UNR	Union pour la Nouvelle République		01/10/1962	Membre		01/10/1962
01035Q	542	541	Coquelle	Yves	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01035Q	580	579	Coquelle	Yves	CRC	Groupe CRCE	02/10/2001	01/01/2007	Membre	02/10/2001	01/01/2007
19681G	2781	3175	Corbisez	Jean-Pierre	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19681G	2880	3276	Corbisez	Jean-Pierre	RDSE	Groupe du RDSE	03/10/2017		Membre	03/10/2017	
89011K	997	1257	Cornac	Claude	SOC	Groupe socialiste et républicain		12/01/1996	Membre		12/01/1996
11114F	2213	2487	Cornano	Jacques	SOC	Groupe socialiste et républicain	01/10/2011	27/06/2017	Membre	01/10/2011	10/06/2015
11114F	2213	2999	Cornano	Jacques	SOC	Groupe socialiste et républicain	01/10/2011	27/06/2017	Membre	11/06/2015	27/06/2017
11114F	2697	3079	Cornano	Jacques	LREM	Groupe La République En Marche	28/06/2017	01/10/2017	Membre	28/06/2017	01/10/2017
000073	998	1258	Cornat	Henri	RI	Groupe des RI		16/06/1968	Membre		16/06/1968
000763	1485	1745	Cornu	André	GD	Gauche Démocratique		01/10/1971	Membre		01/10/1971
98023Q	340	341	Cornu	Gérard	RPR	Groupe du RPR	01/10/1998	10/12/2002	Membre	01/10/1998	10/12/2002
98023Q	724	720	Cornu	Gérard	UMP	Groupe Les Républicains	11/12/2002	30/12/2018	Membre	11/12/2002	30/12/2018
83023N	126	126	de Cossé-Brissac	Charles-Henri	RI	Groupe des RI		30/09/2001	Membre		30/09/2001
59224F	999	1259	Costes	Marcel	SOC	Groupe socialiste et républicain		01/10/1992	Membre		01/10/1992
19253P	2684	3065	Costes	Josiane	AUCUN	Sénateurs n'appartenant à aucun groupe	18/06/2017	18/06/2017	Membre	18/06/2017	18/06/2017
19253P	2689	3071	Costes	Josiane	NI	Réunion administrative des non-inscrits	19/06/2017	26/06/2017	Membre	19/06/2017	26/06/2017
19253P	2690	3072	Costes	Josiane	RDSE	Groupe du RDSE	27/06/2017	16/11/2018	Membre	27/06/2017	16/11/2018
19253P	3040	3442	Costes	Josiane	NI	Réunion administrative des non-inscrits	04/03/2019	04/03/2019	Membre	04/03/2019	04/03/2019
19253P	3039	3444	Costes	Josiane	RDSE	Groupe du RDSE	05/03/2019		Membre	05/03/2019	
000702	1486	1746	Coude Du Foresto	Yvon	UCDP	Union Centriste des Démocrates de Progrès		02/10/1977	Membre		02/10/1977
07030L	1869	2147	Couderc	Raymond	NI	Réunion administrative des non-inscrits	27/08/2007	10/09/2007	Membre	27/08/2007	10/09/2007
07030L	1871	2149	Couderc	Raymond	UMP	Groupe Les Républicains	10/09/2007	30/09/2014	Membre	10/09/2007	30/09/2014
000192	1000	1260	Coudert	Jacques	UDR	Union des Démocrates pour la République		01/10/1977	Membre		01/10/1977
000121	1001	1261	Courbatere	Roger	GD	Gauche Démocratique		01/10/1971	Membre		01/10/1971
74050Q	21	21	Courrière	Raymond	SOC	Groupe socialiste et républicain		11/08/2006	Membre		11/08/2006
000205	1002	1262	Courriere	Antoine	SOC	Groupe socialiste et républicain		20/09/1974	Membre		20/09/1974
000359	1003	1263	Courroy	Louis	RI	Groupe des RI		02/10/1977	Membre		02/10/1977
80013X	22	22	Courteau	Roland	SOC	Groupe socialiste et républicain	02/10/1980		Membre	02/10/1980	
11115U	2774	3168	Courtial	Édouard	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
11115U	2938	3339	Courtial	Édouard	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
95020Y	701	697	Courtois	Jean-Patrick	UMP	Groupe Les Républicains	11/12/2002	12/06/2015	Membre	11/12/2002	15/01/2008
95020Y	701	2164	Courtois	Jean-Patrick	UMP	Groupe Les Républicains	11/12/2002	12/06/2015	Vice-Président délégué	15/01/2008	30/09/2011
95020Y	701	2600	Courtois	Jean-Patrick	UMP	Groupe Les Républicains	11/12/2002	12/06/2015	Membre	01/10/2011	12/06/2015
95020Y	229	2165	Courtois	Jean-Patrick	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
000089	1436	1696	Cousin	Auguste	UREI	Union des Républicains et des Indépendants		10/01/1982	Membre		10/01/1982
000173	1004	1264	Coutrot	Maurice	SOC	Groupe socialiste et républicain		02/10/1977	Membre		02/10/1977
59529V	1005	1265	Couve De Murville	Maurice	RPR	Groupe du RPR		01/10/1995	Membre		01/10/1995
000769	1487	1747	Cremieux	Suzanne	GD	Gauche Démocratique		11/07/1976	Membre		11/07/1976
11001K	2119	2392	Cros	Roselle	AUCUN	Sénateurs n'appartenant à aucun groupe	23/01/2011	24/01/2011	Membre	23/01/2011	24/01/2011
11001K	2120	2393	Cros	Roselle	UC	Groupe Union Centriste	24/01/2011	30/09/2011	Membre	24/01/2011	30/09/2011
71011U	1006	1266	Croze	Pierre	RI	Groupe des RI		19/01/1998	Membre		19/01/1998
59530N	1007	1267	Crucis	Michel	RI	Groupe des RI		01/10/1995	Membre		01/10/1995
11056N	2259	2533	Cukierman	Cécile	CRC	Groupe CRCE	01/10/2011		Membre	01/10/2011	
74019R	311	311	de Cuttoli	Charles	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
14357A	2667	3037	Cuypers	Pierre	NI	Réunion administrative des non-inscrits	01/12/2016	04/12/2016	Membre	01/12/2016	04/12/2016
14357A	2668	3038	Cuypers	Pierre	UMP	Groupe Les Républicains	05/12/2016		Membre	05/12/2016	
19525U	2780	3174	Dagbert	Michel	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19525U	2902	3299	Dagbert	Michel	SOC	Groupe socialiste et républicain	03/10/2017		Membre	03/10/2017	
58649Y	1008	1268	Dagonia	Georges	SOC	Groupe socialiste et républicain		01/10/1986	Membre		01/10/1986
000397	1009	1269	Dailly	Etienne	RDE	Rassemblement Démocratique et Européen		03/03/1995	Membre		03/03/1995
04086Q	1722	1984	Dallier	Philippe	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04086Q	1773	2037	Dallier	Philippe	UMP	Groupe Les Républicains	05/10/2004	30/11/2011	Membre	05/10/2004	30/10/2011
04086Q	1773	2647	Dallier	Philippe	UMP	Groupe Les Républicains	05/10/2004	30/11/2011	Vice-Président	01/11/2011	30/11/2011
04086Q	2341	2661	Dallier	Philippe	UMP	Groupe Les Républicains	01/12/2011		Vice-Président	01/12/2011	06/10/2014
04086Q	2341	2846	Dallier	Philippe	UMP	Groupe Les Républicains	01/12/2011		Vice-Président délégué	07/10/2014	02/10/2017
04086Q	2341	3321	Dallier	Philippe	UMP	Groupe Les Républicains	01/12/2011		Membre	03/10/2017	
14079W	2471	2789	Danesi	René	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14079W	2534	2866	Danesi	René	UMP	Groupe Les Républicains	07/10/2014		Membre	07/10/2014	
07001F	1840	2118	Danglot	Jean-Claude	NI	Réunion administrative des non-inscrits	03/01/2007	04/01/2007	Membre	03/01/2007	04/01/2007
07001F	1843	2122	Danglot	Jean-Claude	CRC	Groupe CRCE	04/01/2007	30/09/2011	Membre	04/01/2007	30/09/2011
11065P	2266	2540	Dantec	Ronan	SOC	Groupe socialiste et républicain	01/10/2011	10/01/2012	Membre	01/10/2011	10/01/2012
11065P	2347	2668	Dantec	Ronan	ECO	Groupe écologiste	11/01/2012	29/06/2017	Membre	11/01/2012	29/06/2017
11065P	2724	3107	Dantec	Ronan	NI	Réunion administrative des non-inscrits	30/06/2017	02/10/2017	Membre	30/06/2017	02/10/2017
11065P	2884	3280	Dantec	Ronan	RDSE	Groupe du RDSE	03/10/2017		Membre	03/10/2017	
98031Q	386	393	Darcos	Xavier	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
98031Q	349	352	Darcos	Xavier	RPR	Groupe du RPR	05/10/1998	07/06/2002	Membre	05/10/1998	07/06/2002
19693L	2796	3190	Darcos	Laure	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19693L	2939	3340	Darcos	Laure	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
000416	1010	1270	Dardel	Georges	NI	Réunion administrative des non-inscrits		02/10/1977	Membre		02/10/1977
14259Y	2519	2837	Darnaud	Mathieu	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14259Y	2535	2867	Darnaud	Mathieu	UMP	Groupe Les Républicains	07/10/2014		Membre	07/10/2014	
95021A	279	279	Darniche	Philippe	NI	Réunion administrative des non-inscrits		30/09/2014	Membre		30/09/2014
000683	1488	1748	Darou	Marcel	SOC	Groupe socialiste et républicain		01/10/1974	Membre		01/10/1974
