Matricule	Id appartenance	Id fonction occupée	Nom	Prénom	Code du groupe politique	Nom court du groupe politique	Date de début d'appartenance	Date de fin d'appartenance	Nom court fonction	Date de début de la fonction	Date de fin de la fonction
83008P	208	208	Abadie	François	RDSE	Groupe du RDSE		02/03/2001	Membre		02/03/2001
14263U	2623	2974	Abate	Patrick	CRC	Groupe CRCE	22/12/2014	17/06/2017	Membre	22/12/2014	17/06/2017
57316A	918	1178	Abdellatif	Mohamed	RI	Groupe des RI		04/07/1962	Membre		04/07/1962
95004Y	636	632	About	Nicolas	RI	Groupe des RI	02/10/2001	10/12/2002	Membre	02/10/2001	10/12/2002
95004Y	797	793	About	Nicolas	UMP	Groupe Les Républicains	11/12/2002	01/08/2003	Membre	11/12/2002	01/08/2003
95004Y	1626	1888	About	Nicolas	UC	Groupe Union Centriste	02/08/2003	23/01/2011	Membre	02/08/2003	06/07/2009
95004Y	1626	2356	About	Nicolas	UC	Groupe Union Centriste	02/08/2003	23/01/2011	Président	07/07/2009	23/01/2011
95004Y	289	289	About	Nicolas	RI	Groupe des RI		01/10/2001	Membre		01/10/2001
000346	919	1179	Achour	Youssef	GD	Gauche Démocratique		04/07/1962	Membre		04/07/1962
08008S	1889	2173	Ackermann	Yves	NI	Réunion administrative des non-inscrits	08/09/2008	10/09/2008	Membre	08/09/2008	10/09/2008
08008S	1890	2174	Ackermann	Yves	SOC	Groupe socialiste et républicain	11/09/2008	30/09/2008	Membre	11/09/2008	30/09/2008
89017R	19	424	Adnot	Philippe	NI	Réunion administrative des non-inscrits			Délégué	05/10/1998	
89017R	19	19	Adnot	Philippe	NI	Réunion administrative des non-inscrits			Membre		04/10/1998
000448	920	1180	Agarande	Henri	SOC	Groupe socialiste et républicain		01/10/1980	Membre		01/10/1980
000425	917	1177	Ahmed	Abdallah Abderamane	NI	Réunion administrative des non-inscrits		09/01/1973	Membre		09/01/1973
11076S	2292	2566	Aïchi	Leila	SOC	Groupe socialiste et républicain	01/10/2011	10/01/2012	Membre	01/10/2011	10/01/2012
11076S	2346	2667	Aïchi	Leila	ECO	Groupe écologiste	11/01/2012	29/06/2017	Membre	11/01/2012	29/06/2017
11076S	2719	3102	Aïchi	Leila	NI	Réunion administrative des non-inscrits	30/06/2017	03/07/2017	Membre	30/06/2017	03/07/2017
11076S	2727	3120	Aïchi	Leila	UC	Groupe Union Centriste	04/07/2017	01/10/2017	Membre	04/07/2017	01/10/2017
59533R	921	1181	D'Aillieres	Michel	RI	Groupe des RI		01/10/1995	Membre		01/10/1995
000260	1597	1857	Al Sid Cheikh	Cheikh	UNR	Union pour la Nouvelle République		04/07/1962	Membre		04/07/1962
01006K	513	512	Alduy	Jean-Paul	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01006K	572	571	Alduy	Jean-Paul	UC	Groupe Union Centriste	02/10/2001	10/12/2002	Membre	02/10/2001	10/12/2002
01006K	829	825	Alduy	Jean-Paul	UMP	Groupe Les Républicains	11/12/2002	30/09/2011	Membre	11/12/2002	30/09/2011
58343H	922	1182	Alduy	Jacqueline	NI	Réunion administrative des non-inscrits		02/10/1983	Membre		02/10/1983
59213C	1565	1825	Alduy	Paul	UC	Groupe Union Centriste		01/10/1992	Membre		01/10/1992
57773X	923	1183	Alexandre Debray	Janine	RI	Groupe des RI		02/10/1977	Membre		02/10/1977
01065W	642	639	Alfonsi	Nicolas	NI	Réunion administrative des non-inscrits	02/12/2001	04/12/2001	Membre	02/12/2001	04/12/2001
01065W	643	640	Alfonsi	Nicolas	RDSE	Groupe du RDSE	04/12/2001	30/09/2014	Membre	04/12/2001	30/09/2014
000087	924	1184	Allies	Charles	SOC	Groupe socialiste et républicain		01/10/1980	Membre		01/10/1980
14133K	2450	2768	Allizard	Pascal	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14133K	2527	2859	Allizard	Pascal	UMP	Groupe Les Républicains	07/10/2014		Membre	07/10/2014	
80002U	38	38	Alloncle	Michel	RPR	Groupe du RPR		30/09/1998	Membre		30/09/1998
83010H	177	177	Allouche	Guy	SOC	Groupe socialiste et républicain		30/09/2001	Membre		30/09/2001
04087R	2353	2674	Alquier	Jacqueline	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04087R	1723	1985	Alquier	Jacqueline	SOC	Groupe socialiste et républicain	05/10/2004	30/09/2014	Membre	05/10/2004	30/09/2014
000724	1464	1724	Alric	Gustave	RI	Groupe des RI		17/10/1967	Membre		17/10/1967
92006N	205	205	Althapé	Louis	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
59214D	925	1185	Amelin	Jean	RPR	Groupe du RPR		01/10/1992	Membre		01/10/1992
57716N	926	1186	Amic	Auguste	SOC	Groupe socialiste et républicain		02/10/1977	Membre		02/10/1977
14239U	2490	2808	Amiel	Michel	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14239U	2606	2956	Amiel	Michel	NI	Réunion administrative des non-inscrits	07/10/2014	14/07/2015	Membre	07/10/2014	14/07/2015
14239U	2650	3011	Amiel	Michel	RDSE	Groupe du RDSE	15/07/2015	27/06/2017	Membre	15/07/2015	27/06/2017
14239U	2692	3074	Amiel	Michel	LREM	Groupe La République En Marche	28/06/2017		Membre	28/06/2017	28/06/2017
14239U	2692	3119	Amiel	Michel	LREM	Groupe La République En Marche	28/06/2017		Membre	30/06/2017	
95005A	237	237	Amoudry	Jean-Paul	UC	Groupe Union Centriste	02/10/1995	30/09/2014	Membre	02/10/1995	30/09/2014
59215E	927	1187	D'Andigne	Hubert	RPR	Groupe du RPR		01/10/1992	Membre		01/10/1992
000689	1465	1725	Andre	Louis	RI	Groupe des RI		01/10/1971	Membre		01/10/1971
01031L	538	537	André	Michèle	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01031L	573	572	André	Michèle	SOC	Groupe socialiste et républicain	02/10/2001	01/10/2017	Membre	02/10/2001	01/10/2017
98036V	354	357	André	Pierre	RPR	Groupe du RPR	01/10/1998	10/12/2002	Membre	01/10/1998	10/12/2002
98036V	725	721	André	Pierre	UMP	Groupe Les Républicains	11/12/2002	30/09/2014	Membre	11/12/2002	30/09/2014
08040S	1960	2235	Andreoni	Serge	SOC	Groupe socialiste et républicain	01/10/2008	30/09/2014	Membre	01/10/2008	30/09/2014
000376	1430	1690	Andrieux	Antoine	SOC	Groupe socialiste et républicain		10/05/1983	Membre		10/05/1983
97009N	269	269	Angels	Bernard	SOC	Groupe socialiste et républicain		30/09/2011	Membre		30/09/2011
000465	928	1188	Anglade	Magdeleine	RPR	Groupe du RPR		24/09/1995	Membre		24/09/1995
12040W	2382	2703	Ango Ela	Kalliopi	ECO	Groupe écologiste	22/07/2012	04/05/2014	Membre	22/07/2012	04/05/2014
11109J	2216	2490	Antiste	Maurice	SOC	Groupe socialiste et républicain	01/10/2011		Membre	01/10/2011	09/06/2015
11109J	2216	2997	Antiste	Maurice	SOC	Groupe socialiste et républicain	01/10/2011		Membre	10/06/2015	
08072B	2002	2273	Antoinette	Jean-Étienne	SOC	Groupe socialiste et républicain	01/10/2008	30/09/2014	Membre	01/10/2008	30/09/2014
08025T	1909	2193	Anziani	Alain	SOC	Groupe socialiste et républicain	01/10/2008	30/09/2017	Membre	01/10/2008	30/09/2017
19760E	3004	3413	Apourceau-Poly	Cathy	AUCUN	Sénateurs n'appartenant à aucun groupe	01/07/2018	01/07/2018	Membre	01/07/2018	01/07/2018
19760E	3006	3415	Apourceau-Poly	Cathy	CRC	Groupe CRCE	02/07/2018		Membre	02/07/2018	
11055M	2299	2573	Archimbaud	Aline	SOC	Groupe socialiste et républicain	01/10/2011	10/01/2012	Membre	01/10/2011	10/01/2012
11055M	2348	2669	Archimbaud	Aline	ECO	Groupe écologiste	11/01/2012	29/06/2017	Membre	11/01/2012	29/06/2017
11055M	2720	3103	Archimbaud	Aline	NI	Réunion administrative des non-inscrits	30/06/2017	01/10/2017	Membre	30/06/2017	01/10/2017
000757	1466	1726	d'Argenlieu	Philippe	UNR	Union pour la Nouvelle République		01/10/1968	Membre		01/10/1968
000037	929	1189	Armengaud	André	RI	Groupe des RI		11/03/1974	Membre		11/03/1974
96008H	39	2068	Arnaud	Philippe	UC	Groupe Union Centriste		30/09/2008	Vice-Président	06/10/2004	30/09/2008
96008H	39	39	Arnaud	Philippe	UC	Groupe Union Centriste		30/09/2008	Membre		05/10/2004
14261S	2522	2840	Arnell	Guillaume	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14261S	2616	2967	Arnell	Guillaume	RDSE	Groupe du RDSE	07/10/2014		Membre	07/10/2014	
59520L	930	1190	Arreckx	Maurice	RI	Groupe des RI		01/10/1995	Membre		01/10/1995
19717B	2845	3239	Artano	Stéphane	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19717B	2878	3273	Artano	Stéphane	RDSE	Groupe du RDSE	03/10/2017		Membre	03/10/2017	
83011J	149	423	Arthuis	Jean	UC	Groupe Union Centriste		01/07/2014	Président	29/09/1998	16/07/2002
83011J	149	656	Arthuis	Jean	UC	Groupe Union Centriste		01/07/2014	Membre	17/07/2002	01/07/2014
83011J	149	149	Arthuis	Jean	UC	Groupe Union Centriste		01/07/2014	Membre		04/10/1998
19631V	2817	3211	Artigalas	Viviane	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19631V	2898	3295	Artigalas	Viviane	SOC	Groupe socialiste et républicain	03/10/2017		Membre	03/10/2017	
80003V	74	74	Arzel	Alphonse	UC	Groupe Union Centriste		30/09/1998	Membre		30/09/1998
04085P	2354	2675	Assassi	Éliane	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04085P	1721	1983	Assassi	Éliane	CRC	Groupe CRCE	05/10/2004		Membre	05/10/2004	18/09/2012
04085P	1721	2706	Assassi	Éliane	CRC	Groupe CRCE	05/10/2004		Président	19/09/2012	02/10/2017
04085P	1721	3254	Assassi	Éliane	CRC	Groupe CRCE	05/10/2004		Président	03/10/2017	
04059M	2355	2676	Assouline	David	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04059M	1691	1953	Assouline	David	SOC	Groupe socialiste et républicain	05/10/2004		Membre	05/10/2004	
98020M	336	337	d'Attilio	Henri	SOC	Groupe socialiste et républicain	01/10/1998	23/12/2004	Membre	01/10/1998	23/12/2004
98011L	326	326	Auban	Bertrand	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
98011L	390	397	Auban	Bertrand	SOC	Groupe socialiste et républicain	05/10/1998	30/09/2014	Membre	05/10/1998	14/10/2004
98011L	390	2065	Auban	Bertrand	SOC	Groupe socialiste et républicain	05/10/1998	30/09/2014	Vice-Président	15/10/2004	30/09/2011
98011L	390	2611	Auban	Bertrand	SOC	Groupe socialiste et républicain	05/10/1998	30/09/2014	Membre	01/10/2011	01/11/2011
98011L	390	2639	Auban	Bertrand	SOC	Groupe socialiste et républicain	05/10/1998	30/09/2014	Vice-Président	02/11/2011	30/09/2014
000012	931	1191	Auberger	Fernand	SOC	Groupe socialiste et républicain		06/03/1962	Membre		06/03/1962
000146	932	1192	Aubert	Emile	SOC	Groupe socialiste et républicain		22/08/1969	Membre		22/08/1969
14137P	2449	2767	Aubey	François	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14137P	2594	2942	Aubey	François	SOC	Groupe socialiste et républicain	07/10/2014	12/06/2015	Membre	07/10/2014	12/06/2015
000051	1598	1858	Aubin	Jean	UC	Groupe Union Centriste		01/10/1971	Membre		01/10/1971
58614M	933	1193	Aubry	André	C	Communistes		02/10/1977	Membre		02/10/1977
000098	934	1194	Auburtin	Jean	RPR	Groupe du RPR		02/10/1977	Membre		02/10/1977
000292	935	1195	Audy	Marcel	GD	Gauche Démocratique		22/09/1962	Membre		22/09/1962
83012K	634	630	Autain	François	CRC	Groupe CRCE	02/10/2001	12/05/2009	Membre	02/10/2001	12/05/2009
83012K	2082	2355	Autain	François	CRC	Groupe CRCE	13/05/2009	30/09/2011	Membre	13/05/2009	30/09/2011
83012K	129	129	Autain	François	SOC	Groupe socialiste et républicain		01/10/2001	Membre		01/10/2001
00001A	429	446	Autexier	Jean-Yves	NI	Réunion administrative des non-inscrits	28/01/2000	04/02/2000	Membre	28/01/2000	04/02/2000
00001A	430	447	Autexier	Jean-Yves	CRC	Groupe CRCE	04/02/2000	30/09/2004	Membre	04/02/2000	30/09/2004
80004W	18	18	Authié	Germain	SOC	Groupe socialiste et républicain		30/09/1998	Membre		30/09/1998
19515S	2757	3151	Babary	Serge	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19515S	2923	3323	Babary	Serge	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
57741P	897	1157	Bac	Jean	RPR	Groupe du RPR		02/10/1977	Membre		02/10/1977
95006B	94	94	Badinter	Robert	SOC	Groupe socialiste et républicain		30/09/2011	Membre		30/09/2011
95007C	93	93	Badré	Denis	UC	Groupe Union Centriste		30/09/2011	Membre		30/09/2011
000016	898	1158	de Bagneux	Jean	UREI	Union des Républicains et des Indépendants		01/10/1980	Membre		01/10/1980
89046W	11	11	Bailet	Honoré	RPR	Groupe du RPR		30/09/1998	Membre		30/09/1998
000490	899	1159	Bailly	Jean	UDR	Union des Démocrates pour la République		02/11/1971	Membre		02/11/1971
11039M	2157	2431	Bailly	Dominique	SOC	Groupe socialiste et républicain	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
01008M	515	514	Bailly	Gérard	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01008M	574	573	Bailly	Gérard	RPR	Groupe du RPR	02/10/2001	10/12/2002	Membre	02/10/2001	10/12/2002
01008M	742	738	Bailly	Gérard	UMP	Groupe Les Républicains	11/12/2002	01/10/2017	Membre	11/12/2002	01/10/2017
000339	900	1160	Bajeux	Octave	UCDP	Union Centriste des Démocrates de Progrès		02/10/1983	Membre		02/10/1983
84004P	762	758	Balarello	José	UMP	Groupe Les Républicains	11/12/2002	30/09/2008	Membre	11/12/2002	30/09/2008
84004P	12	12	Balarello	José	RI	Groupe des RI		10/12/2002	Membre		10/12/2002
000115	901	1161	Balestra	Clément	SOC	Groupe socialiste et républicain		02/10/1977	Membre		02/10/1977
74008N	150	150	Ballayer	René	UC	Groupe Union Centriste		26/01/2001	Membre		26/01/2001
59564Y	1596	1856	Bangou	Henri	C	Communistes		01/10/1995	Membre		01/10/1995
19707Y	2824	3218	Bansard	Jean-Pierre	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19707Y	2924	3324	Bansard	Jean-Pierre	UMP	Groupe Les Républicains	03/10/2017	27/07/2018	Membre	03/10/2017	27/07/2018
000733	1467	1727	Baratgin	Paul	GD	Gauche Démocratique		22/12/1966	Membre		22/12/1966
79005G	902	1162	Barbier	Bernard	RI	Groupe des RI		25/02/1998	Membre		25/02/1998
01046T	554	553	Barbier	Gilbert	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01046T	575	574	Barbier	Gilbert	RDSE	Groupe du RDSE	02/10/2001	01/10/2017	Membre	02/10/2001	22/05/2017
01046T	575	3051	Barbier	Gilbert	RDSE	Groupe du RDSE	02/10/2001	01/10/2017	Président	23/05/2017	01/10/2017
000282	903	1163	Barbier	Pierre	GD	Gauche Démocratique		01/10/1974	Membre		01/10/1974
58109Y	904	1164	Bardol	Jean	C	Communistes		01/04/1973	Membre		01/04/1973
94004U	137	137	Bardou	Janine	RI	Groupe des RI		30/09/2001	Membre		30/09/2001
19651A	2784	3178	Bargeton	Julien	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19651A	2879	3275	Bargeton	Julien	LREM	Groupe La République En Marche	03/10/2017		Membre	03/10/2017	
58515K	905	1165	Barkat-Gourat	Hamadou	UNR	Union pour la Nouvelle République		01/10/1968	Membre		01/10/1968
95008D	233	233	Barnier	Michel	RPR	Groupe du RPR		23/09/1999	Membre		23/09/1999
05004A	2442	2760	Baroin	François	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
05004A	2528	2860	Baroin	François	UMP	Groupe Les Républicains	07/10/2014	30/09/2017	Membre	07/10/2014	30/09/2017
000002	906	1166	Barrachin	Edmond	UCDP	Union Centriste des Démocrates de Progrès		08/11/1975	Membre		08/11/1975
000529	907	1167	Barras	Jean	RPR	Groupe du RPR		11/04/1990	Membre		11/04/1990
89018S	828	824	Barraux	Bernard	UMP	Groupe Les Républicains	11/12/2002	30/09/2008	Membre	11/12/2002	30/09/2008
89018S	7	7	Barraux	Bernard	UC	Groupe Union Centriste		10/12/2002	Membre		10/12/2002
000277	908	1168	Barroux	André	SOC	Groupe socialiste et républicain		02/10/1983	Membre		02/10/1983
05008E	2179	2453	Bas	Philippe	UMP	Groupe Les Républicains	01/10/2011		Membre	01/10/2011	
19741B	2992	3398	Bascher	Jérôme	NI	Réunion administrative des non-inscrits	25/11/2017	26/11/2017	Membre	25/11/2017	26/11/2017
19741B	2993	3399	Bascher	Jérôme	UMP	Groupe Les Républicains	27/11/2017		Membre	27/11/2017	
58613L	1428	1688	Bastie	Pierre	SOC	Groupe socialiste et républicain		16/07/1986	Membre		16/07/1986
000032	909	1169	Bastit-St Martin	Armand	RIAS	Républicains Indépendants d'Action Sociale (Devenu C.N.I.P.)		01/10/1980	Membre		01/10/1980
83013L	172	172	Bataille	Jean-Paul	RI	Groupe des RI		16/10/1999	Membre		16/10/1999
11036J	2156	2430	Bataille	Delphine	SOC	Groupe socialiste et républicain	01/10/2011	27/06/2017	Membre	01/10/2011	27/06/2017
11036J	2693	3075	Bataille	Delphine	LREM	Groupe La République En Marche	28/06/2017	01/10/2017	Membre	28/06/2017	01/10/2017
92007P	827	823	Baudot	Jacques	UMP	Groupe Les Républicains	11/12/2002	21/06/2007	Membre	11/12/2002	21/06/2007
92007P	153	153	Baudot	Jacques	UC	Groupe Union Centriste		10/12/2002	Membre		10/12/2002
000400	910	1170	Baumel	Jacques	UNR	Union pour la Nouvelle République		03/04/1967	Membre		03/04/1967
59721T	911	1171	Baumet	Gilbert	RDE	Rassemblement Démocratique et Européen		14/10/1992	Membre		14/10/1992
000663	912	1172	Bayle	Jean-Pierre	SOC	Groupe socialiste et républicain		01/10/1992	Membre		01/10/1992
86010V	261	261	Baylet	Jean-Michel	RDSE	Groupe du RDSE		30/09/2014	Membre		30/09/2014
000116	913	1173	Bayrou	Maurice	UNR	Union pour la Nouvelle République		01/10/1968	Membre		01/10/1968
19667J	2763	3157	Bazin	Arnaud	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19667J	2925	3325	Bazin	Arnaud	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
79004F	270	270	Beaudeau	Marie-Claude	CRC	Groupe CRCE		30/09/2004	Membre		30/09/2004
01013J	520	519	Beaufils	Marie-France	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01013J	583	582	Beaufils	Marie-France	CRC	Groupe CRCE	02/10/2001	01/10/2017	Membre	02/10/2001	01/10/2017
000731	1468	1728	Beaujannot	Joseph	RI	Groupe des RI		01/10/1974	Membre		01/10/1974
04091M	1727	1989	Beaumont	René	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04091M	1734	1996	Beaumont	René	UMP	Groupe Les Républicains	05/10/2004	30/09/2014	Membre	05/10/2004	30/09/2014
000460	914	1174	Beaupetit	Charles	GD	Gauche Démocratique		09/09/1986	Membre		09/09/1986
58819Y	915	1175	Becam	Marc	RPR	Groupe du RPR		02/04/1986	Membre		02/04/1986
84003N	198	198	Bécart	Jean-Luc	CRC	Groupe CRCE		23/09/2001	Membre		23/09/2001
11030C	2132	2410	Béchu	Christophe	UMP	Groupe Les Républicains	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
95009E	404	412	Bécot	Michel	UC	Groupe Union Centriste	05/10/1998	10/12/2002	Membre	05/10/1998	10/12/2002
95009E	826	822	Bécot	Michel	UMP	Groupe Les Républicains	11/12/2002	30/09/2014	Membre	11/12/2002	30/09/2014
95009E	254	254	Bécot	Michel	UC	Groupe Union Centriste		04/10/1998	Membre		04/10/1998
000054	1429	1689	Beguere	Antoine	RI	Groupe des RI		23/10/1960	Membre		23/10/1960
98006P	322	430	Bel	Jean-Pierre	SOC	Groupe socialiste et républicain	01/10/1998	30/09/2014	Membre	01/10/1998	04/10/2004
98006P	322	2000	Bel	Jean-Pierre	SOC	Groupe socialiste et républicain	01/10/1998	30/09/2014	Président	05/10/2004	30/09/2011
98006P	322	2612	Bel	Jean-Pierre	SOC	Groupe socialiste et républicain	01/10/1998	30/09/2014	Membre	01/10/2011	30/09/2014
000091	916	1176	Belabed	Mohamed	NI	Réunion administrative des non-inscrits		04/07/1962	Membre		04/07/1962
80007A	46	46	Belcour	Henri	RPR	Groupe du RPR		30/09/1998	Membre		30/09/1998
19543W	2768	3162	de Belenet	Arnaud	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19543W	2881	3277	de Belenet	Arnaud	LREM	Groupe La République En Marche	03/10/2017		Membre	03/10/2017	
000013	878	1138	Belhabich	Sliman	UNR	Union pour la Nouvelle République		04/07/1962	Membre		04/07/1962
59217G	879	1139	Belin	Gilbert	SOC	Groupe socialiste et républicain		01/10/1992	Membre		01/10/1992
000234	1592	1852	Belkadi	Abdennour	RI	Groupe des RI		04/07/1962	Membre		04/07/1962
86011W	292	292	Bellanger	Jacques	SOC	Groupe socialiste et républicain		30/09/2004	Membre		30/09/2004
89013M	825	821	Belot	Claude	UMP	Groupe Les Républicains	11/12/2002	30/09/2011	Membre	11/12/2002	30/09/2011
89013M	2330	2614	Belot	Claude	UMP	Groupe Les Républicains	01/10/2011	30/09/2014	Membre	01/10/2011	30/09/2014
89013M	40	40	Belot	Claude	UC	Groupe Union Centriste		10/12/2002	Membre		10/12/2002
57701F	880	1140	Beloucif	Amar	NI	Réunion administrative des non-inscrits		04/07/1962	Membre		04/07/1962
000021	881	1141	Benacer	Salah	NI	Réunion administrative des non-inscrits		12/11/1961	Membre		12/11/1961
000064	1593	1853	Benali	Brahim	GD	Gauche Démocratique		04/07/1962	Membre		04/07/1962
000321	882	1142	Benard Mousseaux	Jean	UREI	Union des Républicains et des Indépendants		01/10/1989	Membre		01/10/1989
000541	1594	1854	Benard	Paul	RPR	Groupe du RPR		02/02/1987	Membre		02/02/1987
11033F	2297	2571	Benbassa	Esther	SOC	Groupe socialiste et républicain	01/10/2011	10/01/2012	Membre	01/10/2011	10/01/2012
11033F	2349	2670	Benbassa	Esther	ECO	Groupe écologiste	11/01/2012	29/06/2017	Membre	11/01/2012	29/06/2017
11033F	2721	3104	Benbassa	Esther	NI	Réunion administrative des non-inscrits	30/06/2017	02/10/2017	Membre	30/06/2017	02/10/2017
11033F	2860	3255	Benbassa	Esther	CRC	Groupe CRCE	03/10/2017		Membre	03/10/2017	
000665	1595	1855	Bencherif	Mouaouia	GD	Gauche Démocratique		04/07/1962	Membre		04/07/1962
000047	883	1143	Bene	Jean	SOC	Groupe socialiste et républicain		01/10/1971	Membre		01/10/1971
59309K	884	1144	Benedetti	Georges	SOC	Groupe socialiste et républicain		24/06/1988	Membre		24/06/1988
000759	1469	1729	Benhabyles	Chérif	GD	Gauche Démocratique		28/08/1959	Membre		28/08/1959
58302X	885	1145	Benoist	Daniel	SOC	Groupe socialiste et républicain		03/04/1967	Membre		03/04/1967
56326X	886	1146	Bentchicou	Ahmed	UNR	Union pour la Nouvelle République		04/07/1962	Membre		04/07/1962
000553	887	1147	Beranger	Jean	GD	Gauche Démocratique		01/10/1986	Membre		01/10/1986
59566B	888	1148	Berard	Jacques	RPR	Groupe du RPR		01/10/1995	Membre		01/10/1995
74011H	148	148	Berchet	Georges	RDSE	Groupe du RDSE		30/09/2001	Membre		30/09/2001
000285	889	1149	Bergeal	Aimé	SOC	Groupe socialiste et républicain		26/09/1973	Membre		20/09/1973
89019T	83	83	Bergé-Lavigne	Maryse	SOC	Groupe socialiste et républicain		30/09/2008	Membre		30/09/2008
02007Q	664	659	Bergelin	Christian	RPR	Groupe du RPR	01/10/2002	10/12/2002	Membre	01/10/2002	10/12/2002
02007Q	758	754	Bergelin	Christian	UMP	Groupe Les Républicains	11/12/2002	19/12/2002	Membre	11/12/2002	19/12/2002
08055A	1980	2253	Bérit-Débat	Claude	SOC	Groupe socialiste et républicain	01/10/2008		Membre	01/10/2008	
92009R	151	151	Bernadaux	Jean	UC	Groupe Union Centriste		30/09/2001	Membre		30/09/2001
92010J	145	145	Bernard	Jean	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
59583C	890	1150	Bernard	Roland	SOC	Groupe socialiste et républicain		01/10/1995	Membre		01/10/1995
89020L	824	820	Bernardet	Daniel	UMP	Groupe Les Républicains	11/12/2002	21/11/2007	Membre	11/12/2002	21/11/2007
89020L	106	106	Bernardet	Daniel	UC	Groupe Union Centriste		10/12/2002	Membre		10/12/2002
07003H	1844	2123	Bernard-Reymond	Pierre	NI	Réunion administrative des non-inscrits	26/01/2007	04/02/2007	Membre	26/01/2007	04/02/2007
07003H	1845	2124	Bernard-Reymond	Pierre	UMP	Groupe Les Républicains	05/02/2007	25/09/2011	Membre	05/02/2007	25/09/2011
07003H	2314	2588	Bernard-Reymond	Pierre	NI	Réunion administrative des non-inscrits	26/09/2011	30/09/2014	Membre	26/09/2011	30/09/2014
000340	891	1151	Bernier	Lucien	SOC	Groupe socialiste et républicain		01/10/1968	Membre		01/10/1968
000353	1427	1687	Berrier	Noël	SOC	Groupe socialiste et républicain		18/12/1986	Membre		18/12/1986
11068S	2147	2421	Berson	Michel	SOC	Groupe socialiste et républicain	01/10/2011	27/06/2017	Membre	01/10/2011	09/06/2015
11068S	2147	2998	Berson	Michel	SOC	Groupe socialiste et républicain	01/10/2011	27/06/2017	Membre	10/06/2015	27/06/2017
11068S	2694	3076	Berson	Michel	LREM	Groupe La République En Marche	28/06/2017	01/10/2017	Membre	28/06/2017	01/10/2017
04098U	1801	2079	Bertaud	Claude	UMP	Groupe Les Républicains	02/11/2004	28/06/2005	Membre	02/11/2004	28/06/2005
000701	1470	1730	Bertaud	Jean	RPR	Groupe du RPR		02/10/1977	Membre		02/10/1977
19575F	2822	3216	Berthet	Martine	AUCUN	Sénateurs n'appartenant à aucun groupe	25/09/2017	02/10/2017	Membre	25/09/2017	02/10/2017
19575F	2926	3326	Berthet	Martine	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
000711	1471	1731	Berthoin	Jean	GD	Gauche Démocratique		01/10/1974	Membre		01/10/1974
