ID Senat	Date debut mandat	Date fin mandat	Attribut	ValAvt	ValApr	Commentaire
77058M	01/10/2004	30/09/2014	Date de fin de fonction	NA	30/09/2008	Date manquante
86034E	01/10/2007	30/09/2011	Fonction	NA	PRESIDENT DU SENAT	Information manquante
86034E	01/10/2007	30/09/2011	Date de debut de fonction	NA	01/10/2008	Date manquante
86034E	01/10/2007	30/09/2011	Date de fin de fonction	NA	30/09/2011	Date manquante
98006P	01/10/2008	30/09/2014	Fonction	NA	PRESIDENT DU SENAT	Information manquante
98006P	01/10/2008	30/09/2014	Date de debut de fonction	NA	01/10/2011	Date manquante
98006P	01/10/2008	30/09/2014	Date de fin de fonction	NA	30/09/2014	Date manquante
86034E	01/10/2011	01/10/2017	Fonction	NA	PRESIDENT DU SENAT	Information manquante
86034E	01/10/2011	01/10/2017	Date de debut de fonction	NA	01/10/2014	Date manquante
86034E	01/10/2011	01/10/2017	Date de fin de fonction	NA	01/10/2014	Date manquante
86034E	02/10/2017	01/10/2017	Fonction	NA	PRESIDENT DU SENAT	Information manquante
86034E	02/10/2017	01/10/2017	Date de debut de fonction	NA	01/10/2017	Date manquante
86034E	02/10/2017	NA	Date de fin de fonction	NA	02/10/2017	Date manquante
