Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Region	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
08041T	Mme	Giudicelli	Colette	ACTIF	11647			1998		2001	Provence-Alpes-Côte d'Azur	11520		1998		2001	Conseiller régional
01011G	M.	Godefroy	Jean-Pierre	ANCIEN	6584			1986	28/03/2004	2004	Basse-Normandie	3049		1992	28/03/2004	2004	Conseiller régional
01011G	M.	Godefroy	Jean-Pierre	ANCIEN	6584			1986	28/03/2004	2004	Basse-Normandie	11687		1986		1992	Vice-Président du conseil régional
01011G	M.	Godefroy	Jean-Pierre	ANCIEN	12014		22/03/2010		13/12/2015		Basse-Normandie	11775	22/03/2010	2010	13/12/2015		Conseiller régional
04072J	M.	Goujon	Philippe	ANCIEN	10927			1998		2004	Ile-de-France	10949		1998		2004	Conseiller régional
92024Q	M.	Goulet	Daniel	ANCIEN	1495				28/03/2004	2004	Basse-Normandie	1495			25/02/2007	2007	Vice-Président du conseil régional
01007L	Mme	Gourault	Jacqueline	ANCIEN	6663			1992		2001	Centre	3106		1992		2001	Conseiller régional
01007L	Mme	Gourault	Jacqueline	ANCIEN	10611		28/03/2004	2004		2004	Centre	10614	28/03/2004	2004		2004	Conseiller régional
08056B	Mme	Goy-Chavent	Sylvie	ACTIF	15259		14/12/2015				Auvergne-Rhône-Alpes	13856	14/12/2015				Conseiller régional
14033T	M.	Gremillet	Daniel	ACTIF	15276		14/12/2015				Grand Est	13875	14/12/2015				Conseiller régional
11049P	M.	Grosdidier	François	ACTIF	12506			1992		2002	Lorraine	12721		1992		2002	Conseiller régional
14123H	M.	Grosperrin	Jacques	ACTIF	13987			2004		2014	Franche-Comté	13444		2004		2014	Conseiller régional
98022P	M.	Guérini	Jean-Noël	ACTIF	5090			1992	22/10/1998	1998	Provence-Alpes-Côte d'Azur	2040		1992		1998	Conseiller régional
98022P	M.	Guérini	Jean-Noël	ACTIF	5090			1992	22/10/1998	1998	Provence-Alpes-Côte d'Azur	2156		1998	22/10/1998	1998	Vice-Président du conseil régional
01002F	M.	Guichard	Pierre	ANCIEN	5898			1992		1998	Franche-Comté	2244		1992		1998	Conseiller régional
08016S	M.	Guillaume	Didier	ANCIEN	11532			1992		1998	Rhône-Alpes	11448		1992		1998	Conseiller régional
19553Y	Mme	Guillotin	Véronique	ACTIF	50896		13/12/2015				Grand Est	50198	04/01/2016		15/11/2017		Vice-Président du conseil régional
19553Y	Mme	Guillotin	Véronique	ACTIF	50896		13/12/2015				Grand Est	50440	13/12/2015		04/01/2016		Conseiller régional
19553Y	Mme	Guillotin	Véronique	ACTIF	50896		13/12/2015				Grand Est	50972	16/11/2017				Conseiller régional
86030A	M.	Haenel	Hubert	ANCIEN	1497			1992	10/08/2015	2015	Alsace	1497		1992		2004	Premier Vice-Président du conseil régional
86030A	M.	Haenel	Hubert	ANCIEN	1497			1992	10/08/2015	2015	Alsace	10797		2004	10/08/2015	2015	Vice-Président du conseil régional
19725B	Mme	Harribey	Laurence	ACTIF	51466		13/12/2015				Aquitaine	50674	13/12/2015				Conseiller régional
19569H	M.	Henno	Olivier	ACTIF	51356		22/03/1992		29/03/2001		Nord-Pas-de-Calais	50540	22/03/1992		29/03/2001		Conseiller régional
95038K	M.	Hérisson	Pierre	ANCIEN	5890			1992		1998	Rhône-Alpes	2238		1992		1998	Vice-Président du conseil régional
95038K	M.	Hérisson	Pierre	ANCIEN	5890			1992		1998	Rhône-Alpes	2239		1992		1992	Conseiller régional
04075M	Mme	Hermange	Marie-Thérèse	ANCIEN	10943		22/03/1992	1992	15/03/1998	1998	Ile-de-France	10964	22/03/1992	1992	15/03/1998	1998	Conseiller régional
08027V	M.	Hervé	Edmond	ANCIEN	11592			1986		1988	Bretagne	11480		1986		1988	Conseiller régional
01022K	Mme	Herviaux	Odette	ANCIEN	6496			1998		2010	Bretagne	2975		1998	02/04/2004	2004	Conseiller régional
01022K	Mme	Herviaux	Odette	ANCIEN	6496			1998		2010	Bretagne	10702	02/04/2004	2004		2010	Vice-Président du conseil régional
00004D	M.	Hethener	Alain	ANCIEN	5877					1998	Lorraine	2229				1998	Conseiller régional
83035S	M.	Huchon	Jean	ANCIEN	1489				08/12/2009	2009	Pays de la Loire	1489			08/12/2009	2009	Vice-Président du conseil régional
04078Q	M.	Hue	Robert	ANCIEN	10954			1983		1988	Ile-de-France	10966		1983		1988	Conseiller régional
04078Q	M.	Hue	Robert	ANCIEN	10957			1992		1994	Ile-de-France	10968		1992		1994	Conseiller régional
19399H	M.	Hugonet	Jean-Raymond	ACTIF	50963		13/12/2015		18/10/2017		Ile-de-France	50272	13/12/2015		18/10/2017		Conseiller régional
98028V	M.	Humbert	Jean-François	ANCIEN	5115			1986	02/04/2004	2004	Franche-Comté	2052			02/04/2004	2004	Président du conseil régional
98028V	M.	Humbert	Jean-François	ANCIEN	10637		02/04/2004	2004	21/03/2010	2010	Franche-Comté	10664	02/04/2004	2004	21/03/2010	2010	Conseiller régional
04068N	Mme	Hurel	Sandrine	ANCIEN	10908		28/03/2004	2004		2005	Haute-Normandie	10933	28/03/2004	2004		2005	Vice-Président du conseil régional
95039L	M.	Hyest	Jean-Jacques	ANCIEN	11905			1983		1986	Ile-de-France	11716		1983		1986	Conseiller régional
06006G	M.	Josselin	Charles	ANCIEN	11213			1973		1986	Bretagne	11154		1973		1986	Conseiller régional
09001P	Mme	Jouanno	Chantal	ANCIEN	12835		01/03/2010		14/12/2015		Ile-de-France	13023	01/03/2010		14/12/2015		Conseiller régional
09001P	Mme	Jouanno	Chantal	ANCIEN	15274		15/12/2015				Ile-de-France	13873	15/12/2015				Vice-Président du conseil régional
98034T	M.	Journet	Alain	ANCIEN	10719			1981		1986	Languedoc-Roussillon	10801		1981		1982	Conseiller régional
98034T	M.	Journet	Alain	ANCIEN	10719			1981		1986	Languedoc-Roussillon	10802		1982		1982	Vice-Président du conseil régional
98034T	M.	Journet	Alain	ANCIEN	10719			1981		1986	Languedoc-Roussillon	10803		1982		1986	Conseiller régional
95041E	M.	Joyandet	Alain	ACTIF	13891		22/03/2010		13/07/2010		Franche-Comté	13322	22/03/2010		13/07/2010		Conseiller régional
95041E	M.	Joyandet	Alain	ACTIF	15263		14/12/2015				Bourgogne-Franche-Comté	13860	14/12/2015				Conseiller régional
14039A	M.	Karam	Antoine	ACTIF	13829			1983		2010	Guyane	13259		1983		1986	Conseiller régional
14039A	M.	Karam	Antoine	ACTIF	13829			1983		2010	Guyane	13260		1992		2010	Président du conseil régional
99004R	M.	Karoutchi	Roger	ACTIF	5844			1992		1998	Ile-de-France	2194		1992	11/02/1994	1994	Conseiller régional
99004R	M.	Karoutchi	Roger	ACTIF	5844			1992		1998	Ile-de-France	12283	12/02/1994	1994	17/03/1998	1998	Vice-Président du conseil régional
04061F	Mme	Keller	Fabienne	ANCIEN	10888		15/03/1998	1998	21/03/2004	2004	Alsace	10925		2002	21/03/2004	2004	Conseiller régional
04061F	Mme	Keller	Fabienne	ANCIEN	10888		15/03/1998	1998	21/03/2004	2004	Alsace	11048	15/03/1998	1998		2002	Vice-Président du conseil régional
01021J	M.	Kergueris	Joseph	ANCIEN	6542			1984		2001	Bretagne	3002		1984		2001	Conseiller régional
19489J	M.	Kerrouche	Éric	ACTIF	51326		13/12/2015		15/10/2017		Nouvelle Aquitaine	50505	13/12/2015		15/10/2017		Conseiller régional
03001N	M.	Krattinger	Yves	ANCIEN	6792			1998		2001	Franche-Comté	3148		1998		2001	Conseiller régional
01032M	M.	Labarrère	André	ANCIEN	6628			1979	16/05/2006	2006	Aquitaine	3089		1979	16/05/2006	2006	Président du conseil régional
11112D	M.	Labazée	Georges	ANCIEN	12578			1981		2010	Aquitaine	12851	24/07/1981	1982	01/03/1986	1986	Vice-Président du conseil régional
11112D	M.	Labazée	Georges	ANCIEN	12578			1981		2010	Aquitaine	12852	01/03/1986		01/03/1998		Conseiller régional
11112D	M.	Labazée	Georges	ANCIEN	12578			1981		2010	Aquitaine	12853	01/03/1998		01/03/2010		Vice-Président du conseil régional
19611R	M.	Lafon	Laurent	ACTIF	51265		28/03/2004		23/10/2017		Ile-de-France	50461	28/03/2004		23/10/2017		Conseiller régional
97004H	M.	Lagauche	Serge	ANCIEN	10720			1986		1998	Ile-de-France	10804		1986		1998	Conseiller régional
19583F	M.	Lagourgue	Jean-Louis	ACTIF	51000		21/03/2010				La Réunion	50309	13/12/2015		30/12/2017		Vice-Président du conseil régional
19583F	M.	Lagourgue	Jean-Louis	ACTIF	51000		21/03/2010				La Réunion	50653	21/03/2010		12/12/2015		Conseiller régional
19583F	M.	Lagourgue	Jean-Louis	ACTIF	51000		21/03/2010				La Réunion	50933	31/12/2017				Conseiller régional
92029V	M.	Lambert	Alain	ANCIEN	11908			1986		1989	Basse-Normandie	11719		1986		1989	Conseiller régional
11111C	M.	Lasserre	Jean-Jacques	ANCIEN	12581		16/03/1986				Aquitaine	12857	16/03/1986			1992	Conseiller régional
11111C	M.	Lasserre	Jean-Jacques	ANCIEN	12581		16/03/1986				Aquitaine	12858		1992		1998	Vice-Président du conseil régional
11111C	M.	Lasserre	Jean-Jacques	ANCIEN	12581		16/03/1986				Aquitaine	12859		1998	13/12/2015		Conseiller régional
12041X	M.	Laurent	Pierre	ACTIF	12926		21/03/2010		13/12/2015		Ile-de-France	13112	21/03/2010		13/12/2015		Conseiller régional
08063A	Mme	Laurent-Perrigot	Françoise	ANCIEN	11859					2008	Languedoc-Roussillon	11675				2008	Conseiller régional
95002W	M.	Lauret	Edmond	ANCIEN	1505						La Réunion	1505					Conseiller régional
82002D	M.	Le Grand	Jean-François	ANCIEN	12017		21/03/2010	2010			Basse-Normandie	11778	21/03/2010	2010			Conseiller régional
08037X	M.	Le Menn	Jacky	ANCIEN	11856			1986		1992	Bretagne	11674		1986		1992	Conseiller régional
04076N	Mme	Le Texier	Raymonde	ANCIEN	10939			1992		1994	Ile-de-France	10959		1992		1994	Conseiller régional
07025P	M.	Le Vern	Alain	ANCIEN	11257			1986			Haute-Normandie	11178		1986		1998	Conseiller régional
07025P	M.	Le Vern	Alain	ANCIEN	11257			1986			Haute-Normandie	11181		1998			Président du conseil régional
92030N	M.	Leclerc	Dominique	ANCIEN	10723		11/10/1983	1983	22/03/1985	1985	Centre	10807	11/10/1983	1983	22/03/1985	1985	Conseiller régional
92030N	M.	Leclerc	Dominique	ANCIEN	10724		16/03/1986	1986		1992	Centre	10808	16/03/1986	1986		1992	Conseiller régional
92030N	M.	Leclerc	Dominique	ANCIEN	10724		16/03/1986	1986		1992	Centre	10809		1992		1992	Vice-Président du conseil régional
08010L	M.	Lefèvre	Antoine	ACTIF	11493			2004		2008	Picardie	11423		2004		2008	Conseiller régional
92031P	M.	Legendre	Jacques	ANCIEN	1492			1992	08/12/2001	2001	Nord-Pas-de-Calais	1492		1992	08/12/2001	2001	Conseiller régional
11003M	M.	Léonard	Claude	ANCIEN	12082		01/03/1992		28/02/1998		Lorraine	12275	01/03/1992		28/02/1998		Conseiller régional
98025S	M.	Lepeltier	Serge	ANCIEN	6300			1992		1994	Centre	2874		1992		1994	Conseiller régional
01061S	M.	Leroy	Philippe	ANCIEN	6614			1986	19/08/2019	2002	Lorraine	3080		1986		2002	Vice-Président du conseil régional
01043Q	Mme	Létard	Valérie	ACTIF	6474			1998	08/12/2001	2001	Nord-Pas-de-Calais	2964		1998	08/12/2001	2001	Conseiller régional
01043Q	Mme	Létard	Valérie	ACTIF	10612		28/03/2004	2004	22/06/2010	2010	Nord-Pas-de-Calais	10615	28/03/2004	2004	22/06/2010	2010	Conseiller régional
01043Q	Mme	Létard	Valérie	ACTIF	15292		04/01/2016				Hauts-de-France	13892	04/01/2016		23/11/2017		Premier Vice-Président du conseil régional
01043Q	Mme	Létard	Valérie	ACTIF	15292		04/01/2016				Hauts-de-France	51064	24/11/2017				Conseiller régional
01048V	M.	Longuet	Gérard	ACTIF	6487			1992	02/04/2004	2004	Lorraine	2970		1992	02/04/2004	2004	Président du conseil régional
01048V	M.	Longuet	Gérard	ACTIF	10635		02/04/2004	2004		2010	Lorraine	10662	02/04/2004	2004		2010	Conseiller régional
08012N	M.	Lozach	Jean-Jacques	ACTIF	11517			1986		2008	Limousin	11436		1986		2004	Conseiller régional
08012N	M.	Lozach	Jean-Jacques	ACTIF	11517			1986		2008	Limousin	11437		2004		2008	Premier Vice-Président du conseil régional
14103D	M.	Luche	Jean-Claude	ACTIF	13922			2010		2014	Midi-Pyrénées	13361		2010		2014	Conseiller régional
12016W	M.	Lurel	Victorin	ACTIF	50901		29/03/2004		18/12/2015		Guadeloupe	50204	29/03/2004		03/08/2012		Président du conseil régional
12016W	M.	Lurel	Victorin	ACTIF	50901		29/03/2004		18/12/2015		Guadeloupe	50548	02/05/2014		18/12/2015		Président du conseil régional
04079R	M.	Madec	Roger	ANCIEN	10962		16/03/1986	1986	21/03/2004	2004	Ile-de-France	10974	16/03/1986	1986		1998	Conseiller régional
04079R	M.	Madec	Roger	ANCIEN	10962		16/03/1986	1986	21/03/2004	2004	Ile-de-France	11050		1998	21/03/2004	2004	Vice-Président du conseil régional
80027E	M.	Madrelle	Philippe	ANCIEN	11913			1981	27/08/2019	1985	Aquitaine	11724		1981		1985	Président du conseil régional
11104D	M.	Magner	Jacques-Bernard	ACTIF	12575		15/03/1998		14/03/2010		Auvergne	12844	15/03/1998		14/03/2004		Conseiller régional
11104D	M.	Magner	Jacques-Bernard	ACTIF	12575		15/03/1998		14/03/2010		Auvergne	12845	15/03/2004		14/03/2010		Vice-Président du conseil régional
19657G	Mme	Malet	Viviane	ACTIF	51110		21/03/2015		13/12/2015		La Réunion	50386	21/03/2015		13/12/2015		Conseiller régional
04100U	Mme	Malovry	Lucienne	ANCIEN	11105		15/03/1998	1998	21/03/2004	2004	Ile-de-France	11092	15/03/1998	1998	21/03/2004	2004	Conseiller régional
14111D	M.	Marc	Alain	ACTIF	13937			2004		2007	Midi-Pyrénées	13379		2004		2007	Conseiller régional
11085T	M.	Marseille	Hervé	ACTIF	12534			1993		2004	Ile-de-France	12764		1993		2004	Conseiller régional
04096S	M.	Marsin	Daniel	ANCIEN	12042			2010			Guadeloupe	11794		2010			Conseiller régional
83042R	M.	Masseret	Jean-Pierre	ANCIEN	6586			1983	13/12/2015		Lorraine	3052		1983	01/04/2004	2004	Conseiller régional
83042R	M.	Masseret	Jean-Pierre	ANCIEN	6586			1983	13/12/2015		Lorraine	10630	02/04/2004	2004	13/12/2015		Président du conseil régional
83042R	M.	Masseret	Jean-Pierre	ANCIEN	15254		14/12/2015				Grand Est	13850	14/12/2015				Conseiller régional
95003X	M.	Massion	Marc	ANCIEN	10726			1978		1992	Haute-Normandie	10812		1978		1992	Conseiller régional
01060R	M.	Masson	Jean Louis	ACTIF	6596			1998		2002	Lorraine	3067		1998	02/12/2001	2001	Vice-Président du conseil régional
01060R	M.	Masson	Jean Louis	ACTIF	6596			1998		2002	Lorraine	3116	02/12/2001	2001	02/01/2002	2002	Conseiller régional
83043S	M.	Masson	Paul	ANCIEN	5882			1992	28/05/2009	2009	Centre	2234		1992	28/05/2009	2009	Vice-Président du conseil régional
83043S	M.	Masson	Paul	ANCIEN	5882			1992	28/05/2009	2009	Centre	2235		1992	28/05/2009	2009	Conseiller régional
92037V	M.	Mauroy	Pierre	ANCIEN	11916			1974		1981	Nord-Pas-de-Calais	11726		1974		1981	Président du conseil régional
08053X	M.	Mazuir	Rachel	ACTIF	11706		15/03/1998	1998	21/03/2004	2004	Rhône-Alpes	11569	15/03/1998	1998	21/03/2004	2004	Conseiller régional
14147R	Mme	Mercier	Marie	ACTIF	13985		01/03/2004		01/03/2010		Bourgogne	13442	01/03/2004	2004	01/03/2010	2010	Conseiller régional
95049N	M.	Mercier	Michel	ANCIEN	11918			1992		1993	Rhône-Alpes	11728		1992		1993	Vice-Président du conseil régional
01020H	M.	Mermaz	Louis	ANCIEN	6550		01/03/1992	1992	01/08/1992	1992	Rhône-Alpes	3009	01/03/1992	1992	01/08/1992	1992	Conseiller régional
01020H	M.	Mermaz	Louis	ANCIEN	6626			1973		1986	Rhône-Alpes	3087		1973		1986	Conseiller régional
95050F	Mme	Michaux-Chevry	Lucette	ANCIEN	1502				02/04/2004	2004	Guadeloupe	1502			02/04/2004	2004	Président du conseil régional
95050F	Mme	Michaux-Chevry	Lucette	ANCIEN	10634		02/04/2004	2004		2005	Guadeloupe	10661	02/04/2004	2004		2005	Conseiller régional
04092N	M.	Milon	Alain	ACTIF	11020		15/03/1998	1998		2001	Provence-Alpes-Côte d'Azur	11015	15/03/1998	1998		2001	Conseiller régional
92039X	M.	Miquel	Gérard	ANCIEN	10727			1986		1992	Midi-Pyrénées	10813		1986		1992	Conseiller régional
68036E	M.	Monory	René	ANCIEN	10728			1973	11/04/2009	2009	Poitou-Charentes	10816		1973	11/04/2009	2009	Conseiller régional
68036E	M.	Monory	René	ANCIEN	10728			1973	11/04/2009	2009	Poitou-Charentes	10817		1985	11/04/2009	2009	Président du conseil régional
68036E	M.	Monory	René	ANCIEN	10728			1973	11/04/2009	2009	Poitou-Charentes	10818		1986	11/04/2009	2009	Conseiller régional
04070G	Mme	Morin-Desailly	Catherine	ACTIF	10913		28/03/2004	2004	20/12/2004	2004	Haute-Normandie	10937	28/03/2004	2004	20/12/2004	2004	Conseiller régional
04070G	Mme	Morin-Desailly	Catherine	ACTIF	12015		22/03/2010		01/04/2014		Haute-Normandie	11776	22/03/2010	2010	01/04/2014		Conseiller régional
14071N	M.	Mouiller	Philippe	ACTIF	13861			2014	01/10/2014		Poitou-Charentes	13291		2014	01/10/2014		Conseiller régional
92040Q	M.	Nachbar	Philippe	ACTIF	15255		14/12/2015				Grand Est	13852	14/12/2015				Conseiller régional
98008R	M.	Natali	Paul	ANCIEN	5238			1984		1998	Corse	2125		1984		1998	Conseiller régional
08021P	M.	Navarro	Robert	ANCIEN	11555			1998			Languedoc-Roussillon	11459		1998		2004	Conseiller régional
08021P	M.	Navarro	Robert	ANCIEN	11555			1998			Languedoc-Roussillon	11460		2004	13/12/2015		Vice-Président du conseil régional
11105E	M.	Néri	Alain	ANCIEN	12417		01/01/1983		01/01/1985	1985	Auvergne	12583	01/01/1983		01/01/1985		Vice-Président du conseil régional
09012S	Mme	Nicoux	Renée	ANCIEN	11989			2004		2010	Limousin	11757		2004		2008	Conseiller régional
09012S	Mme	Nicoux	Renée	ANCIEN	11989			2004		2010	Limousin	11758		2008		2010	Vice-Président du conseil régional
14253S	M.	Nougein	Claude	ACTIF	14265		01/03/1992		01/03/2004		Limousin	13581	01/03/1992		01/03/2004		Conseiller régional
95051G	Mme	Olin	Nelly	ANCIEN	6239			1992		1995	Ile-de-France	2581		1992		1995	Conseiller régional
89035T	M.	Othily	Georges	ANCIEN	1503				18/12/2017		Guyane	1503			18/12/2017		Conseiller régional
19573D	M.	Paccaud	Olivier	ACTIF	51394		21/03/2011		13/12/2015		Picardie	50579	21/03/2011		13/12/2015		Conseiller régional
77053G	M.	Pasqua	Charles	ANCIEN	11368			1986		1986	Ile-de-France	11329		1986		1986	Conseiller régional
77053G	M.	Pasqua	Charles	ANCIEN	11368			1986		1986	Ile-de-France	11330		1992		1992	Conseiller régional
08061X	M.	Patriat	François	ACTIF	11752		02/04/2004		13/12/2015		Bourgogne	11612	02/04/2004	2004	13/12/2015		Président du conseil régional
98002K	M.	Payet	Lylian	ANCIEN	1504						La Réunion	1504					Vice-Président du conseil régional
14237S	M.	Pellevat	Cyril	ACTIF	15260		14/12/2015				Auvergne-Rhône-Alpes	13857	14/12/2015				Conseiller régional
83047W	M.	Percheron	Daniel	ANCIEN	1496				13/12/2015		Nord-Pas-de-Calais	1496			13/04/2001		Vice-Président du conseil régional
83047W	M.	Percheron	Daniel	ANCIEN	1496				13/12/2015		Nord-Pas-de-Calais	2883	13/04/2001		13/12/2015		Président du conseil régional
14028W	Mme	Perol-Dumont	Marie-Françoise	ACTIF	13801			1992		1997	Limousin	13226		1992		1997	Conseiller régional
98040R	M.	Peyrat	Jacques	ANCIEN	5242			1993		1997	Provence-Alpes-Côte d'Azur	2130		1993		1997	Conseiller régional
98015Q	M.	Picheral	Jean-François	ANCIEN	11136			1982		1989	Provence-Alpes-Côte d'Azur	11109		1982		1989	Conseiller régional
98021N	M.	Pintat	Xavier	ANCIEN	10606			1992		1993	Aquitaine	10609		1992		1993	Conseiller régional
11069T	M.	Placé	Jean-Vincent	ANCIEN	15268		14/12/2015				Ile-de-France	13867	14/12/2015				Conseiller régional
95056M	M.	Plasait	Bernard	ANCIEN	10572			1992		1996	Ile-de-France	10565				2003	Conseiller régional
05012A	M.	Pointereau	Rémy	ACTIF	11171			1998		2001	Centre	11127		1998		2001	Conseiller régional
08029X	M.	Povinelli	Roland	ANCIEN	11628					1998	Provence-Alpes-Côte d'Azur	11504				1998	Conseiller régional
17583W	M.	Priou	Christophe	ACTIF	51411		13/12/2015				Pays de la Loire	50602	13/12/2015		19/10/2017		Vice-Président du conseil régional
17583W	M.	Priou	Christophe	ACTIF	51411		13/12/2015				Pays de la Loire	50896	20/10/2017				Conseiller régional
000639	M.	Proriol	Jean	ANCIEN	10552						Auvergne	10547					Vice-Président du conseil régional
000639	M.	Proriol	Jean	ANCIEN	10552						Auvergne	10548					Conseiller régional
14247U	M.	Rachline	David	ANCIEN	14247			2014		2014	Provence-Alpes-Côte d'Azur	13571		2014		2014	Conseiller régional
95059Q	M.	Raffarin	Jean-Pierre	ANCIEN	1500		19/12/1988		08/05/2002		Poitou-Charentes	1500	19/12/1988		08/05/2002		Président du conseil régional
14135M	M.	Raison	Michel	ACTIF	13964			1992		2008	Franche-Comté	13414		1992		2004	Vice-Président du conseil régional
14135M	M.	Raison	Michel	ACTIF	13964			1992		2008	Franche-Comté	13631		2005		2008	Conseiller régional
14331P	M.	Rapin	Jean-François	ACTIF	15280		01/01/2016				Hauts-de-France	13881	01/01/2016				Conseiller régional
14055N	M.	Ravier	Stéphane	ACTIF	14245		01/03/2010		24/10/2017		Provence-Alpes-Côte d'Azur	13568	01/03/2010	2010		2014	Conseiller régional
14055N	M.	Ravier	Stéphane	ACTIF	14245		01/03/2010		24/10/2017		Provence-Alpes-Côte d'Azur	13864	14/12/2015		24/10/2017		Conseiller régional
08070Y	M.	Rebsamen	François	ANCIEN	11786			1994		2001	Bourgogne	11637		1994		2001	Conseiller régional
10015M	M.	Reichardt	André	ACTIF	12054			1998	13/12/2015		Alsace	11802	27/03/2010	2010	13/12/2015		Premier Vice-Président du conseil régional
10015M	M.	Reichardt	André	ACTIF	12054			1998	13/12/2015		Alsace	11803		1998	13/09/2009	2009	Conseiller régional
10015M	M.	Reichardt	André	ACTIF	12054			1998	13/12/2015		Alsace	13075	14/09/2009		26/03/2010		Président du conseil régional
10015M	M.	Reichardt	André	ACTIF	15256		14/12/2015				Grand Est	13853	14/12/2015				Conseiller régional
01014K	M.	Reiner	Daniel	ANCIEN	6573			1986		2002	Lorraine	3035		1986		2002	Conseiller régional
85002R	M.	Renar	Ivan	ANCIEN	1493				01/04/2004	2004	Nord-Pas-de-Calais	1493			01/04/2004	2004	Vice-Président du conseil régional
11012A	M.	Requier	Jean-Claude	ACTIF	12400		16/03/1986			2001	Midi-Pyrénées	12527	16/03/1986		16/03/2001	2001	Conseiller régional
04033B	M.	Retailleau	Bruno	ACTIF	10760		15/03/1998				Pays de la Loire	10842	15/03/1998	1998	21/03/1998	1998	Conseiller régional
04033B	M.	Retailleau	Bruno	ACTIF	10760		15/03/1998				Pays de la Loire	10844	22/03/1998	1998	21/03/2004	2004	Vice-Président du conseil régional
04033B	M.	Retailleau	Bruno	ACTIF	10760		15/03/1998				Pays de la Loire	10847	22/03/2004	2004		2004	Conseiller régional
04033B	M.	Retailleau	Bruno	ACTIF	10760		15/03/1998				Pays de la Loire	13866	14/12/2015		30/09/2017		Président du conseil régional
04033B	M.	Retailleau	Bruno	ACTIF	10760		15/03/1998				Pays de la Loire	50794	01/10/2017				Conseiller régional
95062K	M.	Revet	Charles	ANCIEN	11928			1992		1993	Haute-Normandie	11737		1992		1993	Conseiller régional
89037V	M.	Revol	Henri	ANCIEN	10705			1986		1989	Bourgogne	10773		1986		1989	Vice-Président du conseil régional
92005M	M.	Richert	Philippe	ANCIEN	6750			1985		1992	Alsace	3127		1985		1992	Vice-Président du conseil régional
92005M	M.	Richert	Philippe	ANCIEN	12013		22/03/2010	2010			Alsace	11774	22/03/2010	2010			Président du conseil régional
04065K	M.	Ries	Roland	ANCIEN	10905					2004	Alsace	10932				2004	Conseiller régional
89038W	M.	Rigaudière	Roger	ANCIEN	1486				17/02/1999	1999	Auvergne	1486			17/02/1999	1999	Vice-Président du conseil régional
98033S	M.	Rispat	Yves	ANCIEN	5137			1998	27/10/1998		Midi-Pyrénées	2064		1998	27/10/1998		Conseiller régional
98033S	M.	Rispat	Yves	ANCIEN	10613		28/03/2004	2004		2004	Midi-Pyrénées	10616	28/03/2004	2004		2004	Conseiller régional
14229S	Mme	Robert	Sylvie	ACTIF	14365			2010	01/10/2014		Bretagne	13663		2010	01/10/2014		Premier Vice-Président du conseil régional
89039X	M.	Rocca Serra	Jacques	ANCIEN	1485						Provence-Alpes-Côte d'Azur	1485					Conseiller régional
59312E	M.	Romani	Roger	ANCIEN	11879					2004	Ile-de-France	11684				2004	Conseiller régional
11045K	Mme	Rossignol	Laurence	ACTIF	12383		15/03/1998		13/12/2015		Picardie	12981	15/03/1998		13/12/2015		Vice-Président du conseil régional
16431B	M.	Roustan	Max	ANCIEN	51360		16/03/1998		04/07/2002		Languedoc-Roussillon	50544	16/03/1998		04/07/2002		Conseiller régional
14107H	M.	Roux	Jean-Yves	ACTIF	14313		21/03/2010		02/02/2015		Provence-Alpes-Côte d'Azur	13603	21/03/2010		02/02/2015		Conseiller régional
19619A	Mme	Saint-Pé	Denise	ACTIF	51157		28/03/2004				Nouvelle Aquitaine	50413	28/03/2004				Conseiller régional
01019Q	M.	Saugey	Bernard	ANCIEN	6545			1986		1993	Rhône-Alpes	3006		1986		1993	Conseiller régional
01019Q	M.	Saugey	Bernard	ANCIEN	10730			1974		1979	Rhône-Alpes	10822		1974		1979	Conseiller régional
89040Q	M.	Saunier	Claude	ANCIEN	10738			1976		1988	Bretagne	10832		1976		1988	Conseiller régional
11097X	M.	Savary	René-Paul	ACTIF	12551		16/03/1986		21/03/2004		Champagne-Ardenne	12801	16/03/1986		21/03/2004		Conseiller régional
93005R	M.	Schosteck	Jean-Pierre	ANCIEN	10673		16/03/1986	1986	21/03/1992	1992	Ile-de-France	10722	16/03/1986	1986	21/03/1992	1992	Conseiller régional
92043T	M.	Sergent	Michel	ANCIEN	11930			1988		1992	Nord-Pas-de-Calais	11739		1988		1992	Vice-Président du conseil régional
01058X	M.	Sido	Bruno	ACTIF	6521			1998	08/12/2001	2001	Champagne-Ardenne	2988		1998	08/12/2001	2001	Vice-Président du conseil régional
01028R	M.	Sueur	Jean-Pierre	ACTIF	12885			1981		1986	Centre	13076		1981		1986	Conseiller régional
19689Q	Mme	Taillé-Polian	Sophie	ACTIF	51276		13/12/2015		18/10/2017		Ile-de-France	50466	13/12/2015		18/10/2017		Conseiller régional
19669L	M.	Temal	Rachid	ACTIF	51198		13/12/2015		19/10/2017		Ile-de-France	50429	13/12/2015		19/10/2017		Conseiller régional
19301E	M.	Théophile	Dominique	ACTIF	50895		13/12/2015				Guadeloupe	50638	13/12/2015				Conseiller régional
