Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Region	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
89015P	M.	Besson	Jean	ANCIEN	10609		28/03/2004	2004	21/03/2010	2010	Rhône-Alpes	10612	28/03/2004	2004	21/03/2010	2010	Vice-Président du conseil régional
89015P	M.	Besson	Jean	ANCIEN	10709			1986		1989	Rhône-Alpes	10777		1986		1989	Conseiller régional
14093U	M.	Bignon	Jérôme	ACTIF	13926		17/03/1986		13/04/2004		Picardie	13366	23/03/1992		17/04/1993		Vice-Président du conseil régional
14093U	M.	Bignon	Jérôme	ACTIF	13926		17/03/1986		13/04/2004		Picardie	13381	17/03/1986		22/03/1992		Conseiller régional
14093U	M.	Bignon	Jérôme	ACTIF	13926		17/03/1986		13/04/2004		Picardie	13383	29/03/2004		13/04/2004		Conseiller régional
14065Q	M.	Bigot	Jacques	ACTIF	13858		15/03/1998		06/10/2010		Alsace	13287	15/03/1998		06/10/2010		Conseiller régional
01005J	M.	Blanc	Jacques	ANCIEN	6357				02/04/2004	2004	Languedoc-Roussillon	2914			02/04/2004	2004	Président du conseil régional
01005J	M.	Blanc	Jacques	ANCIEN	10636		02/04/2004	2004	21/03/2010	2010	Languedoc-Roussillon	10663	02/04/2004	2004	21/03/2010	2010	Conseiller régional
01044R	Mme	Blandin	Marie-Christine	ANCIEN	6476			1992	22/10/2001	2001	Nord-Pas-de-Calais	2965		1998	22/10/2001	2001	Conseiller régional
01044R	Mme	Blandin	Marie-Christine	ANCIEN	6476			1992	22/10/2001	2001	Nord-Pas-de-Calais	3017		1992		1998	Président du conseil régional
71003U	M.	Blin	Maurice	ANCIEN	10710			1992		1998	Champagne-Ardenne	10778		1992		1998	Premier Vice-Président du conseil régional
04040A	M.	Bockel	Jean-Marie	ACTIF	11044			1981		1984	Alsace	11035		1981		1984	Conseiller régional
04052E	M.	Bodin	Yannick	ANCIEN	10851		15/03/1998	1998	21/03/2004	2004	Ile-de-France	11037	15/03/1998	1998	21/03/2004	2004	Vice-Président du conseil régional
19367Y	Mme	Bonfanti-Dossat	Christine	ACTIF	51429		21/03/2010		13/12/2015		Aquitaine	50628	21/03/2010		13/12/2015		Conseiller régional
14089Y	M.	Bonnecarrère	Philippe	ACTIF	13897			1986		1993	Midi-Pyrénées	13329		1986		1993	Premier Vice-Président du conseil régional
08060W	Mme	Bonnefoy	Nicole	ACTIF	11727			1998		2008	Poitou-Charentes	11591		1998		2004	Conseiller régional
08060W	Mme	Bonnefoy	Nicole	ACTIF	11727			1998		2008	Poitou-Charentes	11592		2004		2008	Vice-Président du conseil régional
14167V	M.	Boulard	Jean-Claude	ANCIEN	14362			1986	31/05/2018	1988	Pays de la Loire	13660		1986		1988	Conseiller régional
89022N	M.	Bourdin	Joël	ANCIEN	11901			1986		1989	Haute-Normandie	11712		1986		1989	Conseiller régional
11018G	M.	Bourquin	Christian	ANCIEN	12435		28/03/2004	2004	26/08/2014		Languedoc-Roussillon	12648		2004	10/04/2010		Premier Vice-Président du conseil régional
11018G	M.	Bourquin	Christian	ANCIEN	12435		28/03/2004	2004	26/08/2014		Languedoc-Roussillon	12930	10/11/2010		26/08/2014		Président du conseil régional
08068F	M.	Bourquin	Martial	ACTIF	11774			1992		2008	Franche-Comté	11627	01/03/1992	1992		2004	Conseiller régional
08068F	M.	Bourquin	Martial	ACTIF	11774			1992		2008	Franche-Comté	11628	01/03/2004	2004		2008	Vice-Président du conseil régional
08050U	Mme	Bourzai	Bernadette	ANCIEN	11686			1986		2001	Limousin	11557	01/03/1986	1986	01/03/1992	2001	Conseiller régional
08050U	Mme	Bourzai	Bernadette	ANCIEN	11686			1986		2001	Limousin	11645	01/03/1992	1992	01/06/2001		Vice-Président du conseil régional
88004G	M.	Boyer	André	ANCIEN	11350			1985	24/09/2008	2008	Midi-Pyrénées	11319		1985	24/09/2008	2008	Conseiller régional
01052R	M.	Boyer	Jean	ANCIEN	6543			1983		1988	Auvergne	3003		1983		1988	Conseiller régional
98049B	Mme	Boyer	Yolande	ANCIEN	5199			1998		1998	Bretagne	2097				1998	Conseiller régional
95012Y	M.	Braun	Gérard	ANCIEN	1501				28/03/2004	2004	Lorraine	1501			28/03/2004	2004	Vice-Président du conseil régional
04053F	Mme	Bricq	Nicole	ANCIEN	10854		16/03/1986	1986	22/03/1992	1992	Ile-de-France	10906	16/03/1986	1986	22/03/1992		Conseiller régional
19621T	M.	Brisson	Max	ACTIF	51136		15/03/1998		01/05/2001		Aquitaine	50395	15/03/1998		01/05/2001		Conseiller régional
08020N	Mme	Bruguière	Marie-Thérèse	ACTIF	11552		02/04/2004	2004		2008	Languedoc-Roussillon	11457	02/04/2004	2004		2008	Conseiller régional
19758L	Mme	Brulin	Céline	ACTIF	51595		13/12/2015				Normandie	51061	13/12/2015				Conseiller régional
08007R	M.	Brun	Elie	ANCIEN	12018		21/03/2010	2010		2010	Provence-Alpes-Côte d'Azur	11779	21/03/2010	2010		2010	Conseiller régional
11101A	M.	Calvet	François	ACTIF	12563		23/03/1992		24/02/2003		Languedoc-Roussillon	12829	23/03/1992		15/03/1998		Conseiller régional
11101A	M.	Calvet	François	ACTIF	12563		23/03/1992		24/02/2003		Languedoc-Roussillon	12830	16/03/1998		31/07/2002		Vice-Président du conseil régional
11101A	M.	Calvet	François	ACTIF	12563		23/03/1992		24/02/2003		Languedoc-Roussillon	12831	01/08/2002		24/02/2003		Conseiller régional
04042C	M.	Cambon	Christian	ACTIF	10810		16/03/1986	1986		2004	Ile-de-France	10878	15/03/1998	1998		2004	Conseiller régional
04042C	M.	Cambon	Christian	ACTIF	10810		16/03/1986	1986		2004	Ile-de-France	10879	16/03/1986	1986	15/03/1998	1998	Vice-Président du conseil régional
95015C	M.	Carle	Jean-Claude	ANCIEN	1498				03/06/2013		Rhône-Alpes	1498			03/06/2013		Conseiller régional
92015P	M.	Carrère	Jean-Louis	ANCIEN	1488				21/03/2010	2010	Aquitaine	1488			21/03/2010	2010	Vice-Président du conseil régional
08024S	Mme	Cartron	Françoise	ACTIF	11574		01/03/1998	1998		2008	Aquitaine	11469	01/03/1998	1998		2008	Vice-Président du conseil régional
11044J	Mme	Cayeux	Caroline	ANCIEN	12861		01/03/2002		30/09/2011		Picardie	13058	01/03/2002		30/09/2011		Conseiller régional
19721W	M.	Cazabonne	Alain	ACTIF	51460		17/03/1985		29/09/1993		Aquitaine	50670	17/03/1985		29/09/1993		Conseiller régional
83021L	M.	Cazalet	Auguste	ANCIEN	11899			1992		1998	Aquitaine	11709		1992		1998	Vice-Président du conseil régional
14329V	Mme	Chain-Larché	Anne	ACTIF	15271		14/12/2015				Ile-de-France	13870	14/12/2015		30/09/2017		Vice-Président du conseil régional
14329V	Mme	Chain-Larché	Anne	ACTIF	15271		14/12/2015				Ile-de-France	51169	01/10/2017				Conseiller régional
92016Q	M.	Charmant	Marcel	ANCIEN	6278			1984		1993	Bourgogne	2766		1984		1983	Conseiller régional
08028W	M.	Chatillon	Alain	ACTIF	11587			1992	06/10/2008	2008	Midi-Pyrénées	11477		1998	06/10/2008	2008	Conseiller régional
08028W	M.	Chatillon	Alain	ACTIF	11587			1992	06/10/2008	2008	Midi-Pyrénées	11478		1992		1998	Vice-Président du conseil régional
08013P	Mme	Chevé	Jacqueline	ANCIEN	11518		28/03/2004		15/03/2010	2010	Bretagne	11434	28/03/2004		15/03/2010	2010	Conseiller régional
02053W	M.	Chevènement	Jean-Pierre	ANCIEN	11635			1981		1982	Franche-Comté	11514		1981		1982	Président du conseil régional
11031D	Mme	Cohen	Laurence	ACTIF	12406		28/03/2004		13/12/2015		Ile-de-France	12552	28/03/2004		13/12/2015		Conseiller régional
99002P	M.	Collomb	Gérard	ANCIEN	6335		15/03/1998	1992		1999	Rhône-Alpes	2894		1992		1999	Conseiller régional
98023Q	M.	Cornu	Gérard	ANCIEN	15266		14/12/2015		30/09/2017		Centre-Val de Loire	13863	14/12/2015		30/09/2017		Conseiller régional
07030L	M.	Couderc	Raymond	ANCIEN	11275			1998		2008	Languedoc-Roussillon	11190		1992		1993	Vice-Président du conseil régional
07030L	M.	Couderc	Raymond	ANCIEN	11275			1998		2008	Languedoc-Roussillon	11191		1986		1992	Conseiller régional
07030L	M.	Couderc	Raymond	ANCIEN	11275			1998		2008	Languedoc-Roussillon	11193		1998		2008	Conseiller régional
07030L	M.	Couderc	Raymond	ANCIEN	12016		21/03/2010	2010		2013	Languedoc-Roussillon	11777	21/03/2010	2010		2013	Conseiller régional
11001K	Mme	Cros	Roselle	ANCIEN	12066			2004		2010	Ile-de-France	11812		2004		2010	Conseiller régional
11056N	Mme	Cukierman	Cécile	ACTIF	15262		14/12/2015				Auvergne-Rhône-Alpes	13859	14/12/2015				Conseiller régional
14079W	M.	Danesi	René	ACTIF	13870		21/03/2010		01/11/2014		Alsace	13301	21/03/2010		01/11/2014		Vice-Président du conseil régional
07001F	M.	Danglot	Jean-Claude	ANCIEN	11220			2003	21/03/2010	2010	Nord-Pas-de-Calais	11160		2003	21/03/2010	2010	Conseiller régional
04055H	M.	Dassault	Serge	ANCIEN	10868			1986	28/05/2018	1995	Ile-de-France	10912		1986		1995	Conseiller régional
98020M	M.	d'Attilio	Henri	ANCIEN	10670			1982	16/03/1986	1986	Provence-Alpes-Côte d'Azur	10714		1982	16/03/1986	1986	Conseiller régional
01012H	M.	Dauge	Yves	ANCIEN	6612			1985		1997	Centre	3078		1985		1997	Conseiller régional
08038Y	M.	Daunis	Marc	ACTIF	11622			1998		2008	Provence-Alpes-Côte d'Azur	11501		1998		2008	Conseiller régional
19649G	Mme	de la Gontrie	Marie-Pierre	ACTIF	51052		15/03/1998		13/12/2015		Ile-de-France	50361	15/03/1998		13/12/2015		Premier Vice-Président du conseil régional
08034U	M.	de Legge	Dominique	ACTIF	11611			1998	13/12/2015		Bretagne	11493		1998	13/12/2015		Conseiller régional
14169X	M.	de Nicolaÿ	Louis-Jean	ACTIF	14015			2010	01/10/2014		Pays de la Loire	13479		2010	01/10/2014		Conseiller régional
98039Y	M.	de Richemont	Henri	ANCIEN	5157			1986			Poitou-Charentes	2077		1986		2004	Vice-Président du conseil régional
98039Y	M.	de Richemont	Henri	ANCIEN	5157			1986			Poitou-Charentes	10627					Conseiller régional
83050R	M.	de Rohan	Josselin	ANCIEN	1491				30/03/2004	2004	Bretagne	1491			30/03/2004	2004	Président du conseil régional
04081K	Mme	Debré	Isabelle	ANCIEN	11040			2004		2005	Ile-de-France	11031		2004		2005	Conseiller régional
19719D	Mme	Delattre	Nathalie	ACTIF	51455		13/12/2015		31/10/2017		Aquitaine	50665	13/12/2015		31/10/2017		Conseiller régional
11035H	M.	Delebarre	Michel	ANCIEN	12791		16/03/1998		25/01/2001		Nord-Pas-de-Calais	12939	16/03/1998		25/01/2001		Président du conseil régional
95023C	M.	Demilly	Fernand	ANCIEN	10715			1976		1979	Picardie	10785		1976		1979	Conseiller régional
04046G	Mme	Demontès	Christiane	ANCIEN	10829			1992		2009	Rhône-Alpes	10887		1992		2004	Conseiller régional
04046G	Mme	Demontès	Christiane	ANCIEN	10829			1992		2009	Rhône-Alpes	10888		2004		2007	Vice-Président du conseil régional
04046G	Mme	Demontès	Christiane	ANCIEN	10829			1992		2009	Rhône-Alpes	11201		2007	15/05/2009	2009	Conseiller régional
19659J	M.	Dennemont	Michel	ACTIF	51091		13/12/2015				La Réunion	50378	13/12/2015				Conseiller régional
10006L	Mme	Deroche	Catherine	ACTIF	12041		28/03/2004	2004			Pays de la Loire	11792	28/03/2004	2004			Conseiller régional
08022Q	Mme	Des Esgaulx	Marie-Hélène	ANCIEN	11569			1986		2004	Aquitaine	11467		1986		2002	Conseiller régional
11113E	M.	Desplan	Félix	ANCIEN	12766		15/03/1998			2004	Guadeloupe	12876	15/03/1998			2004	Conseiller régional
19577H	Mme	Dindar	Nassimah	ACTIF	50998		15/03/1998		18/12/2017		La Réunion	50307	13/12/2015		18/12/2017		Vice-Président du conseil régional
19577H	Mme	Dindar	Nassimah	ACTIF	50998		15/03/1998		18/12/2017		La Réunion	50661	15/03/1998		12/12/2015		Conseiller régional
14042U	Mme	Doineau	Élisabeth	ACTIF	13835			2008	01/01/2015		Pays de la Loire	13263		2008	01/01/2015		Conseiller régional
98030P	M.	Domeizel	Claude	ANCIEN	5223			1988		1992	Provence-Alpes-Côte d'Azur	2110		1988		1992	Vice-Président du conseil régional
98030P	M.	Domeizel	Claude	ANCIEN	5224			1973		1986	Provence-Alpes-Côte d'Azur	2111		1973		1986	Conseiller régional
04071H	M.	Dominati	Philippe	ACTIF	10920		22/03/1992	1992	21/03/2004	2004	Ile-de-France	10945	22/03/1992	1992	21/03/2004	2004	Conseiller régional
99001N	M.	Donnay	Jacques	ANCIEN	5820			1998			Nord-Pas-de-Calais	2172		1998			Conseiller régional
99001N	M.	Donnay	Jacques	ANCIEN	5827			1986		1992	Nord-Pas-de-Calais	2180		1986		1992	Conseiller régional
87003B	M.	Dufaut	Alain	ACTIF	11381		16/03/1986	1986		1988	Provence-Alpes-Côte d'Azur	11350	16/03/1986	1986		1988	Conseiller régional
87003B	M.	Dufaut	Alain	ACTIF	11382		12/03/1992	1992		1992	Provence-Alpes-Côte d'Azur	11352	12/03/1992	1992		1992	Conseiller régional
07033P	Mme	Dumas	Catherine	ACTIF	11303		15/03/1998		21/03/2004	2004	Ile-de-France	11214	15/03/1998		21/03/2004	2004	Conseiller régional
07033P	Mme	Dumas	Catherine	ACTIF	51057		13/12/2015		18/10/2017		Ile-de-France	50367	13/12/2015		18/10/2017		Conseiller régional
14151M	M.	Durain	Jérôme	ACTIF	13986	21/03/2010	21/03/2010		13/12/2015		Bourgogne	13443	21/03/2010		30/08/2012		Conseiller régional
14151M	M.	Durain	Jérôme	ACTIF	13986	21/03/2010	21/03/2010		13/12/2015		Bourgogne	13602	01/09/2012		01/01/2015		Vice-Président du conseil régional
14151M	M.	Durain	Jérôme	ACTIF	13986	21/03/2010	21/03/2010		13/12/2015		Bourgogne	13702	02/01/2015		13/12/2015		Conseiller régional
14151M	M.	Durain	Jérôme	ACTIF	15264		14/12/2015				Bourgogne-Franche-Comté	13861	14/12/2015				Conseiller régional
14249W	Mme	Duranton	Nicole	ACTIF	14255		28/09/2011		01/10/2014		Haute-Normandie	13576	28/09/2011	2011	01/10/2014		Conseiller régional
11110B	Mme	Espagnac	Frédérique	ACTIF	12584		28/03/2004		14/03/2010		Aquitaine	12865	28/03/2004		14/03/2010		Conseiller régional
11110B	Mme	Espagnac	Frédérique	ACTIF	15258		14/12/2015				Nouvelle Aquitaine	13855	14/12/2015				Conseiller régional
14187A	Mme	Estrosi Sassone	Dominique	ACTIF	14248			2004		2010	Provence-Alpes-Côte d'Azur	13572		2004		2010	Conseiller régional
01026P	M.	Etienne	Jean-Claude	ANCIEN	6418			1998	02/04/2004	2004	Champagne-Ardenne	2943		1998	02/04/2004	2004	Président du conseil régional
01026P	M.	Etienne	Jean-Claude	ANCIEN	10639		02/04/2004	2004	21/03/2010	2010	Champagne-Ardenne	10666	02/04/2004	2004	21/03/2010	2010	Conseiller régional
19673G	Mme	Eustache-Brinio	Jacqueline	ACTIF	51166		28/03/2004		30/09/2017		Ile-de-France	50418	28/03/2004		30/09/2017		Conseiller régional
08066D	M.	Fauconnier	Alain	ANCIEN	11756			1998	15/10/2008	2008	Midi-Pyrénées	11617		1998		2004	Conseiller régional
08066D	M.	Fauconnier	Alain	ANCIEN	11756			1998	15/10/2008	2008	Midi-Pyrénées	11618		2004	15/10/2008	2008	Vice-Président du conseil régional
11034G	M.	Favier	Christian	ANCIEN	12493		28/03/2004		31/03/2004	2004	Ile-de-France	12700	28/03/2004		31/03/2004	2004	Conseiller régional
11107G	M.	Filleul	Jean-Jacques	ANCIEN	12810		01/06/1992		30/09/1995		Centre	12969	01/06/1992		30/09/1995		Conseiller régional
02009S	M.	Fillon	François	ANCIEN	10772			1998			Pays de la Loire	10856		1998		2002	Président du conseil régional
02009S	M.	Fillon	François	ANCIEN	10772			1998			Pays de la Loire	10862		2004		2004	Conseiller régional
95032D	M.	Fischer	Guy	ANCIEN	11884			1986		1988	Rhône-Alpes	11695		1986		1988	Conseiller régional
96005E	M.	Flandre	Hilaire	ANCIEN	5830				18/10/2004	2004	Champagne-Ardenne	2184			18/10/2004	2004	Conseiller régional
08023R	M.	Fleming	Louis-Constant	ANCIEN	11849			1986		1992	Guadeloupe	11668		1986		1992	Conseiller régional
11020A	M.	Fontaine	Michel	ANCIEN	15253		13/12/2015		30/06/2016		La Réunion	13849	13/12/2015		30/06/2016		Conseiller régional
01003G	M.	Fortassin	François	ANCIEN	6195			1982	11/03/2001	2001	Midi-Pyrénées	2534		1982	11/03/2001	2001	Conseiller régional
98053W	M.	Foucaud	Thierry	ANCIEN	5232			1992	28/03/2004	2004	Haute-Normandie	2117		1992	28/03/2004	2004	Conseiller régional
02002K	M.	Fouché	Alain	ACTIF	6753			1986		1998	Poitou-Charentes	3130		1995		1988	Conseiller régional
