Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Article de la commune	Commune	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
58913V	M.	De La Verpilliere	Guy	ANCIEN	10139				25/04/2006	2006		Lagnieu	3309			25/04/2006	2006	Maire
08034U	M.	de Legge	Dominique	ACTIF	11609			1983			du	Pertre	11491		1983	31/05/1995	1995	Conseiller municipal
08034U	M.	de Legge	Dominique	ACTIF	11609			1983			du	Pertre	11492	01/06/1995	1995	30/09/2017		Maire
08034U	M.	de Legge	Dominique	ACTIF	11609			1983			du	Pertre	50962	01/10/2017				Conseiller municipal
89034S	M.	de Menou	Jacques	ANCIEN	639				11/08/2010	2010	de 	Plouvorn	639			11/08/2010	2010	Maire
000705	M.	de Montalembert	Geoffroy	ANCIEN	10166							Ermenouville	3336					Maire
98032R	M.	de Montesquiou	Aymeri	ANCIEN	5132			1976	11/03/2001	2001	de 	Marsan	2060			11/03/2001	2001	Maire
98032R	M.	de Montesquiou	Aymeri	ANCIEN	6126		11/03/2001	2001			de	Marsan	2428	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
98032R	M.	de Montesquiou	Aymeri	ANCIEN	6126		11/03/2001	2001			de	Marsan	2689	17/03/2001	2001			Maire
08011M	M.	de Montgolfier	Albéric	ACTIF	11500	16/05/1992		1992			de	Terminiers	11424		1992			Conseiller municipal
14169X	M.	de Nicolaÿ	Louis-Jean	ACTIF	14013		17/03/2014				du	Lude	13477	17/03/2014		01/10/2017		Maire
14169X	M.	de Nicolaÿ	Louis-Jean	ACTIF	14013		17/03/2014				du	Lude	50758	02/10/2017				Conseiller municipal
86044G	M.	de Raincourt	Henri	ANCIEN	787			1977	11/03/2001	2001	de 	Saint-Valérien	787		1977	11/03/2001	2001	Maire
86044G	M.	de Raincourt	Henri	ANCIEN	11342		21/03/2008				de	Saint-Valérien	11310	21/03/2008				Conseiller municipal
98039Y	M.	de Richemont	Henri	ANCIEN	5154			1993	11/03/2001	2001	d'	Etagnac	2074			11/03/2001	2001	Maire
98039Y	M.	de Richemont	Henri	ANCIEN	6134		11/03/2001	2001			d'	Etagnac	2436	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
98039Y	M.	de Richemont	Henri	ANCIEN	6134		11/03/2001	2001			d'	Etagnac	2619	17/03/2001	2001			Maire
94002S	M.	de Rocca Serra	Louis Ferdinand	ANCIEN	615				11/03/2001	2001	de 	Lévie	615			11/03/2001	2001	Maire
94002S	M.	de Rocca Serra	Louis Ferdinand	ANCIEN	6136		11/03/2001	2001			de	Lévie	2438	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
94002S	M.	de Rocca Serra	Louis Ferdinand	ANCIEN	6136		11/03/2001	2001			de	Lévie	2695	17/03/2001	2001			Maire
83050R	M.	de Rohan	Josselin	ANCIEN	686			1965		2000	de 	Josselin	686		1965	27/10/2000	2000	Maire
14363X	Mme	de Rose	Marie-France	ANCIEN	15518	16/03/2008	16/03/2008		16/03/2014		de	Boulogne-Billancourt	14127	16/03/2008		16/03/2014		Adjoint au maire
77017C	M.	Debarge	Marcel	ANCIEN	757				11/03/2001	2001	du	Pré-Saint-Gervais	757			11/03/2001	2001	Conseiller municipal
