Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Article de la commune	Commune	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
14263U	M.	Abate	Patrick	ANCIEN	14392			1989			de 	Talange	13697		1989			Maire
95004Y	M.	About	Nicolas	ANCIEN	788			1977	11/03/2001	2001	de 	Montigny-le-Bretonneux	10593		1977	11/03/2001		Maire
95004Y	M.	About	Nicolas	ANCIEN	6043		11/03/2001	2001	04/10/2004	2004	de	Montigny-le-Bretonneux	2342	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
95004Y	M.	About	Nicolas	ANCIEN	6043		11/03/2001	2001	04/10/2004	2004	de	Montigny-le-Bretonneux	2702	17/03/2001	2001	04/10/2004	2004	Maire
08008S	M.	Ackermann	Yves	ANCIEN	11465			1977		2008	de	Valdoie	11411		1977		1986	Conseiller municipal
08008S	M.	Ackermann	Yves	ANCIEN	11465			1977		2008	de	Valdoie	11412		1986	01/04/2004	2004	Maire
08008S	M.	Ackermann	Yves	ANCIEN	11465			1977		2008	de	Valdoie	11413	01/04/2004	2004		2008	Adjoint au maire
58343H	Mme	Alduy	Jacqueline	ANCIEN	10056				15/03/2016	2016		Amélie les Bains Palalda	3226			15/03/2016	2016	Maire
01006K	M.	Alduy	Jean-Paul	ANCIEN	6360		13/06/1993	1993			de	Perpignan	2919	13/06/1993	1993	25/03/2001	2001	Maire
01006K	M.	Alduy	Jean-Paul	ANCIEN	6360		13/06/1993	1993			de	Perpignan	10599	25/03/2001	2001	26/04/2009		Maire
01006K	M.	Alduy	Jean-Paul	ANCIEN	6360		13/06/1993	1993			de	Perpignan	11748	30/06/2009		21/10/2009		Maire
01006K	M.	Alduy	Jean-Paul	ANCIEN	6360		13/06/1993	1993			de	Perpignan	11763	22/10/2009				Adjoint au maire
59213C	M.	Alduy	Paul	ANCIEN	10057				23/01/2006	2006		Perpignan	3227			23/01/2006	2006	Maire
01065W	M.	Alfonsi	Nicolas	ANCIEN	6651			1962	11/03/2001	2001	de	Piana	3099		1962	11/03/2001	2001	Maire
01065W	M.	Alfonsi	Nicolas	ANCIEN	11413		21/03/2008	2008			de	Piana	11407	21/03/2008	2008			Adjoint au maire
14133K	M.	Allizard	Pascal	ACTIF	13957			1995	01/01/2016		de	Condé-sur-Noireau	13407		1995	01/01/2016		Maire
14133K	M.	Allizard	Pascal	ACTIF	15293		01/01/2016		28/09/2017		de	Condé-en-Normandie	13894	01/01/2016		28/09/2017		Maire
04087R	Mme	Alquier	Jacqueline	ANCIEN	10993			1977		2004	de	Labruguière	10995		1977		1983	Conseiller municipal
04087R	Mme	Alquier	Jacqueline	ANCIEN	10993			1977		2004	de	Labruguière	11032		1983		1989	Adjoint au maire
04087R	Mme	Alquier	Jacqueline	ANCIEN	10993			1977		2004	de	Labruguière	11034		1995		2004	Conseiller municipal
04087R	Mme	Alquier	Jacqueline	ANCIEN	10993			1977		2004	de	Labruguière	11095		1989		1995	Maire
92006N	M.	Althapé	Louis	ANCIEN	719				11/03/2001	2001	de 	Lanne-en-Baretous	719			11/03/2001	2001	Maire
92006N	M.	Althapé	Louis	ANCIEN	6010		11/03/2001	2001			de	Lanne-en-Baretous	2310	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
92006N	M.	Althapé	Louis	ANCIEN	6010		11/03/2001	2001			de	Lanne-en-Baretous	2588	17/03/2001	2001			Maire
14239U	M.	Amiel	Michel	ACTIF	14242		20/03/1995				des	Pennes-Mirabeau	13565	19/03/2001	2001	21/09/2017		Maire
14239U	M.	Amiel	Michel	ACTIF	14242		20/03/1995				des	Pennes-Mirabeau	13652	20/03/1995		18/03/2001		Conseiller municipal
14239U	M.	Amiel	Michel	ACTIF	14242		20/03/1995				des	Pennes-Mirabeau	50993	22/09/2017				Conseiller municipal
14239U	M.	Amiel	Michel	ACTIF	14242		20/03/1995				des	Pennes-Mirabeau	50994	22/09/2017				Maire
95005A	M.	Amoudry	Jean-Paul	ANCIEN	744				11/03/2001	2001	de 	Serraval	744			11/03/2001	2001	Maire
01031L	Mme	André	Michèle	ANCIEN	6438			1983	29/09/2001	2001	de	Clermont-Ferrand	2951		1983	29/09/2001	2001	Adjoint au maire
98036V	M.	André	Pierre	ANCIEN	5143		25/06/1995	1995	11/03/2001	2001	de 	Saint-Quentin	2067			11/03/2001	2001	Maire
98036V	M.	André	Pierre	ANCIEN	6000		11/03/2001	2001	04/10/2010	2010	de	Saint-Quentin	2300	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
98036V	M.	André	Pierre	ANCIEN	6000		11/03/2001	2001	04/10/2010	2010	de	Saint-Quentin	2589	17/03/2001	2001	04/10/2010	2010	Maire
98036V	M.	André	Pierre	ANCIEN	12038		05/10/2010		28/03/2014		de 	Saint-Quentin	11790	05/10/2010		28/03/2014		Conseiller municipal
08040S	M.	Andreoni	Serge	ANCIEN	11646			1983			de	Berre-l'Etang	11521	01/04/1989	1989			Maire
08040S	M.	Andreoni	Serge	ANCIEN	11646			1983			de	Berre-l'Etang	11680		1983		1989	Conseiller municipal
97009N	M.	Angels	Bernard	ANCIEN	772			1977	11/03/2001	2001	d'	Ecouen	772		1977	11/03/2001	2001	Maire
97009N	M.	Angels	Bernard	ANCIEN	6044		11/03/2001	2001			d'	Ecouen	2343	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
97009N	M.	Angels	Bernard	ANCIEN	6044		11/03/2001	2001			d'	Ecouen	2646	17/03/2001	2001			Maire
11109J	M.	Antiste	Maurice	ACTIF	12837		18/06/1995				de	Le François	13026	18/06/1995		05/11/2017		Maire
11109J	M.	Antiste	Maurice	ACTIF	12837		18/06/1995				de	Le François	50809	06/11/2017				Conseiller municipal
08072B	M.	Antoinette	Jean-Étienne	ANCIEN	11793		16/03/1996				de	Kourou	11639	16/03/1996		31/03/2014		Maire
08072B	M.	Antoinette	Jean-Étienne	ANCIEN	11793		16/03/1996				de	Kourou	13138	04/04/2014				Conseiller municipal
08025T	M.	Anziani	Alain	ANCIEN	11579			2001			de	Mérignac	11472		2001	30/03/2014		Adjoint au maire
08025T	M.	Anziani	Alain	ANCIEN	11579			2001			de	Mérignac	13192	31/03/2014				Maire
19760E	Mme	Apourceau-Poly	Cathy	ACTIF	51608		16/03/2008				d'	Avion	51075	16/03/2008				Conseiller municipal
11055M	Mme	Archimbaud	Aline	ANCIEN	12390		18/06/1995		28/03/2014		de	Pantin	12486	18/06/1995		17/11/2011		Adjoint au maire
11055M	Mme	Archimbaud	Aline	ANCIEN	12390		18/06/1995		28/03/2014		de	Pantin	13066	18/11/2011		28/03/2014		Conseiller municipal
96008H	M.	Arnaud	Philippe	ANCIEN	607			1979	11/03/2001	2001	de 	Blanzac-Porcheresse	607		1979	11/03/2001	2001	Maire
96008H	M.	Arnaud	Philippe	ANCIEN	6001		11/03/2001	2001	16/03/2008	2008	de	Blanzac-Porcheresse	2301	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
96008H	M.	Arnaud	Philippe	ANCIEN	6001		11/03/2001	2001	16/03/2008	2008	de	Blanzac-Porcheresse	2626	17/03/2001	2001	16/03/2008	2008	Maire
14261S	M.	Arnell	Guillaume	ACTIF	14358			2001	17/03/2014		de	Saint-Martin	13656		2001	17/03/2014		Conseiller municipal
83011J	M.	Arthuis	Jean	ANCIEN	680			1971	11/03/2001	2001	de 	Château-Gontier	680		1971	11/03/2001	2001	Maire
19631V	Mme	Artigalas	Viviane	ACTIF	51033		30/03/2014				d'	Arrens-Marsous	50342	30/03/2014		30/09/2017		Maire
19631V	Mme	Artigalas	Viviane	ACTIF	51033		30/03/2014				d'	Arrens-Marsous	50828	01/10/2017				Conseiller municipal
80003V	M.	Arzel	Alphonse	ANCIEN	637				21/02/2014	2014	de 	Ploudalmezeau	637			21/02/2014	2014	Maire
04085P	Mme	Assassi	Éliane	ACTIF	11079			1983		1995	de	Drancy	11066		1983		1989	Conseiller municipal
04085P	Mme	Assassi	Éliane	ACTIF	11079			1983		1995	de	Drancy	11067		1989		1995	Adjoint au maire
04085P	Mme	Assassi	Éliane	ACTIF	11336		21/03/2008		31/03/2014		de	Drancy	11304	21/03/2008		31/03/2014		Conseiller municipal
04059M	M.	Assouline	David	ACTIF	10880			1995			de	Paris (20ème arrondissement)	10918		1995		2001	Conseiller de Paris
04059M	M.	Assouline	David	ACTIF	10880			1995			de	Paris (20ème arrondissement)	10922		2001	07/02/2005	2005	Adjoint au maire
04059M	M.	Assouline	David	ACTIF	10880			1995			de	Paris (20ème arrondissement)	11105	08/02/2005	2005			Conseiller de Paris
98011L	M.	Auban	Bertrand	ANCIEN	5040			1986	11/03/2001	2001	d'	Eup	10716		1986	11/03/2001	2001	Maire
98011L	M.	Auban	Bertrand	ANCIEN	10583		19/12/2003		31/03/2014		d'	Eup	10584	19/12/2003			2008	Maire
98011L	M.	Auban	Bertrand	ANCIEN	10583		19/12/2003		31/03/2014		d'	Eup	11685		2009	31/03/2014		Conseiller municipal
14137P	M.	Aubey	François	ANCIEN	13962			1995			de	Mézidon-Canon	13412		1995			Maire
83012K	M.	Autain	François	ANCIEN	672			1971	11/03/2001	2001	de 	Bouguenais	2733		1971	11/03/2001	2001	Maire
83012K	M.	Autain	François	ANCIEN	6167		11/03/2001	2001	21/03/2008	2008	de	Bouguenais	2467	11/03/2001	2001	21/03/2008	2008	Conseiller municipal
00001A	M.	Autexier	Jean-Yves	ANCIEN	5850			1977		1983	de	Sarcelles	2198		1977		1983	Adjoint au maire
00001A	M.	Autexier	Jean-Yves	ANCIEN	5851			1983		1989	de	Paris (11eme arrondissement)	2199		1983		1989	Conseiller d'arrondissement
00001A	M.	Autexier	Jean-Yves	ANCIEN	6196			1989			de	Paris (20ème arrondissement)	2535	18/03/2001	2001			Conseiller de Paris
00001A	M.	Autexier	Jean-Yves	ANCIEN	6196			1989			de	Paris (20ème arrondissement)	10721	18/06/1995	1995	18/03/2001	2001	Conseiller de Paris
00001A	M.	Autexier	Jean-Yves	ANCIEN	10672		19/03/1989	1989		1995	de	Paris (11eme arrondissement)	10719	19/03/1989	1989		1995	Conseiller de Paris
80004W	M.	Authié	Germain	ANCIEN	592				04/09/2001	2001	de 	Sinsat	592			04/09/2001	2001	Maire
95007C	M.	Badré	Denis	ANCIEN	651			1987	11/03/2001	2001	de 	Ville-d'Avray	651		1995	11/03/2001	2001	Maire
95007C	M.	Badré	Denis	ANCIEN	651			1987	11/03/2001	2001	de 	Ville-d'Avray	10774		1987		1995	Adjoint au maire
95007C	M.	Badré	Denis	ANCIEN	6045		11/03/2001	2001			de	Ville-d'Avray	2344	11/03/2001	2001	09/04/2001	2001	Conseiller municipal
95007C	M.	Badré	Denis	ANCIEN	6045		11/03/2001	2001			de	Ville-d'Avray	2889	09/04/2001	2001			Maire
89046W	M.	Bailet	Honoré	ANCIEN	11373				29/10/1993	1993		Nice	11344	26/09/1990	1990	29/10/1993	1993	Maire
89046W	M.	Bailet	Honoré	ANCIEN	11373				29/10/1993	1993		Nice	11345			26/09/1990	1990	Adjoint au maire
11039M	M.	Bailly	Dominique	ANCIEN	12382			2001			d'	Orchies	12454	01/03/2001	2001	31/10/2005	2005	Adjoint au maire
11039M	M.	Bailly	Dominique	ANCIEN	12382			2001			d'	Orchies	12455	01/11/2005	2005			Maire
01008M	M.	Bailly	Gérard	ANCIEN	6581			1965	30/06/2014		d'	Uxelles	3045		1965	23/03/2001	2001	Maire
01008M	M.	Bailly	Gérard	ANCIEN	6581			1965	30/06/2014		d'	Uxelles	3065	23/03/2001	2001	31/03/2014		Adjoint au maire
01008M	M.	Bailly	Gérard	ANCIEN	6581			1965	30/06/2014		d'	Uxelles	13148	01/04/2014		30/06/2014		Conseiller municipal
000339	M.	Bajeux	Octave	ANCIEN	10059							Radinghem-en-Weppes	3229					Maire
84004P	M.	Balarello	José	ANCIEN	588				11/03/2001	2001	de 	Tende	588			11/03/2001	2001	Maire
84004P	M.	Balarello	José	ANCIEN	6092		11/03/2001	2001		2008	de	Tende	2399	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
84004P	M.	Balarello	José	ANCIEN	6092		11/03/2001	2001		2008	de	Tende	2680	17/03/2001	2001	23/03/2001	2001	Maire
84004P	M.	Balarello	José	ANCIEN	6092		11/03/2001	2001		2008	de	Tende	2838	23/03/2001	2001		2008	Adjoint au maire
84004P	M.	Balarello	José	ANCIEN	11346		21/03/2008		25/02/2015	2015	de	Sospel	11314	21/03/2008		25/02/2015	2015	Conseiller municipal
59564Y	M.	Bangou	Henri	ANCIEN	10060							Pointe-à-Pitre	3230					Maire
01046T	M.	Barbier	Gilbert	ANCIEN	6482			1983	04/04/2014		de	Dole	2967		1983	21/03/2008	2008	Maire
01046T	M.	Barbier	Gilbert	ANCIEN	6482			1983	04/04/2014		de	Dole	11275	22/03/2008	2008	04/04/2014		Conseiller municipal
19651A	M.	Bargeton	Julien	ACTIF	51053	16/03/2008	09/07/2012				de	Paris	50362	09/07/2012		06/10/2017		Adjoint au maire
19651A	M.	Bargeton	Julien	ACTIF	51053	16/03/2008	09/07/2012				de	Paris	50743	06/10/2017				Conseiller de Paris
05004A	M.	Baroin	François	ANCIEN	13899		18/06/1995				de	Troyes	13332	18/06/1995				Maire
05004A	M.	Baroin	François	ANCIEN	13900		07/05/1989		16/05/1993		de	Nogent-sur-Seine	13333	07/05/1989	1989	16/05/1993	1995	Conseiller municipal
89018S	M.	Barraux	Bernard	ANCIEN	585			1971	11/03/2001	2001	de 	Marcillat-en-Combraille	585		1971	11/03/2001	2001	Maire
89018S	M.	Barraux	Bernard	ANCIEN	6093		11/03/2001	2001	16/03/2008	2008	de	Marcillat-en-Combraille	2400	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
89018S	M.	Barraux	Bernard	ANCIEN	6093		11/03/2001	2001	16/03/2008	2008	de	Marcillat-en-Combraille	2628	17/03/2001	2001	16/03/2008	2008	Maire
19741B	M.	Bascher	Jérôme	ACTIF	51527	18/03/2001	18/03/2001		01/01/2011		de	Senlis	50864	18/03/2001		01/01/2011		Conseiller municipal
58613L	M.	Bastie	Pierre	ANCIEN	10061				21/05/2013	2013		Quillan	3231			21/05/2013	2013	Conseiller municipal
83013L	M.	Bataille	Jean-Paul	ANCIEN	698			1965	16/10/1999	1999	de 	Steenvoorde	698			16/10/1999	1999	Maire
92007P	M.	Baudot	Jacques	ANCIEN	683			1971	11/03/2001	2001	de 	Nancy	683		1971		1983	Conseiller municipal
92007P	M.	Baudot	Jacques	ANCIEN	683			1971	11/03/2001	2001	de 	Nancy	10737		1983		1988	Adjoint au maire
92007P	M.	Baudot	Jacques	ANCIEN	683			1971	11/03/2001	2001	de 	Nancy	10741		1988	11/03/2001	2001	Conseiller municipal
59721T	M.	Baumet	Gilbert	ANCIEN	10062							Pont-Saint-Esprit	3232					Maire
86010V	M.	Baylet	Jean-Michel	ANCIEN	766			1977	11/03/2001	2001	de 	Valence-d'Agen	766		1977	11/03/2001	2001	Maire
19667J	M.	Bazin	Arnaud	ACTIF	51399	19/03/1995	19/03/1995		19/03/2011		de	Persan	50585	19/03/1995		19/03/2011		Maire
79004F	Mme	Beaudeau	Marie-Claude	ANCIEN	10688			1972		1989	de	Sarcelles	10744		1972		1977	Conseiller municipal
79004F	Mme	Beaudeau	Marie-Claude	ANCIEN	10688			1972		1989	de	Sarcelles	10746		1977		1983	Adjoint au maire
79004F	Mme	Beaudeau	Marie-Claude	ANCIEN	10688			1972		1989	de	Sarcelles	10747		1983		1989	Conseiller municipal
01013J	Mme	Beaufils	Marie-France	ANCIEN	6386			1977			de	Saint-Pierre-des-Corps	2927		1983			Maire
01013J	Mme	Beaufils	Marie-France	ANCIEN	6386			1977			de	Saint-Pierre-des-Corps	10749		1977		1983	Adjoint au maire
04091M	M.	Beaumont	René	ANCIEN	11010			1970	21/03/2008	2008	de	Varennes-Saint-Sauveur	11007		1970		2001	Maire
04091M	M.	Beaumont	René	ANCIEN	11010			1970	21/03/2008	2008	de	Varennes-Saint-Sauveur	11058		2001	21/03/2008	2008	Adjoint au maire
000460	M.	Beaupetit	Charles	ANCIEN	10063							Montoire-sur-le-Loir	3233					Maire
58819Y	M.	Becam	Marc	ANCIEN	10064							Quimper	3234					Maire
95009E	M.	Bécot	Michel	ANCIEN	760			1977	11/03/2001	2001	de 	Moncoutant	760		1977	11/03/2001	2001	Maire
95009E	M.	Bécot	Michel	ANCIEN	6046		11/03/2001	2001	17/03/2008	2008	de	Moncoutant	2345	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
95009E	M.	Bécot	Michel	ANCIEN	6046		11/03/2001	2001	17/03/2008	2008	de	Moncoutant	2629	17/03/2001	2001	17/03/2008	2008	Maire
98006P	M.	Bel	Jean-Pierre	ANCIEN	5216			1983		1995	de 	Mijanes	2106		1983		1995	Maire
98006P	M.	Bel	Jean-Pierre	ANCIEN	6246		11/03/2001	2001	17/03/2008	2008	de	Lavelanet	2648	17/03/2001	2001	17/03/2008	2008	Maire
80007A	M.	Belcour	Henri	ANCIEN	614				19/11/2003	2003	d'	Ussel	614			19/11/2003	2003	Maire
59217G	M.	Belin	Gilbert	ANCIEN	10065							Brassac-les-Mines	3235					Maire
86011W	M.	Bellanger	Jacques	ANCIEN	10692			1977		1989	de	Houilles	10753		1977		1983	Conseiller municipal
86011W	M.	Bellanger	Jacques	ANCIEN	10692			1977		1989	de	Houilles	10754		1983		1989	Adjoint au maire
89013M	M.	Belot	Claude	ANCIEN	6023		20/03/1977	1977			de	Jonzac	2325	11/03/2001	2001	14/03/2008	2008	Conseiller municipal
89013M	M.	Belot	Claude	ANCIEN	6023		20/03/1977	1977			de	Jonzac	11234	14/03/2008	2008			Maire
89013M	M.	Belot	Claude	ANCIEN	6023		20/03/1977	1977			de	Jonzac	11389	20/03/1977	1977	11/03/2001	2001	Maire
000541	M.	Benard	Paul	ANCIEN	10066							Saint-Paul-de-la-Réunion	3236					Maire
000321	M.	Benard Mousseaux	Jean	ANCIEN	10067							Buzançais	3237					Maire
59309K	M.	Benedetti	Georges	ANCIEN	10068				19/11/2018			Bagnols-sur-Ceze	3238			19/11/2018		Maire
000553	M.	Beranger	Jean	ANCIEN	10069							Marly-le-Roi	3239					Maire
02007Q	M.	Bergelin	Christian	ANCIEN	6771			1995	26/03/2008	2008		Gray	3138		1995	26/03/2008	2008	Conseiller municipal
08055A	M.	Bérit-Débat	Claude	ACTIF	11708			1992			de	Chancelade	11574		1992	08/02/2009	2009	Maire
08055A	M.	Bérit-Débat	Claude	ACTIF	11708			1992			de	Chancelade	13111	09/02/2009	2009	30/09/2014		Adjoint au maire
08055A	M.	Bérit-Débat	Claude	ACTIF	11708			1992			de	Chancelade	13696	01/10/2014				Conseiller municipal
92009R	M.	Bernadaux	Jean	ANCIEN	681				11/03/2001	2001	de 	Villers-lès-Nancy	681			11/03/2001	2001	Maire
92009R	M.	Bernadaux	Jean	ANCIEN	6202		18/03/2001	2001			de	Villers-lès-Nancy	2542	18/03/2001	2001			Conseiller municipal
89020L	M.	Bernardet	Daniel	ANCIEN	5869			1959	21/11/2007	2007	de	Châteauroux	2220		1971	21/11/2007	2007	Maire
89020L	M.	Bernardet	Daniel	ANCIEN	5869			1959	21/11/2007	2007	de	Châteauroux	10759		1959	21/11/2007	2007	Conseiller municipal
89020L	M.	Bernardet	Daniel	ANCIEN	5869			1959	21/11/2007	2007	de	Châteauroux	10760		1965	21/11/2007	2007	Adjoint au maire
07003H	M.	Bernard-Reymond	Pierre	ANCIEN	11231			1971		2007	de	Gap	11166		1989		2007	Maire
07003H	M.	Bernard-Reymond	Pierre	ANCIEN	11231			1971		2007	de	Gap	11168		1971		1989	Conseiller municipal
000353	M.	Berrier	Noël	ANCIEN	10070							Corbigny	3240					Maire
11068S	M.	Berson	Michel	ANCIEN	12529		22/03/1977		22/03/1998		de	Crosne	12756	22/03/1977		22/03/1998		Maire
04098U	M.	Bertaud	Claude	ANCIEN	11097			1983			de	Benassay	11083		1983			Maire
19575F	Mme	Berthet	Martine	ACTIF	50993	13/03/2011	13/03/2011		24/10/2017		d'	Albertville	50302	04/04/2014		24/10/2017		Maire
19575F	Mme	Berthet	Martine	ACTIF	50993	13/03/2011	13/03/2011		24/10/2017		d'	Albertville	50596	13/03/2011		03/04/2014		Adjoint au maire
08059E	M.	Berthou	Jacques	ANCIEN	11720		18/06/1995				de	Miribel	11587	18/06/1995	1995	31/03/2014		Maire
08059E	M.	Berthou	Jacques	ANCIEN	11720		18/06/1995				de	Miribel	13151	01/04/2014				Conseiller municipal
11081P	M.	Bertrand	Alain	ACTIF	12532		01/03/1995				de	Mende	12761	01/03/2008	2008	10/05/2016		Maire
11081P	M.	Bertrand	Alain	ACTIF	12532		01/03/1995				de	Mende	13047	01/03/1995		28/02/2008		Conseiller municipal
11081P	M.	Bertrand	Alain	ACTIF	12532		01/03/1995				de	Mende	50221	11/05/2016		30/09/2017		Cinquième adjoint au maire
11081P	M.	Bertrand	Alain	ACTIF	12532		01/03/1995				de	Mende	51283	01/10/2017				Conseiller municipal
14115H	Mme	Bertrand	Anne-Marie	ACTIF	51066			1983		2001	de	Rognonas	50369	20/03/1988			2001	Maire
14115H	Mme	Bertrand	Anne-Marie	ACTIF	51066			1983		2001	de	Rognonas	50576		1983	19/03/1988		Adjoint au maire
89010J	M.	Besse	Roger	ANCIEN	605				11/03/2001	2001	d'	Ydes	605			11/03/2001	2001	Maire
89010J	M.	Besse	Roger	ANCIEN	6026		11/03/2001	2001	16/03/2008	2008	d'	Ydes	2327	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
89010J	M.	Besse	Roger	ANCIEN	6026		11/03/2001	2001	16/03/2008	2008	d'	Ydes	2590	17/03/2001	2001	21/03/2008	2008	Maire
89015P	M.	Besson	Jean	ANCIEN	10708			1977		1983	de	Valence	10776		1977		1983	Adjoint au maire
01001E	M.	Béteille	Laurent	ANCIEN	5887			1977	11/03/2001	2001	de	Brunoy	2236		1977	11/03/2001	2001	Maire
01001E	M.	Béteille	Laurent	ANCIEN	6203		18/03/2001	2001			de	Brunoy	2543	18/03/2001	2001	25/03/2001	2001	Conseiller municipal
01001E	M.	Béteille	Laurent	ANCIEN	6203		18/03/2001	2001			de	Brunoy	2876	25/03/2001	2001			Maire
79002D	M.	Bialski	Jacques	ANCIEN	10071				10/06/2013	2013		Dunkerque	3241			10/06/2013	2013	Adjoint au maire
78007E	Mme	Bidard-Reydet	Danielle	ANCIEN	754				11/03/2001	2001	de 	Pantin	754			11/03/2001	2001	Adjoint au maire
14093U	M.	Bignon	Jérôme	ACTIF	13907			1980		2000	de	Bermesnil	13341		1980		2000	Maire
14093U	M.	Bignon	Jérôme	ACTIF	13930			2001		2008	d'	Oisemont	13372		2001		2008	Conseiller municipal
14065Q	M.	Bigot	Jacques	ACTIF	13853	19/06/1995	19/06/1995				d'	Illkirch-Graffenstaden	13282	19/06/1995		05/12/2016		Maire
14065Q	M.	Bigot	Jacques	ACTIF	13853	19/06/1995	19/06/1995				d'	Illkirch-Graffenstaden	14129	06/12/2016				Conseiller municipal
19549D	M.	Bigot	Joël	ACTIF	50885	16/03/2008	16/03/2008				des	"Ponts-de-Cé	"	50186	16/03/2008		11/04/2018		Maire
19549D	M.	Bigot	Joël	ACTIF	50885	16/03/2008	16/03/2008				des	"Ponts-de-Cé	"	51036	12/04/2018				Conseiller municipal
01064V	M.	Billard	Joël	ANCIEN	6642			1995			de	Bonneval	3094		1995			Maire
01064V	M.	Billard	Joël	ANCIEN	6643			1989		1995	de	Saint-Maur-sur-Loir	3095		1989		1995	Maire
04054G	M.	Billout	Michel	ANCIEN	10863			1992			de	Nangis	10909		2001	21/03/2008	2008	Maire
04054G	M.	Billout	Michel	ANCIEN	10863			1992			de	Nangis	11077		1992		2001	Conseiller municipal
04054G	M.	Billout	Michel	ANCIEN	10863			1992			de	Nangis	11274	22/03/2008	2008		2012	Conseiller municipal
04054G	M.	Billout	Michel	ANCIEN	10863			1992			de	Nangis	13085		2013			Maire
86005Y	M.	Bimbenet	Jacques	ANCIEN	666				11/03/2001	2001	de 	Contres	666			11/03/2001	2001	Conseiller municipal
01049W	M.	Biwer	Claude	ANCIEN	6489		21/03/1971	1971			de	Marville	2971	21/03/1971	1971			Maire
96004D	M.	Bizet	Jean	ACTIF	679		13/03/1983	1983	11/03/2001	2001	de 	Le Teilleul	679			11/03/2001	2001	Maire
96004D	M.	Bizet	Jean	ACTIF	6145		11/03/2001		24/03/2014		de	Le Teilleul	2447	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
96004D	M.	Bizet	Jean	ACTIF	6145		11/03/2001		24/03/2014		de	Le Teilleul	2591	17/03/2001	2001	24/03/2014		Maire
89012L	M.	Blaizot	François	ANCIEN	610				17/07/2007	2007	de 	Saint-Jean d'Angély	610			17/07/2007	2007	Conseiller municipal
01005J	M.	Blanc	Jacques	ANCIEN	6356						de	La Canourgue	2916	14/03/2008				Maire
59567C	M.	Blanc	Jean-Pierre	ANCIEN	10072				29/09/2004	2004		La Ravoire	3242			29/09/2004	2004	Maire
92011K	M.	Blanc	Paul	ANCIEN	723				11/03/2001	2001	de 	Prades	723			11/03/2001	2001	Maire
92011K	M.	Blanc	Paul	ANCIEN	6173		11/03/2001	2001			de	Sournia	2471	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
92011K	M.	Blanc	Paul	ANCIEN	6173		11/03/2001	2001			de	Sournia	2700	17/03/2001	2001			Maire
08043V	Mme	Blondin	Maryvonne	ACTIF	11656		01/03/1989	1989	16/03/2008	2008	d'	Ergué-Gabéric	11531	01/03/1989	1989	16/03/2008	2008	Adjoint au maire
95014B	Mme	Bocandé	Annick	ANCIEN	745				11/03/2001	2001	de 	Les Grandes-Ventes	745			11/03/2001	2001	Maire
95014B	Mme	Bocandé	Annick	ANCIEN	6047		11/03/2001	2001			de	Les Grandes-Ventes	2346	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
95014B	Mme	Bocandé	Annick	ANCIEN	6047		11/03/2001	2001			de	Les Grandes-Ventes	2631	17/03/2001	2001			Maire
04040A	M.	Bockel	Jean-Marie	ACTIF	10799			1983		1989	de	Mulhouse	11036		1983		1989	Conseiller municipal
04040A	M.	Bockel	Jean-Marie	ACTIF	12058			1989		2010	de 	Mulhouse	11806		1989		2010	Maire
04040A	M.	Bockel	Jean-Marie	ACTIF	12059			2010			de	Mulhouse	11807		2010			Conseiller municipal
04052E	M.	Bodin	Yannick	ANCIEN	10850			1983		2001	de	Dammarie-les-Lys	10901		1983		2001	Conseiller municipal
000634	M.	Boeuf	Marc	ANCIEN	10073							Bruges	3243					Conseiller municipal
74013K	M.	Bohl	André	ANCIEN	689				11/03/2001	2001	de 	Creutzwald	689			11/03/2001	2001	Maire
74013K	M.	Bohl	André	ANCIEN	6011		11/03/2001	2001			de	Creutzwald	2311	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
74013K	M.	Bohl	André	ANCIEN	6011		11/03/2001	2001			de	Creutzwald	2633	17/03/2001	2001			Maire
58920U	M.	Bonduel	Stéphane	ANCIEN	10074							Tonnay-Boutonne	3244					Maire
19367Y	Mme	Bonfanti-Dossat	Christine	ACTIF	50985	19/03/1995	19/03/1995				de	Lafox	50294	19/03/1995		21/10/2017		Maire
19367Y	Mme	Bonfanti-Dossat	Christine	ACTIF	50985	19/03/1995	19/03/1995				de	Lafox	51057	22/10/2017				Conseiller municipal
14069U	M.	Bonhomme	François	ACTIF	13854		21/03/2008				de	Caussade	13283	21/03/2008	2008	15/06/2016		Maire
