Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date de debut de mandat	Date de fin de mandat	Article metropole	Metropole	Identifiant fonction	Date de debut de fonction	Date de fin de fonction	Fonction
17637T	M.	Pemezec	Philippe	ACTIF	51497	01/01/2016		de la 	Métropole du Grand Paris	50713	01/01/2016		Conseiller
14055N	M.	Ravier	Stéphane	ACTIF	15305	01/01/2016		de la 	Métropole d'Aix-Marseille-Provence	13902	01/01/2016		Conseiller
14225N	M.	Raynal	Claude	ACTIF	51623	01/01/2016	29/09/2017	de 	Toulouse Métropole	51091	01/01/2016	29/09/2017	Vice-Président
14229S	Mme	Robert	Sylvie	ACTIF	15310	01/01/2016		de 	Rennes Métropole	13907	01/01/2016		Conseiller
11043H	M.	Savin	Michel	ACTIF	15307	01/01/2016		de 	Grenoble-Alpes Métropole	13904	01/01/2016		Conseiller
14051J	Mme	Tocqueville	Nelly	ACTIF	15322	01/01/2016		de la 	Métropole Rouen Normandie	13919	01/01/2016	31/12/2017	Vice-Président
14051J	Mme	Tocqueville	Nelly	ACTIF	15322	01/01/2016		de la 	Métropole Rouen Normandie	51285	01/01/2018		Conseiller
19737F	Mme	Vullien	Michèle	ACTIF	51540	01/01/2015		de la 	Métropole de Lyon	50901	01/01/2015	09/10/2017	Vice-Président
19737F	Mme	Vullien	Michèle	ACTIF	51540	01/01/2015		de la 	Métropole de Lyon	50902	10/10/2017		Conseiller
19585H	M.	Wattebled	Dany	ACTIF	51004		15/04/2018	de la 	Métropole européenne de Lille	50313		22/10/2017	Vice-Président
19585H	M.	Wattebled	Dany	ACTIF	51004		15/04/2018	de la 	Métropole européenne de Lille	50973	23/10/2017	15/04/2018	Conseiller
