Tour1	Tour2	Series
1959/04/26	NA	a,b,c1,c2
1962/09/23	NA	a
1965/09/26	NA	b
1968/09/22	NA	c1,c2
1971/09/26	NA	a
1974/09/22	NA	b
1977/09/25	NA	c1,c2
1980/09/28	NA	a
1983/09/25	NA	b
1986/09/28	NA	c1,c2
1989/09/24	NA	a
1992/09/27	NA	b
1995/09/24	NA	c1,c2
1998/09/27	NA	a
2001/09/23	NA	b
2004/09/26	NA	c1,c2
2008/09/21	NA	a
2011/09/25	NA	b,c1
2014/09/28	NA	a,c2
2017/09/24	NA	b,c1
