ID Assemblee	Date debut mandat	Date fin mandat	Attribut	ValAvt	ValApr	Commentaire
PA342332	2007-06-20	2012-06-19	ID Assemblee	PA342332	NA	Suppression ligne incorrecte
PA342364	2007-06-20	2012-06-19	ID Assemblee	PA342364	NA	Suppression ligne incorrecte
PA342539	2007-06-20	2012-06-19	ID Assemblee	PA342539	NA	Suppression ligne incorrecte
PA342539	2012-06-20	2017-06-17	ID Assemblee	PA342539	NA	Suppression ligne incorrecte
PA342564	2012-06-20	2017-03-29	Date debut mandat	2012-06-20	2017-03-22	Date incorrecte
PA342997	2007-06-20	2012-06-19	ID Assemblee	PA342997	NA	Suppression ligne incorrecte
PA343174	2007-06-20	2012-06-19	ID Assemblee	PA343174	NA	Suppression ligne incorrecte
PA343385	2007-06-20	2012-06-16	Date debut mandat	2007-06-20	2008-04-20	Date incorrecte
PA343408	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2014-05-10	Date incorrecte
PA343610	2007-06-20	2012-06-19	ID Assemblee	PA343610	NA	Suppression ligne incorrecte
PA343908	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2011-05-03	Date incorrecte
PA344072	2007-06-20	2012-06-16	Date debut mandat	2007-06-20	2011-10-29	Date incorrecte
PA345027	2007-06-20	2012-06-19	ID Assemblee	PA345027	NA	Suppression ligne incorrecte
PA345264	2007-06-20	2012-06-16	Date debut mandat	2007-06-20	2009-07-25	Date incorrecte
PA345538	2007-06-20	2012-06-19	ID Assemblee	PA345538	NA	Suppression ligne incorrecte
PA345727	2007-06-20	2009-07-24	Date debut mandat	2007-06-20	2008-03-20	Date incorrecte
PA345898	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2009-04-17	Date incorrecte
PA345916	2007-06-20	2011-09-30	Date debut mandat	2007-06-20	2010-06-12	Date incorrecte
PA345994	2007-06-20	2012-06-19	ID Assemblee	PA345994	NA	Suppression ligne incorrecte
