ID Assemblee	Code sexe	Prenom elu	Nom elu	Date naissance	Date deces	Commune de naissance	Departement de naissance	Pays de naissance	Nom profession	Categorie profession	Famille profession
PA1001	M.	Marc-Philippe	Daubresse	1953-08-01		Lille	Nord	France	Ancien directeur d'une société de recrutement	Anciens artisans, commerçants, chefs d'entreprise	Retraités
PA1002	M.	Yves	Dauge	1935-01-26		Fontevraud-l'Abbaye	Maine-et-Loire		Inspecteur général de l'équipement	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1008	M.	Alain	David	1949-06-02		Libourne	Gironde	France	Ingénieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1009	Mme	Martine	David	1952-12-19		Loches	Indre-et-Loire		Secrétaire de direction	Employés administratifs d'entreprise	Employés
PA1012	M.	Charles	de la Verpillière	1954-05-31		Bourg-en-Bresse	Ain	France	Conseiller d'État	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1019	Mme	Isabelle	Debré	1957-05-23						Sans profession déclarée	Sans profession déclarée
PA1020	M.	Bernard	Debré	1944-09-30		Toulouse	Haute-Garonne		Chirurgien des hôpitaux, professeur des Universités	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1023	M.	Jean-Claude	Decagny	1939-06-10		Maubeuge	Nord		Ancien directeur de l'hôpital de Felleries-Liessies	Anciens cadres et professions intermédiaires	Retraités
PA1029	M.	Bernard	Deflesselles	1953-10-16		Paris 6ème 	Paris	France	Ingénieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1030	M.	Jean-Pierre	Defontaine	1937-02-04		Mametz	Pas-de-Calais		Directeur commercial	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1031	M.	Lucien	Degauchy	1937-06-11		Hautefontaine	Oise	France	Horticulteur	Agriculteurs exploitants	Agriculteurs exploitants
PA1032	M.	Pascal	Deguilhem	1956-02-09		Brouchaud	Dordogne		Professeur d'Education physique (Université Bordeaux IV)	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1034	M.	Marcel	Dehoux	1946-09-04		Wignehies	Nord		Retraité de l'Education nationale	Anciens cadres et professions intermédiaires	Retraités
PA1037	M.	Robert	del Picchia	1942-11-10							
PA1046	M.	Francis	Delattre	1946-09-11		Naours	Somme		Attaché principal d'administration centrale	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1048	M.	Michel	Delebarre	1946-04-27		Bailleul	Nord	France	Préfet	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1052	M.	Gérard	Delfau	1937-10-21							
PA1058	M.	Richard	Dell'Agnola	1949-02-06		Rabat		Maroc	Attaché principal d'administration au ministère de la justice	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1062	M.	Patrick	Delnatte	1941-12-09		Tourcoing	Nord		Négociant en matériaux de construction	Commerçants et assimilés	Artisans, commerçants et chefs d'entreprise
PA1063	M.	Jean	Delobel	1933-01-31	2013-05-10	Armentières	Nord		Enseignant retraité	Anciens cadres et professions intermédiaires	Retraités
PA1066	M.	François	Deluga	1956-11-18		Cauderan	Gironde		Agent général d'assurances	Commerçants et assimilés	Artisans, commerçants et chefs d'entreprise
PA1068	M.	Jean-Marie	Demange	1943-07-23	2008-11-17	Toulouse	Haute-Garonne		Médecin	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1070	M.	Jean-Pierre	Demerliat	1943-05-08							
PA1071	Mme	Michelle	Demessine	1947-06-18							
PA1074	M.	Christian	Demuynck	1947-07-24		Le Perreux-Sur-Marne	Val-de-Marne		Professeur d'éducation physique et sportive	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1075	M.	Marcel	Deneux	1928-08-16							
PA1079	M.	Yves	Deniaud	1946-09-01		Casablanca		Maroc	Cadre commercial	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1085	M.	Bernard	Depierre	1945-06-06		Bourbon-Lancy	Saône-et-Loire	France	Consultant 	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1088	M.	Léonce	Deprez	1927-07-10	2017-07-07	Béthune	Pas-de-Calais		Dirigeant d'entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1090	M.	Gérard	Dériot	1944-11-01							
PA1092	M.	Bernard	Derosier	1939-11-10		Chevilly	Loiret		Instituteur retraité	Anciens cadres et professions intermédiaires	Retraités
PA1094	M.	Jacques	Desallangre	1935-09-06	2020-01-17	Châlons-en-Champagne	Marne		Journaliste	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1098	M.	Jean-Jacques	Descamps	1935-03-20		Lille	Nord	France	Directeur de société	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1116	M.	Michel	Destot	1946-09-02		Malo-les-Bains	Nord	France	Ingénieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1122	M.	Yves	Détraigne	1954-12-21							
PA1124	M.	Patrick	Devedjian	1944-08-26		Fontainebleau	Seine-et-Marne		Avocat	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1132	M.	Jean	Diébold	1939-04-22	2007-08-30	Rennes	Ille-et-Vilaine	France	Ingénieur aérospatial	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1134	M.	Claude	Dilain	1948-08-12	2015-03-03				Médecin	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1141	M.	Marc	Dolez	1952-10-21		Douai	Nord	France	Maître de conférences	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1142	M.	Éric	Doligé	1943-05-25		Paris	Paris		Ancien chef d' entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1144	M.	Claude	Domeizel	1940-05-16							
PA1152	M.	Dominique	Dord	1959-09-01		Chambéry	Savoie	France			
PA1154	M.	François	Dosé	1947-10-07		Longuyon	Meurthe-et-Moselle		Enseignant	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1155	M.	René	Dosière	1941-08-03		Origny-Sainte-Benoîte	Aisne	France	Consultant international	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1158	M.	Michel	Doublet	1939-09-26							
PA1165	M.	Julien	Dray	1955-03-05		Oran		Algérie	Enseignant chercheur	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1166	M.	Tony	Dreyfus	1939-01-09		Paris	Paris		Avocat au Barreau de Paris	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1167	M.	Michel	Dreyfus-Schmidt	1932-06-17	2008-09-07						
PA1171	M.	Guy	Drut	1950-12-06		Oignies	Pas-de-Calais		Professeur d'éducation physique	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1172	M.	Roland	du Luart	1940-03-12							
PA1174	M.	Jean-Michel	Dubernard	1941-05-17		Lyon	Rhône		Chirurgien des Hôpitaux de Lyon et professeur des Universités	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1178	M.	Philippe	Dubourg	1938-07-09		Bordeaux-Cauderan	Gironde	France	Chirurgien dentiste	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1181	M.	Pierre	Ducout	1942-12-12		Bordeaux	Gironde		Ingénieur École Polytechnique - Direction Travaux Publics	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1182	M.	Jean-Pierre	Dufau	1943-07-05		Capbreton	Landes		Enseignant retraité	Anciens cadres et professions intermédiaires	Retraités
PA1183	M.	Alain	Dufaut	1944-01-02							
PA1192	M.	André	Dulait	1937-11-14	2020-01-18						
PA1193	M.	William	Dumas	1942-01-23		Nîmes	Gard		Retraité	Anciens cadres et professions intermédiaires	Retraités
PA1198	Mme	Laurence	Dumont	1958-06-02		Vincennes	Val-de-Marne	France	Chargée d'études	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1199	M.	Jean-Louis	Dumont	1944-04-06		Jonville	Meuse	France	Enseignant	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1203	M.	Jean-Léonce	Dupont	1955-01-31							
PA1204	M.	Ambroise	Dupont	1937-05-11							
PA1205	M.	Jean-Pierre	Dupont	1933-06-19		Alger		Algérie	Docteur vétérinaire	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1206	M.	Nicolas	Dupont-Aignan	1961-03-07		Paris	Paris	France	Administrateur civil	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1208	M.	Jean-Paul	Dupré	1944-02-05		Davejean	Aude	France	Cadre bancaire retraité	Anciens cadres et professions intermédiaires	Retraités
PA1214	M.	Yves	Durand	1946-06-06		Ambrières-les-Vallées	Mayenne	France	Enseignant	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1221	M.	Paul	Durieu	1947-07-08		Camaret	Vaucluse	France	Retraité	Anciens cadres et professions intermédiaires	Retraités
PA1224	Mme	Odette	Duriez	1948-05-07		Merville	Nord		Comptable	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1226	M.	Philippe	Duron	1947-06-19		Antony	Hauts-de-Seine	France	Professeur de lycée agrégé d'histoire	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1229	Mme	Josette	Durrieu	1937-03-20							
PA1231	M.	Bernard	Dussaut	1941-11-14							
PA1233	M.	Jean-Yves	Dusserre	1953-01-01	2014-12-27	GAP				Sans profession déclarée	Sans profession déclarée
PA1236	M.	Renaud	Dutreil	1960-06-12		Chambéry	Savoie		Maître des requêtes au conseil d'Etat	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1243	M.	Christian	Eckert	1956-02-08		Algrange	Moselle	France	Professeur	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1250	M.	Jean-Paul	Émin	1939-06-17							
PA1252	M.	Henri	Emmanuelli	1945-05-31	2017-03-21	Eaux-Bonnes	Pyrénées-Atlantiques	France	Directeur-adjoint de banque	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1253	M.	Jean-Paul	Émorine	1944-03-20		Sennecy-le-Grand	Saône-et-Loire		Exploitant agricole	Agriculteurs exploitants	Agriculteurs exploitants
PA1258	M.	Michel	Esneu	1943-07-18							
PA1263	M.	Christian	Estrosi	1955-07-01		Nice	Alpes-Maritimes	France	Ancien sportif de haut niveau	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1264	M.	Jean-Claude	Etienne	1941-08-06	2017-03-11	Vouziers	Ardennes		Professeur de médecine	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1266	M.	Claude	Evin	1949-06-29		Le Cellier	Loire-Atlantique		Avocat	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1268	M.	Laurent	Fabius	1946-08-20		Paris	Paris	France	Ancien Maître des requêtes au Conseil d'Etat	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1271	M.	Albert	Facon	1943-11-11		Vichy	Allier		Professeur	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1275	M.	Hubert	Falco	1947-05-15		Pignan	Var		Directeur d'entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1276	M.	Michel	Fanget	1950-05-03		Clermont-Ferrand	Puy-de-Dôme	FRANCE	Cardiologue	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1282	M.	Pierre	Fauchon	1929-07-13	2016-07-25						
PA1286	M.	Jean	Faure	1937-01-14							
PA1300	M.	Jean-Michel	Ferrand	1942-08-31		Gardanne	Bouches-du-Rhône		Professeur de lettres	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1301	M.	André	Ferrand	1936-02-22							
PA1304	M.	Alain	Ferry	1952-02-03		Baden-Baden		Allemagne	Chef d'entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1308	M.	Jean-Jacques	Filleul	1943-06-22		Tours	Indre-et-Loire		Chargé de mission dans un laboratoire pharmaceutique	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
PA1310	M.	François	Fillon	1954-03-04		Le Mans	Sarthe	France			
PA1311	M.	Guy	Fischer	1944-01-12	2014-11-01						
PA1317	M.	Jacques	Floch	1938-02-28		Bihorel	Seine-Maritime	France	Avocat	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1319	M.	Gaston	Flosse	1931-06-24		Rikitea	Polynésie Française	Polynésie Francaise	Agent général d'assurance	Commerçants et assimilés	Artisans, commerçants et chefs d'entreprise
PA1326	M.	Pierre	Forgues	1938-06-17		Tarbes	Hautes-Pyrénées		Professeur de mathématiques	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1327	M.	Nicolas	Forissier	1961-02-17		Paris	Paris	France	Chef d'entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1336	M.	Thierry	Foucaud	1954-01-18							
PA1340	M.	Jean-Pierre	Fourcade	1929-10-18							
PA1341	M.	Jean-Michel	Fourgous	1953-09-30		Montreuil	Seine-Saint-Denis	France	Chef d'entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1344	M.	Bernard	Fournier	1946-09-13							
PA1353	M.	Michel	Françaix	1943-05-28		Paris	Paris		Consultant en communication	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1355	Mme	Joëlle	Ceccaldi-Raynaud	1951-02-09		Alger		Algérie	Ancien clerc de notaire	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1360	M.	Jean	François-Poncet	1928-12-08	2012-07-18						
PA1362	M.	Christian	Franqueville	1949-05-14		Saulxures-lès-Bulgnéville	Vosges	France	Attaché de direction	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1364	Mme	Jacqueline	Fraysse	1947-02-25		Paris	Paris	France	Médecin cardiologue	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1370	M.	Yves	Fréville	1934-12-01		Rennes	Ille-et-Vilaine		Professeur d'université	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1373	M.	Édouard	Fritch	1952-01-04		Tahiti	Polynésie Française	France	Ingénieur de la ville de Paris	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1375	M.	Pierre	Frogier	1950-11-16		Nouméa	Nouvelle-Calédonie		Administrateur de biens	Commerçants et assimilés	Artisans, commerçants et chefs d'entreprise
PA1379	M.	Yves	Fromion	1941-09-15		Vorly	Cher	France	Sous-préfet	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1389	M.	Claude	Gaillard	1944-08-15		Montriond	Haute-Savoie		Ingénieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1390	M.	Yann	Gaillard	1936-10-09							
PA1399	Mme	Cécile	Gallez	1936-05-16		Raismes	Nord		Pharmacienne retraitée	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1401	M.	Yann	Galut	1966-03-14		Antony	Hauts-de-Seine	France	Avocat	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1403	M.	René	Galy-Dejean	1932-03-16		Mauvezin	Gers		Dirigeant d'entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1412	M.	Daniel	Gard	1950-01-28		Rozoy-sur-Serre	Aisne		Fonctionnaire en détachement	Techniciens	Professions Intermédiaires
PA1417	M.	René	Garrec	1934-12-24		Lanvéoc	Finistère		Maître des requêtes au conseil d'état	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1418	M.	Daniel	Garrigue	1948-04-04		Talence	Gironde	France	Administrateur à l'Assemblée nationale	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1432	M.	Claude	Gatignol	1938-11-20		Saint-Julien-près-Bort	Corrèze		Docteur vétérinaire	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1433	M.	Jean	Gaubert	1947-03-03		Plouvara	Côtes-d'Armor		Agriculteur-éleveur	Agriculteurs exploitants	Agriculteurs exploitants
PA1435	M.	Jean-Claude	Gaudin	1939-10-08		Marseille	Bouches-du-Rhône		Professeur d'histoire et de géographie	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1440	M.	Charles	Gautier	1945-01-25	2014-06-11						
PA1442	Mme	Gisèle	Gautier	1938-12-09							
PA1443	M.	Jacques	Gautier	1946-09-18						Sans profession déclarée	Sans profession déclarée
PA1445	M.	Hervé	Gaymard	1960-05-31		Bourg-Saint-Maurice	Savoie		Administrateur civil	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1447	M.	Patrice	Gélard	1938-08-03							
PA1452	Mme	Catherine	Génisson	1949-04-22		Paris	Paris		Praticien hospitalier	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1459	M.	Bernard	Gérard	1953-08-29		Valenciennes	Nord	France	Avocat honoraire	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1460	M.	Alain	Gérard	1937-12-02	2018-02-26						
PA1461	M.	François	Gerbaud	1927-04-10	2010-01-13						
PA1463	M.	André	Gerin	1946-01-19		Vienne	Isère		Dessinateur industriel	Techniciens	Professions Intermédiaires
PA1466	M.	Alain	Gest	1950-12-27		Amiens	Somme	France	Consultant	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1468	M.	Jean-Marie	Geveaux	1947-05-08		Vion	Sarthe		Technicien en assurance	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1476	Mme	Dominique	Gillot	1949-07-11		Conflans-Sainte-Honorine	Yvelines		Institutrice	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
PA1477	M.	Jordi	Ginesta	1942-07-08		Saint-Raphaël	Var	France	Ingénieur ETP	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1479	M.	Charles	Ginésy	1922-05-12	2012-12-30						
PA1483	M.	Jean-Pierre	Giran	1947-01-09		Marseille	Bouches-du-Rhône	France	Professeur d'Université	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1486	M.	Francis	Giraud	1932-07-04	2010-10-23						
PA1487	Mme	Éliane	Giraud	1952-03-12						Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1491	M.	Paul	Girod	1931-06-27							
PA1496	M.	Jean	Glavany	1949-05-14		Sceaux	Hauts-de-Seine	France	Préfet	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1498	M.	Claude	Goasguen	1945-03-12		Toulon	Var	France	Avocat à la Cour d'appel de Paris	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1501	M.	Serge	Godard	1936-03-25							
PA1502	M.	Jean-Pierre	Godefroy	1944-09-23							
PA1504	M.	Jacques	Godfrain	1943-06-04		Toulouse	Haute-Garonne		Cadre	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1514	M.	François-Michel	Gonnot	1949-04-15		Arpajon	Essonne	France	Avocat	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1515	M.	Gaëtan	Gorce	1958-12-02		Luzy	Nièvre		Administrateur civil	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1521	M.	Philippe	Goujon	1954-04-30		Paris 9ème	Paris	France	Cadre	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1522	M.	François	Goulard	1953-09-21		Vannes	Morbihan		Sans profession déclarée	Sans profession déclarée	Sans profession déclarée
PA1524	M.	Alain	Gouriou	1941-08-25	2012-12-07	Lannion	Côtes-d'Armor		Professeur	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1527	M.	Alain	Gournac	1943-09-13							
PA1530	M.	Adrien	Gouteyron	1933-05-13							
PA1548	M.	Maxime	Gremetz	1940-09-03		Canchy	Somme		Métallurgiste	Ouvriers qualifiés	Ouvriers
PA1549	M.	Jean	Grenet	1939-07-12		Bayonne	Pyrénées-Atlantiques	France	Chirurgien retraité	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1551	M.	Gérard	Grignon	1943-04-16		Saint-Pierre	Saint-Pierre-et-Miquelon		Professeur d'éducation physique et sportive	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1552	M.	Francis	Grignon	1944-01-03							
PA1553	M.	Louis	Grillot	1932-04-18							
PA1562	M.	François	Grosdidier	1961-02-25		Metz	Moselle	France	Fonctionnaire territorial	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1563	M.	Georges	Gruillot	1931-08-14							
PA1567	M.	Jérôme	Guedj	1972-01-23		Pantin	Seine-Saint-Denis	France	Inspecteur général des Affaires sociales	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1568	M.	Louis	Guédon	1935-11-28		Les Sables-d'Olonne	Vendée		Docteur en  pharmacie, biologiste	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1573	M.	Jean-Noël	Guérini	1951-01-01							
PA1574	M.	Jean-Claude	Guibal	1941-01-13		Ajaccio	Corse-du-Sud	France	Ancien dirigeant d'organisations professionnelles	Anciens cadres et professions intermédiaires	Retraités
PA1576	M.	Lucien	Guichon	1932-02-09	2012-08-18	Oyonnax	Ain		Agent commercial	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1579	Mme	Élisabeth	Guigou	1946-08-06		Marrakech		Maroc	Administrateur civil du ministère des finances	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1582	M.	François	Guillaume	1932-10-19		Ville-en-Vermois	Meurthe-et-Moselle		Agriculteur	Agriculteurs exploitants	Agriculteurs exploitants
PA1585	M.	Jean-Jacques	Guillet	1946-10-16		Clichy	Hauts-de-Seine	France	Chef d'entreprise retraité	Anciens cadres et professions intermédiaires	Retraités
PA1587	Mme	Paulette	Guinchard	1949-10-03		Reugney	Doubs	France	Infirmière en psychiatrie	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
PA1592	M.	David	Habib	1961-03-16		Paris	Paris	France	Cadre	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1597	M.	Hubert	Haenel	1942-05-20	2015-08-10						
PA1600	M.	Georges	Hage	1921-09-11	2015-01-21	Douai	Nord		Professeur d'éducation physique honoraire	Anciens cadres et professions intermédiaires	Retraités
PA1604	M.	Gérard	Hamel	1945-02-20		Sourdun	Seine-et-Marne		Chef d'entreprise du bâtiment	Commerçants et assimilés	Artisans, commerçants et chefs d'entreprise
PA1605	M.	Emmanuel	Hamelin	1957-12-28		Oullins	Rhône	France	Conseiller en entreprise	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1615	M.	Joël	Hart	1945-07-13		Villers-Campsart	Somme	France	Principal de collège	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1617	M.	Claude	Haut	1944-12-22							
PA1627	M.	Pierre	Hellier	1942-01-14		Baud	Morbihan		Médecin	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1630	M.	Michel	Herbillon	1951-03-06		Saint-Mandé	Val-de-Marne	France	Cadre supérieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1631	M.	Pierre	Hériaud	1936-08-23		Pornic	Loire-Atlantique		Dirigeant d'entreprise retraité	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1632	M.	Pierre	Hérisson	1945-06-12		Annecy	Haute-Savoie		Chef d'entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA1638	M.	Patrick	Herr	1945-05-21		Rouen	Seine-Maritime		Officier ministériel	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1642	M.	Edmond	Hervé	1942-12-03		La Bouillie	Côtes-d'Armor		Enseignant 	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1654	M.	François	Hollande	1954-08-12		Rouen	Seine-Maritime		Conseiller référendaire à la Cour des comptes	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1658	Mme	Françoise	Hostalier	1953-08-19		Beauvais	Oise		Inspecteur général de l'Education nationale	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1659	M.	Henri	Houdouin	1937-01-19	2015-06-09	Bonchamps-lès-Laval	Mayenne	France	Retraité	Agriculteurs exploitants	Agriculteurs exploitants
PA1660	M.	Michel	Houel	1942-11-08	2016-11-30						
PA1661	M.	Philippe	Houillon	1951-12-15		Bagnolet	Seine-Saint-Denis	France	Avocat, ancien Bâtonnier de l'Ordre	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1667	M.	Robert	Hue	1946-10-19		Cormeilles-en-Parisis	Val-d'Oise		Infirmier	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
PA1675	M.	Jean-François	Humbert	1952-10-17							
PA1677	M.	Michel	Hunault	1960-02-14		Châteaubriant	Loire-Atlantique		Avocat	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1682	M.	François	Huwart	1947-06-20		Nogent-le-Rotrou	Eure-et-Loir		Administrateur civil	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1684	M.	Jean-Jacques	Hyest	1943-03-02		Fontainebleau	Seine-et-Marne		Administrateur territorial	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1686	M.	Jean-Louis	Idiart	1950-05-03		Mazères-sur-Salat	Haute-Garonne		Contrôleur des impôts	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
PA1689	Mme	Françoise	Imbert	1947-09-16		Verdun-sur-Garonne	Tarn-et-Garonne		Ancienne chef de cabinet du maire de Colomiers	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1695	M.	Christian	Jacob	1959-12-04		Rozay-en-Brie	Seine-et-Marne	France	Agriculteur	Agriculteurs exploitants	Agriculteurs exploitants
PA1698	Mme	Muguette	Jacquaint	1942-05-12		Aubervilliers	Seine-Saint-Denis		Ouvrière spécialisée	Ouvriers qualifiés	Ouvriers
PA1699	M.	Denis	Jacquat	1944-05-29		Thiaucourt	Meurthe-et-Moselle	France	Médecin O.R.L. retraité	Anciens cadres et professions intermédiaires	Retraités
PA1708	Mme	Janine	Jambu	1942-11-18	2012-04-17	Berre-l'Étang	Bouches-du-Rhône		Secrétaire	Employés administratifs d'entreprise	Employés
