ID Assemblee	Code sexe	Prenom elu	Nom elu	Date naissance	Date deces	Commune de naissance	Departement de naissance	Pays de naissance	Nom profession	Categorie profession	Famille profession
PA608363	M.	Philippe	Bies	1964-01-14		Saint-Avold	Moselle	France			
PA608380	Mme	Sophie	Rohfritsch	1962-08-27		Grenoble	Isère	France	Juriste	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA608416	M.	Patrick	Hetzel	1964-07-02		Phalsbourg	Moselle	France	Professeur des Universités	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA608434	M.	Claude	Sturni	1962-08-25		Haguenau	Bas-Rhin	France	Cadre dirigeant du secteur privé	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA608495	M.	Thierry	Braillard	1964-01-24		Bron	Rhône	France	Avocat	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA608574	Mme	Hélène	Geoffroy	1970-03-04		Creil	Oise	France	Docteur de l'Ecole Polytechnique, chargée de Recherche à l'ENTPE	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA608641	M.	Yves	Blein	1954-10-12		Lyon	Rhône	France	Cadre supérieur du secteur privé	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA608662	M.	Alain	Chrétien	1975-03-17		Vesoul	Haute-Saône	France	Cadre du secteur public	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA608672	M.	Thomas	Thévenoud	1974-05-05		Dijon	Côte-d'Or	France	Cadre des collectivités locales	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA608684	Mme	Edith	Gueugneau	1953-06-07		Bourbon-Lancy	Saône-et-Loire	France	Salariée du secteur médical	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
PA608686	M.	Philippe	Baumel	1961-11-14		Nogaro	Gers	France	Cadre du secteur public	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA608695	Mme	Cécile	Untermaier	1951-12-28		Belley	Ain	France	Fonctionnaire des grands corps de l'État	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA608718	Mme	Françoise	Dubois	1947-12-06		Coulans sur Gée	Sarthe	France	Retraitée de l'enseignement	Anciens cadres et professions intermédiaires	Retraités
PA608741	Mme	Sylvie	Tolmont	1962-10-09		Le Mans	Sarthe	France	Cadre de la fonction publique consulaire	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA608778	Mme	Béatrice	Santais	1964-09-17		Montmélian	Savoie	France	Retraitée de la fonction publique	Anciens cadres et professions intermédiaires	Retraités
PA608785	Mme	Bernadette	Laclais	1967-03-10		Chambéry	Savoie	France			
PA608826	Mme	Virginie	Duby-Muller	1979-08-16		Bonneville	Haute-Savoie	France	Cadre du secteur privé	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA608851	Mme	Sophie	Dion	1956-03-25		Dijon	Côte-d'Or	France	Professeur de faculté	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA608920	Mme	Seybah	Dagoma	1978-06-09		Nantes	Loire-Atlantique	France	Avocate	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA609016	M.	Denis	Baupin	1962-06-02		Cherbourg	Manche	France	Ingénieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA609042	M.	Pascal	Cherki	1966-09-01		Paris	Paris	France			
PA609205	Mme	Catherine	Troallic	1974-05-10		Sainte Adresse	Seine-Maritime	France	Fonctionnaire de catégorie B	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
